dataset,split,order,cell,rows,entities,repeat,secondary_repeat
berka,train,canonical,all,734696,3150,0.25669120289208053,0.4444994936681294
berka,train,canonical,gap_0,168752,3114,0.14767824973926236,0.19039181757845833
berka,train,canonical,gap_1,157328,3116,0.3529886606325638,0.4960846130377301
berka,train,canonical,gap_2,98288,3111,0.3145755331271366,0.4628642357154485
berka,train,canonical,gap_3,92213,3105,0.21559866830056498,0.47136520881003763
berka,train,canonical,gap_4,108339,3108,0.26063559752259113,0.5340274508718006
berka,train,canonical,gap_5,109776,3150,0.2650579361609095,0.6338270660253608
berka,validation,canonical,all,156986,675,0.2553603506045125,0.44195660759558175
berka,validation,canonical,gap_0,35592,662,0.13719375140481008,0.17357833220948526
berka,validation,canonical,gap_1,31297,666,0.36057769115250665,0.499504744863725
berka,validation,canonical,gap_2,21422,662,0.324572869013164,0.460974698907665
berka,validation,canonical,gap_3,20070,661,0.2048330842052815,0.4684105630293971
berka,validation,canonical,gap_4,24698,658,0.2567819256619969,0.5377763381650336
berka,validation,canonical,gap_5,23907,675,0.2724724975948467,0.6279332413100766
berka,train,reverse,all,734696,3150,0.21557487722813246,0.4061339656129882
berka,train,reverse,gap_0,168752,3114,0.14767824973926236,0.19039181757845833
berka,train,reverse,gap_1,157328,3116,0.34733168920980373,0.488177565341198
berka,train,reverse,gap_2,98288,3111,0.3160711378805144,0.4618468175158717
berka,train,reverse,gap_3,92213,3105,0.20221660720288898,0.5029551147885873
berka,train,reverse,gap_4,108339,3108,0.17135103702267881,0.4574622250528434
berka,train,reverse,gap_5,109776,3150,0.0960045911674683,0.43832896079288736
berka,validation,reverse,all,156986,675,0.2131145452460729,0.39239804823360047
berka,validation,reverse,gap_0,35592,662,0.13719375140481008,0.17357833220948526
berka,validation,reverse,gap_1,31297,666,0.3488832795475605,0.4885452279771224
berka,validation,reverse,gap_2,21422,662,0.31752404070581647,0.45364578470731026
berka,validation,reverse,gap_3,20070,661,0.20119581464872946,0.4720478325859492
berka,validation,reverse,gap_4,24698,658,0.17535832860960401,0.4358652522471455
berka,validation,reverse,gap_5,23907,675,0.10386079390973355,0.4256493913916426
berka,train,shuffle_101,all,734696,3150,0.2295235035987674,0.41434688633121725
berka,train,shuffle_101,gap_0,168752,3114,0.12779107803166778,0.17267943491040105
berka,train,shuffle_101,gap_1,157328,3116,0.3499249974575409,0.4917497203295027
berka,train,shuffle_101,gap_2,98288,3111,0.31584730587660753,0.4627217971675077
berka,train,shuffle_101,gap_3,92213,3105,0.20381074252003514,0.4736533894353291
berka,train,shuffle_101,gap_4,108339,3108,0.21324730706393819,0.48307626985665364
berka,train,shuffle_101,gap_5,109776,3150,0.17372649759510275,0.5139556915901472
berka,validation,shuffle_101,all,156986,675,0.22803944300765674,0.4058896971704483
berka,validation,shuffle_101,gap_0,35592,662,0.12078556979096426,0.1590244998876152
berka,validation,shuffle_101,gap_1,31297,666,0.35536952423554974,0.4938172987826309
berka,validation,shuffle_101,gap_2,21422,662,0.3202315376715526,0.45448604238633183
berka,validation,shuffle_101,gap_3,20070,661,0.19825610363726956,0.45844544095665174
berka,validation,shuffle_101,gap_4,24698,658,0.21135314600372498,0.46789213701514293
berka,validation,shuffle_101,gap_5,23907,675,0.18065838457355587,0.5065880286108672
berka,train,shuffle_102,all,734696,3150,0.22954936463516884,0.4141304702897525
berka,train,shuffle_102,gap_0,168752,3114,0.12831255333270125,0.17324239120128945
berka,train,shuffle_102,gap_1,157328,3116,0.3509928302654327,0.4926459371504119
berka,train,shuffle_102,gap_2,98288,3111,0.31506389386293343,0.4615517662379945
berka,train,shuffle_102,gap_3,92213,3105,0.20396256493119191,0.47161463134265236
berka,train,shuffle_102,gap_4,108339,3108,0.21278579274314882,0.48421159508579553
berka,train,shuffle_102,gap_5,109776,3150,0.172596924646553,0.5119971578487101
berka,validation,shuffle_102,all,156986,675,0.22863185252188092,0.40830392519078135
berka,validation,shuffle_102,gap_0,35592,662,0.12160035963137784,0.16056979096426163
berka,validation,shuffle_102,gap_1,31297,666,0.35607246700961753,0.49493561683228426
berka,validation,shuffle_102,gap_2,21422,662,0.3235925683876389,0.45934086453178974
berka,validation,shuffle_102,gap_3,20070,661,0.1968609865470852,0.453462879920279
berka,validation,shuffle_102,gap_4,24698,658,0.21106972224471618,0.47441088347234595
berka,validation,shuffle_102,gap_5,23907,675,0.1808675283389802,0.5117747939933911
berka,train,shuffle_103,all,734696,3150,0.22938467066650697,0.41409916482463494
berka,train,shuffle_103,gap_0,168752,3114,0.1284903290035081,0.17311794823172466
berka,train,shuffle_103,gap_1,157328,3116,0.3497216007322282,0.491559035899522
berka,train,shuffle_103,gap_2,98288,3111,0.3166408920722774,0.4623555266156601
berka,train,shuffle_103,gap_3,92213,3105,0.20459154349169856,0.473187077743919
berka,train,shuffle_103,gap_4,108339,3108,0.21042283942070722,0.48245784066679587
berka,train,shuffle_103,gap_5,109776,3150,0.17343499489870282,0.5132269348491474
berka,validation,shuffle_103,all,156986,675,0.22879747238607265,0.4082529652325685
berka,validation,shuffle_103,gap_0,35592,662,0.11932456731849854,0.15865924926949876
berka,validation,shuffle_103,gap_1,31297,666,0.3573505447806499,0.49506342460938746
berka,validation,shuffle_103,gap_2,21422,662,0.3238259732984782,0.4605078890859864
berka,validation,shuffle_103,gap_3,20070,661,0.19725959142999502,0.45724962630792226
berka,validation,shuffle_103,gap_4,24698,658,0.21054336383512834,0.47283180824358245
berka,validation,shuffle_103,gap_5,23907,675,0.18367005479566653,0.5115238214748818
