dataset,split,grouping,all,metric,value,ci_low,ci_high,entity_mean,rows,entities,coverage,gap_bin,secondary,high_amount
sparkov,train,all,all,fraud,0.0056886185079759585,0.005292874763652162,0.006085382122641108,0.08208396640154747,916567,688,True,,,
sparkov,train,gap_bin,,fraud,0.0755813953488372,0.057376453488372094,0.09593023255813954,0.0755813953488372,688,688,True,-1.0,,
sparkov,train,gap_bin,,fraud,0.0,0.0,0.0,0.0,12,12,False,0.0,,
sparkov,train,gap_bin,,fraud,0.013575121206439344,0.012260833878349319,0.015014725295344556,0.10533406939882099,186665,686,True,1.0,,
sparkov,train,gap_bin,,fraud,0.003941705948736224,0.0035805039300811467,0.004335088829537645,0.06817261187453728,185199,677,True,2.0,,
sparkov,train,gap_bin,,fraud,0.0025562762304463943,0.002286260354440304,0.002825105109587215,0.0485630943382464,183470,666,True,3.0,,
sparkov,train,gap_bin,,fraud,0.002947918273787221,0.002630102415622364,0.0032569989977971944,0.04290240147908792,181484,662,True,4.0,,
sparkov,train,gap_bin,,fraud,0.004993046596183168,0.004708627995686949,0.005278103746422608,0.07447420925261282,179049,684,True,5.0,,
sparkov,train,secondary,,fraud,0.002531797276445297,0.0021595017588022557,0.0029304247504237423,0.015577494668292695,66751,644,True,,entertainment,
sparkov,train,secondary,,fraud,0.0013418264262689513,0.0010548729138315394,0.0016980720608479297,0.007865257424412084,64837,640,True,,food_dining,
sparkov,train,secondary,,fraud,0.004630553251362391,0.00410171146878036,0.005256757572346831,0.05990066391235972,95237,672,True,,gas_transport,
sparkov,train,secondary,,fraud,0.0029696088961900548,0.0023146879892544324,0.0037055363903655695,0.0130015168935957,31654,638,True,,grocery_net,
sparkov,train,secondary,,fraud,0.014254904448314438,0.013025091515248858,0.015560226948934218,0.08834840413763081,86707,685,True,,grocery_pos,
sparkov,train,secondary,,fraud,0.0011035164292184797,0.0008547475904194821,0.0014192776891100477,0.0013524323373819494,60715,636,True,,health_fitness,
sparkov,train,secondary,,fraud,0.0013144089195328084,0.0009927366251591832,0.0016400753878476411,0.006183591640102516,86731,639,True,,home,
sparkov,train,secondary,,fraud,0.0020385050962627408,0.001668463066092886,0.0024551840560686307,0.008757717991291807,79470,640,True,,kids_pets,
sparkov,train,secondary,,fraud,0.014441235281048655,0.012850291862901432,0.01607155377245062,0.07954867491350853,45010,677,True,,misc_net,
sparkov,train,secondary,,fraud,0.003234815809941314,0.002729974444051887,0.0038076913835272783,0.022814473253773004,56572,648,True,,misc_pos,
sparkov,train,secondary,,fraud,0.0023180052624984337,0.0018846360249779222,0.002741574474268108,0.013662626449923637,63848,643,True,,personal_care,
sparkov,train,secondary,,fraud,0.01761252446183953,0.01606401426905588,0.019279264547433603,0.09126708922343565,68474,684,True,,shopping_net,
sparkov,train,secondary,,fraud,0.007060781458412364,0.006396428329515761,0.007885198224972419,0.06682938266172406,81719,675,True,,shopping_pos,
sparkov,train,secondary,,fraud,0.0027737327508494556,0.002168098526462139,0.0034866739201401286,0.012667240987347258,28842,642,True,,travel,
sparkov,train,high_amount,,fraud,0.08520907188314185,0.0765942582834532,0.0947149011044911,0.18831244263294936,46826,688,True,,,above_fit_p95
sparkov,train,high_amount,,fraud,0.001407315511169417,0.0013002481565162775,0.0015346967005351513,0.06770928185684963,869741,681,True,,,at_or_below_fit_p95
sparkov,validation,all,all,fraud,0.006438310758046484,0.005386871440266031,0.0075301136201027154,0.08938329506360405,177997,147,True,,,
sparkov,validation,gap_bin,,fraud,0.08163265306122448,0.04081632653061224,0.12602040816326515,0.08163265306122448,147,147,False,-1.0,,
sparkov,validation,gap_bin,,fraud,0.0,0.0,0.0,0.0,2,2,False,0.0,,
sparkov,validation,gap_bin,,fraud,0.016619850187265917,0.01273397562081414,0.021162220981847946,0.125023982679519,34176,147,True,1.0,,
sparkov,validation,gap_bin,,fraud,0.004742857142857143,0.0037346680753942867,0.005936612399849078,0.07283287060159047,35000,144,True,2.0,,
sparkov,validation,gap_bin,,fraud,0.002551816042416853,0.0019806759877581135,0.003212317799813078,0.03327538916372842,35269,139,True,3.0,,
sparkov,validation,gap_bin,,fraud,0.003218338885438428,0.002465072301780368,0.004048102612301073,0.05326821914931365,35422,142,True,4.0,,
sparkov,validation,gap_bin,,fraud,0.00516047497432927,0.004488209826180836,0.0057689472955264895,0.0670967896672665,37981,144,True,5.0,,
sparkov,validation,secondary,,fraud,0.0025147347740667974,0.0016522480321584643,0.0035388451380712073,0.01864342480367435,12725,137,True,,entertainment,
sparkov,validation,secondary,,fraud,0.0024469820554649264,0.0015033873284321791,0.003441094826494345,0.017230106175395297,12260,137,True,,food_dining,
sparkov,validation,secondary,,fraud,0.004824722120434836,0.0033737799172397108,0.006235494574305372,0.042552016188531175,16374,140,True,,gas_transport,
sparkov,validation,secondary,,fraud,0.002556390977443609,0.0013549558028220438,0.004003958956724113,0.040798002946476196,6650,140,True,,grocery_net,
sparkov,validation,secondary,,fraud,0.014922793270338788,0.011938684300291488,0.018450190239538193,0.09916301293951583,17356,147,True,,grocery_pos,
sparkov,validation,secondary,,fraud,0.002946127946127946,0.001766344225784254,0.004115450860654297,0.018471192808280204,11880,137,True,,health_fitness,
sparkov,validation,secondary,,fraud,0.002802882965335774,0.0017957798407517516,0.003907169501916889,0.00369816173474104,17482,135,True,,home,
sparkov,validation,secondary,,fraud,0.002097635392829901,0.001314685496054517,0.0029373628024706314,0.017488545892275647,15732,137,True,,kids_pets,
sparkov,validation,secondary,,fraud,0.0163062743707905,0.012791625645781936,0.020720111811664086,0.09750467143532529,8463,146,True,,misc_net,
sparkov,validation,secondary,,fraud,0.0029795158286778397,0.001741379180990368,0.00428076554234139,0.012163774061396177,10740,136,True,,misc_pos,
sparkov,validation,secondary,,fraud,0.003077651515151515,0.0020590751315284653,0.004188023994787654,0.019350870306194572,12672,137,True,,personal_care,
sparkov,validation,secondary,,fraud,0.018475583248804522,0.014836467604367413,0.02273588583726428,0.09761096619756099,13802,146,True,,shopping_net,
sparkov,validation,secondary,,fraud,0.007516518154816027,0.005687176557656631,0.009290444021122161,0.046226053823478344,16497,140,True,,shopping_pos,
sparkov,validation,secondary,,fraud,0.0044742729306487695,0.002781237800120522,0.0061704273526236525,0.033328747230892596,5364,139,True,,travel,
