dataset,split,view,grouping,gap_bin,metric,value,ci_low,ci_high,entity_mean,rows,entities,coverage,run_bin
sparkov,train,unambiguous,gap_bin,1.0,repeat,0.0027589975463672306,0.002532240946677912,0.003002331071483507,0.003234601235892127,186662,686,True,
sparkov,train,unambiguous,gap_bin,1.0,secondary_repeat,0.1400713589268303,0.1381750783532859,0.14258780262537932,0.15628884892166875,186662,686,True,
sparkov,train,unambiguous,gap_bin,1.0,log_amount,3.4496929743903184,3.416085993930335,3.4931129797145526,3.736400700274937,186662,686,True,
sparkov,train,unambiguous,gap_bin,2.0,repeat,0.0026567883101314355,0.00241995366633533,0.0028926657621112274,0.0023142111474774973,185186,677,True,
sparkov,train,unambiguous,gap_bin,2.0,secondary_repeat,0.12843843487088658,0.12688583338180645,0.13014849915386997,0.13904544497475926,185186,677,True,
sparkov,train,unambiguous,gap_bin,2.0,log_amount,3.4817941146203153,3.4532532747024423,3.5174376195612016,3.6018338074742484,185186,677,True,
sparkov,train,unambiguous,gap_bin,3.0,repeat,0.0022238210478121526,0.0020159922166196093,0.0024280754749112046,0.002187046605412164,183468,666,True,
sparkov,train,unambiguous,gap_bin,3.0,secondary_repeat,0.10189242810735387,0.10033804807877246,0.10330593451186601,0.10612695179472677,183468,666,True,
sparkov,train,unambiguous,gap_bin,3.0,log_amount,3.545872887113628,3.5205178689108645,3.576450147698512,3.6577395399967214,183468,666,True,
sparkov,train,unambiguous,gap_bin,4.0,repeat,0.0009532678352003791,0.0008167560640685403,0.0011056059723860395,0.0009115089785306232,181481,662,True,
sparkov,train,unambiguous,gap_bin,4.0,secondary_repeat,0.041045619100622106,0.03987568534344592,0.042224868144819135,0.040385058050149296,181481,662,True,
sparkov,train,unambiguous,gap_bin,4.0,log_amount,3.6011874366463075,3.5772275470913235,3.630108718288981,3.7027280652034067,181481,662,True,
sparkov,train,unambiguous,gap_bin,5.0,repeat,0.001703472850552372,0.0015214342947838424,0.0018838367195574796,0.0015695999787103518,179046,684,True,
sparkov,train,unambiguous,gap_bin,5.0,secondary_repeat,0.08410129240530366,0.08271116967058981,0.08537904912610556,0.08607936733699145,179046,684,True,
sparkov,train,unambiguous,gap_bin,5.0,log_amount,3.531394717468769,3.505704498760464,3.55744804699884,3.6933078230843286,179046,684,True,
sparkov,train,unambiguous,run_bin,,repeat,0.0020668504110176586,0.00197251726622602,0.002166690847996517,0.0020186704632067167,913951,688,True,1
sparkov,train,unambiguous,run_bin,,secondary_repeat,0.09949658132657002,0.0985525930962077,0.1004739380731703,0.10661477765093194,913951,688,True,1
sparkov,train,unambiguous,run_bin,,log_amount,3.5213621192248152,3.496685443587638,3.553576723603392,3.714465547657269,913951,688,True,1
sparkov,train,unambiguous,run_bin,,repeat,0.0021141649048625794,0.0005222963770535813,0.004282655246252677,0.0014772332290580463,1892,548,True,2-3
sparkov,train,unambiguous,run_bin,,secondary_repeat,0.10412262156448203,0.090184227341655,0.11872232425262727,0.09922622997440517,1892,548,True,2-3
sparkov,train,unambiguous,run_bin,,log_amount,3.560828380004703,3.499485911504346,3.623535129603837,3.528442976588044,1892,548,True,2-3
sparkov,train,unambiguous,gap_binxrun_bin,1.0,repeat,0.002759227845655021,0.002534837301561317,0.003004523046242923,0.0033663925145508977,186284,686,True,1
