dataset,evaluation,view,comparison,value,ci_low,ci_high,entity_mean,rows,entities,relative_gain
sparkov,internal_check,unambiguous,M0_mark_nll,6.491464507328714,6.486068872351763,6.49671053317491,6.487299851892446,200688,138,
sparkov,internal_check,unambiguous,M1_mark_nll,7.204476738831518,7.188241478449718,7.219723462903738,7.210443143496985,200688,138,
sparkov,internal_check,unambiguous,M2_mark_nll,8.582709819170361,8.558429652956502,8.605220970671137,8.582372508282253,200688,138,
sparkov,internal_check,unambiguous,A0_amount_mae,1.0887136142891587,1.080285416587809,1.0974080009938225,1.178517018754053,200688,138,
sparkov,internal_check,unambiguous,A1_amount_mae,0.8809304308458341,0.8707321229260268,0.8934028947963903,0.9972708082984875,200688,138,
sparkov,internal_check,unambiguous,A2_amount_mae,0.8795768460962726,0.8692162155930394,0.8918059074044417,0.9942349287009317,200688,138,
sparkov,internal_check,unambiguous,M1_mark_nll_minus_M0_mark_nll,0.7130122315028076,0.7015191429147902,0.723195346418269,0.7231432916045352,200688,138,-0.10983842408717373
sparkov,internal_check,unambiguous,M2_mark_nll_minus_M1_mark_nll,1.3782330803388403,1.368407744357516,1.3883375516664547,1.3719293647852682,200688,138,-0.19130231525494154
sparkov,internal_check,unambiguous,A1_amount_mae_minus_A0_amount_mae,-0.20778318344332458,-0.22124782603954252,-0.1927740766428731,-0.18124621045556566,200688,138,0.1908520116917892
sparkov,internal_check,unambiguous,A2_amount_mae_minus_A1_amount_mae,-0.0013535847495615807,-0.0018182025776273991,-0.0009332635686500621,-0.00303587959755561,200688,138,0.0015365398925564677
sparkov,validation,unambiguous,M0_mark_nll,6.492705989090383,6.488128210284585,6.497656810108583,6.493162460498143,177844,147,
sparkov,validation,unambiguous,M1_mark_nll,7.053909778306806,7.040855416236895,7.066588859446398,7.048505714961824,177844,147,
sparkov,validation,unambiguous,M2_mark_nll,8.399851227415288,8.378653865522903,8.420283061722872,8.416429410962246,177844,147,
sparkov,validation,unambiguous,A0_amount_mae,1.078821455125957,1.066278291837985,1.0912485106751255,1.202765191342397,177844,147,
sparkov,validation,unambiguous,A1_amount_mae,0.878380433073655,0.8689619452258612,0.8882496149644258,1.021093804549227,177844,147,
sparkov,validation,unambiguous,A2_amount_mae,0.8775288120189065,0.867964220627404,0.8875635036883053,1.0187556615419793,177844,147,
sparkov,validation,unambiguous,M1_mark_nll_minus_M0_mark_nll,0.5612037892164201,0.5508824249681109,0.5716352312298048,0.5553432544636776,177844,147,-0.08643603917371342
sparkov,validation,unambiguous,M2_mark_nll_minus_M1_mark_nll,1.3459414491084816,1.3353494137505961,1.356910536471353,1.3679236960004235,177844,147,-0.19080786278947226
sparkov,validation,unambiguous,A1_amount_mae_minus_A0_amount_mae,-0.20044102205230171,-0.21389924993477205,-0.1857935794759919,-0.18167138679316935,177844,147,0.18579628825503788
sparkov,validation,unambiguous,A2_amount_mae_minus_A1_amount_mae,-0.000851621054748738,-0.0013480685102589918,-0.0003871323832947155,-0.002338143007247768,177844,147,0.0009695355482461286
