dataset,evaluation,view,comparison,value,ci_low,ci_high,entity_mean,rows,entities,relative_gain
berka,internal_check,unambiguous,M0_mark_nll,1.447301506405351,1.4326285292504808,1.4644922422332634,1.4840552121889847,58748,630,
berka,internal_check,unambiguous,M1_mark_nll,1.3646729258781538,1.3522715681489748,1.379824796521622,1.3951957660353955,58748,630,
berka,internal_check,unambiguous,M2_mark_nll,1.2380936721566842,1.2238871002292955,1.2559382054246053,1.2525954666660768,58748,630,
berka,internal_check,unambiguous,A0_amount_mae,1.1761088905363464,1.1423041589290568,1.2135718018597896,1.1911003815702343,58748,630,
berka,internal_check,unambiguous,A1_amount_mae,0.9161315893251796,0.8849348085715881,0.9511870943083839,0.9013411622764544,58748,630,
berka,internal_check,unambiguous,A2_amount_mae,0.9119546248994091,0.880183899516449,0.9459500388055464,0.8964986875377319,58748,630,
berka,internal_check,unambiguous,M1_mark_nll_minus_M0_mark_nll,-0.08262858052719703,-0.0904219064834188,-0.07545534934219512,-0.08885944615359,58748,630,0.05709147690478182
berka,internal_check,unambiguous,M2_mark_nll_minus_M1_mark_nll,-0.1265792537214694,-0.13624842939275128,-0.11541826208476559,-0.14260029936931848,58748,630,0.09275427930103974
berka,internal_check,unambiguous,A1_amount_mae_minus_A0_amount_mae,-0.25997730121116663,-0.27822443759542914,-0.24278980075439424,-0.2897592192937799,58748,630,0.22104866590423272
berka,internal_check,unambiguous,A2_amount_mae_minus_A1_amount_mae,-0.004176964425770623,-0.007821990147569135,-0.00013904146494592303,-0.00484247473872273,58748,630,0.004559349851528824
berka,validation,unambiguous,M0_mark_nll,1.441044277364669,1.4266076772624485,1.4585537344910626,1.4828657145338553,61295,675,
berka,validation,unambiguous,M1_mark_nll,1.3604256104255277,1.3467159489906035,1.3766024826414056,1.3956700084196572,61295,675,
berka,validation,unambiguous,M2_mark_nll,1.2390304656241586,1.2218582176893449,1.2594648266461657,1.2589868724993565,61295,675,
berka,validation,unambiguous,A0_amount_mae,1.1394112266133312,1.1065789784625044,1.1722271790927385,1.170522759195298,61295,675,
berka,validation,unambiguous,A1_amount_mae,0.9206289717425395,0.8924896099672053,0.9501803610602895,0.9053247180856971,61295,675,
berka,validation,unambiguous,A2_amount_mae,0.9121486889211561,0.8836431701619718,0.9412013116047845,0.8954079052981423,61295,675,
berka,validation,unambiguous,M1_mark_nll_minus_M0_mark_nll,-0.08061866693914115,-0.08929924640017213,-0.07299247756157089,-0.08719570611419761,61295,675,0.05594461475297187
berka,validation,unambiguous,M2_mark_nll_minus_M1_mark_nll,-0.1213951448013693,-0.13169875357057145,-0.11022813213416952,-0.1366831359203008,61295,675,0.08923321045345368
berka,validation,unambiguous,A1_amount_mae_minus_A0_amount_mae,-0.21878225487079153,-0.23910754845098908,-0.1965319781238248,-0.2651980411096008,61295,675,0.19201342742696806
berka,validation,unambiguous,A2_amount_mae_minus_A1_amount_mae,-0.008480282821383708,-0.012746898688423602,-0.004601565289392481,-0.009916812787554671,61295,675,0.009211401206864561
