run,real_events,generated_events,real_customers,generated_customers,invalid_amount_rate,invalid_gap_rate,merchant_category_tv,category_amount_tv,gap_previous_category_category_tv,history_amount_tv,category_tv,merchant_tv,amount_tv,gap_tv,real_fraud_rate,generated_fraud_rate,real_frauds,generated_frauds,invalid_generated_label_rate,label_tv,history_amount_label_tv,class_0_category_amount_tv,class_0_gap_previous_category_category_tv,class_0_history_amount_tv,class_1_category_amount_tv,class_1_gap_previous_category_category_tv,class_1_history_amount_tv,class_0_merchant_tv,class_0_merchant_category_tv,class_0_gap_category_amount_history_tv,class_1_merchant_tv,class_1_merchant_category_tv,class_1_gap_category_amount_history_tv,previous_current_fraud_tv,fraud_previous_category_current_category_tv,fraud_onset_events,real_fraud_onset_events,fraud_onset_category_amount_tv,fraud_onset_history_amount_tv,fraud_continuation_events,real_fraud_continuation_events,fraud_continuation_category_amount_tv,fraud_continuation_history_amount_tv,previous_fraud_fraud_rate,previous_normal_fraud_rate,positive_gap_le_5s_fraud_rate,positive_gap_le_300s_fraud_rate,short_sequence_le_100_RETROSPECTIVE_fraud_rate,fraud_amount_generated_mean,fraud_amount_ks_distance,fraud_amount_wasserstein_log1p,fraud_gap_seconds_generated_mean,fraud_gap_seconds_ks_distance,fraud_gap_seconds_wasserstein_log1p,fraud_amount_history_ratio_generated_mean,fraud_amount_history_ratio_ks_distance,fraud_amount_history_ratio_wasserstein_log1p,model
native_20260928/generated_validation_20261011,177997,189389,147,147,0.0,0.0,0.7304748167595015,0.2022381361693856,0.1253337085613621,0.0488176145381294,0.0461923258405963,0.0964503179944489,0.025105464731812,0.0270508770801663,0.0064383107580464,0.0068272180538468,1146,1293,0.0,0.0003889072958003,0.0516893739541406,0.2023576568892148,0.125385945761854,0.0490144732085343,0.4953923083341245,0.4218389911701493,0.4244614769356475,0.0963951455204891,0.7308631997153525,0.2454959812581485,0.4603726064228245,0.7489806165296016,0.6651346055913756,0.0014267289631873,0.249905774647482,213,102,0.8442419221209612,0.6873791770229217,1013,1032,0.4305501350658494,0.3975938765046641,0.7877138413685848,0.0011332439507118,0.0,0.0240354206198608,0.2563451776649746,2698.773457076566,0.317092034029389,1.4743347387908816,32371.8515497553,0.1535873246041815,0.4735053425622429,34.00485365136076,0.4059942807251955,0.9791782604843712,"ARGN AUTO, native cap"
native_20260928/generated_validation_20261012,177997,184841,147,147,0.0,0.0,0.7333486319363646,0.2023786372548026,0.1275333183293986,0.0459741752762303,0.0472419591764816,0.0965464216835067,0.0234760962803602,0.0222101773128201,0.0064383107580464,0.0057508886015548,1146,1063,0.0,0.0006874221564916,0.0481505764414377,0.2024135177585256,0.1274561175549756,0.0452645026507414,0.4707347910159155,0.442808270117507,0.4575444635685599,0.0966498065466847,0.7337461141741154,0.2456909469904575,0.469835773823303,0.7484653562064625,0.7076613331633411,0.0014224245859495,0.27345891502518,187,102,0.8279857397504458,0.6559714795008912,809,1032,0.4276154406339533,0.4508341238585295,0.7719465648854962,0.0010182633980593,0.0169491525423728,0.0118071498852082,0.6061452513966481,2754.280959548448,0.3302656875154942,1.4639627633968637,28179.32730923695,0.171378636238074,0.5414415333835954,27.118613250404387,0.4315427538780944,0.9942879279373388,"ARGN AUTO, native cap"
native_20260929/generated_validation_20261011,177997,215719,147,147,0.0,0.0,0.7793488916706791,0.1855698205913108,0.1249584512103009,0.0526154224833734,0.0425332564011987,0.1131824275244529,0.041094752551235,0.0273229347538206,0.0064383107580464,0.00443169122794,1146,956,0.0,0.0020066195301064,0.0562101734619081,0.1852834732830379,0.1250789022218823,0.0537066627673731,0.4955908289241622,0.4350356057673131,0.4502262266489908,0.1132873576231752,0.7797006193681608,0.2344838139384624,0.4883878434722922,0.7743232783485581,0.7192892924600242,0.0023606372211587,0.2685429595998702,160,102,0.8491421568627451,0.6752450980392157,742,1032,0.4379165883114983,0.4723380137487202,0.7818756585879874,0.0007454932602749,0.0,0.013553329404832,0.4029304029304029,3116.651820083682,0.3610520858434285,1.3083807165925,24237.360310421285,0.1013600972950565,0.2769479864524498,23.70427934587768,0.4082406823369077,0.881449533112697,"ARGN AUTO, native cap"
native_20260929/generated_validation_20261012,177997,186716,147,147,0.0,0.0,0.7788245249469783,0.1847215313720565,0.1264952499076011,0.0382833777765684,0.0452388418367875,0.1097767756655886,0.0362067578611547,0.0205325078518292,0.0064383107580464,0.0055806679663231,1146,1042,0.0,0.0008576427917232,0.0418451947601896,0.1846307076592338,0.1265825621878909,0.0389294162424117,0.4545210134641029,0.4204897406116918,0.4659741041854863,0.1097530458361792,0.7793498281935003,0.2308024921488469,0.4668797084409428,0.755700374832933,0.7147965328859638,0.0012788471905602,0.2747827676689465,140,102,0.8705882352941177,0.7110644257703079,844,1032,0.4169513942466659,0.4774789668981226,0.8218111002921129,0.0007545461404964,0.0,0.0133380133380133,0.6009852216748769,3412.207629558541,0.3945208737392516,1.384428315886043,24886.634146341465,0.1024809652858433,0.2710427636785973,13.489873703457553,0.4258641177500982,0.9185532535729054,"ARGN AUTO, native cap"
relaxed_20260928/generated_validation_20261011,177997,193361,147,147,0.0,0.0,0.6486155268764816,0.1839113863307294,0.1237837086450664,0.036039701370653,0.0484247940264668,0.0924547560028234,0.0468443328131572,0.0194294039143412,0.0064383107580464,0.0051458153402185,1146,995,0.0,0.0012924954178279,0.0393749083325178,0.1837759493976013,0.1236331986861468,0.0370018124985796,0.4982761135643341,0.4563657821803184,0.4440532548301972,0.092302592768326,0.6488204788951402,0.2315909478714503,0.4864953037438502,0.7267322651652679,0.7269894312500829,0.0020451509832641,0.2783811380302608,205,102,0.8144906743185079,0.6917742706838832,726,1032,0.4301444679351657,0.4092510730988533,0.7348178137651822,0.0010664530292468,0.0,0.0242269684411858,0.2576177285318559,2518.971949748744,0.2984924623115578,1.501330356071103,26528.206229860367,0.1285289944437814,0.3456989449053682,29.05274733284188,0.4157532032443869,0.9570742112742144,"ARGN AUTO, cap relaxed"
relaxed_20260928/generated_validation_20261012,177997,193625,147,147,0.0,0.0,0.6513871215933225,0.1823991376270031,0.1234426567719408,0.0293574057632854,0.048027271319408,0.0904770801277785,0.0432526774185301,0.0155086905495082,0.0064383107580464,0.0044828921885087,1146,868,0.0,0.0019554185695377,0.032690159302378,0.1822213362709415,0.1231005403353299,0.0301581307179572,0.502381388932544,0.4749441213962665,0.4435407826496935,0.0903781050180289,0.6516487387206058,0.2301412427313973,0.4753822150376786,0.713437241135265,0.6964394852183631,0.0027015148996112,0.2958728412523792,208,102,0.8213612368024132,0.6558257918552036,600,1032,0.4238759689922481,0.4467441860465116,0.7009345794392523,0.0010798351174839,0.0,0.0133288903698767,0.6694214876033058,2288.4684447004606,0.3224640303681005,1.5035815607002083,28667.554455445545,0.1878568809261879,0.5338348779512629,36.274812478652215,0.3813300201785226,0.904672139515508,"ARGN AUTO, cap relaxed"
relaxed_20260929/generated_validation_20261011,177997,213945,147,147,0.0,0.0,0.4111733142699482,0.1646371570055851,0.1293868823175593,0.0607777249868407,0.0518725764769198,0.0905711741453439,0.0705204274772543,0.036296162339874,0.0064383107580464,0.0059875201570497,1146,1281,0.0,0.0004507906009967,0.0647864082778903,0.1654613771602246,0.1299247643626021,0.0626039426603657,0.4225136109194079,0.4141553561843417,0.4010045241929301,0.0906121213647466,0.4114906284412263,0.2271594099584644,0.4681654139640578,0.5947312922250696,0.675024921401733,0.0006061487896598,0.2799248523886205,131,102,0.8680586738512198,0.688295165394402,1111,1032,0.3851146742581234,0.3840296820379712,0.8720565149136578,0.0006164009711844,0.0,0.023650697392359,0.7482517482517482,3231.219656518345,0.3832943013270882,1.0682249227376932,23556.12962962963,0.0706234184495054,0.1843060600832522,11.133679422315948,0.3934005778295909,0.8121925181512426,"ARGN AUTO, cap relaxed"
relaxed_20260929/generated_validation_20261012,177997,201587,147,147,0.0,0.0,0.4096790589402686,0.1627900102308791,0.1284384838496533,0.0521325685947266,0.052646021049387,0.0875537980596569,0.0636916276986064,0.0280754591679854,0.0064383107580464,0.005555913823808,1146,1120,0.0,0.0008823969342384,0.0560200950616607,0.1634489309698819,0.1287999262994045,0.0538663087671609,0.4154355344831534,0.4365995556471747,0.3935042030280125,0.0874377586919453,0.4098452014902001,0.2196369585084813,0.4515270506108202,0.5834922712540513,0.6613985661604709,0.0010246902649531,0.2994686089924185,111,102,0.8338632750397454,0.6449390567037627,967,1032,0.3990404271181549,0.384716978106988,0.8743218806509946,0.0005540746952589,0.0,0.0213745478461032,0.836,3558.2038035714286,0.4072036275243081,1.1084528638550315,24798.413729128013,0.0650037792894935,0.1600976900891626,15.337656558396816,0.369446078520558,0.7913281024086178,"ARGN AUTO, cap relaxed"
order_category_relaxed_20260928/generated_validation_20261011,177997,193361,147,147,0.0,0.0,0.1759451610769166,0.1160314401114046,0.1233857142248932,0.0366813277189864,0.0487417997822389,0.1041051014435291,0.0480879435850175,0.0211580571175253,0.0064383107580464,0.0071834547814709,1146,1389,0.0,0.0007451440234244,0.0411885773473344,0.1164673318992278,0.1239354500812341,0.0383467927713687,0.367959177951608,0.4343036847452693,0.4316982351299787,0.1044997461307141,0.1761153933412395,0.1632543394120975,0.4577476733798469,0.511064873972386,0.6902645769665704,0.0012290173422284,0.289985273835892,201,102,0.7671934445419959,0.6243781094527362,1120,1032,0.3206187707641196,0.4308416389811738,0.813362381989833,0.0010477645084107,0.0188679245283018,0.0313275434243176,0.3767313019390582,3588.4500719942407,0.4089272858171346,1.2065946965702246,23516.35352006056,0.106685251272685,0.2647322779584981,16.067744245478192,0.4171438596137801,0.922675421676772,ARGN AUTO + category first
order_category_relaxed_20260928/generated_validation_20261012,177997,193625,147,147,0.0,0.0,0.1753531356439505,0.1183104033934345,0.1235459204617598,0.0278972132160285,0.0492274450640036,0.1035633568700334,0.0467555429926095,0.0159066686141977,0.0064383107580464,0.005536475145255,1146,1072,0.0,0.0009018356127914,0.031876652029225,0.1187183172364833,0.1236867199794064,0.0290938311777986,0.4129778057170796,0.4474234725059808,0.4329107513925996,0.1039465146237474,0.175510699472415,0.1649393433229524,0.4638798807012059,0.5108195931338074,0.690931950337891,0.001579940353668,0.2714320638413047,193,102,0.8323681804327949,0.5816824138982017,817,1032,0.3294573643410852,0.4466544267645858,0.7707547169811321,0.0010030246650521,0.0,0.0135402906208718,0.6900826446280992,3093.765410447761,0.3694029850746269,1.254487498939631,27191.57623762376,0.1472925070284806,0.4339355962867945,16.384888090541864,0.4066950062787682,0.9264378424922828,ARGN AUTO + category first
