run,intervention,field,group,events,nll,accuracy,mean_fraud_probability,mean_true_probability
native_20260928,teacher,gap,all,68939,4.421384837669638,0.04131188441955932,,0.016691986512717888
native_20260928,teacher,gap,first,0,,,,
native_20260928,teacher,gap,positions_1_99,13485,4.33785083117112,0.05784204671857619,,0.02119047399473503
native_20260928,teacher,gap,positions_100_511,55454,4.441698179856541,0.03729217008691889,,0.015598068964930512
native_20260928,teacher,gap,fraud,714,4.591049625760033,0.022408963585434174,,0.015115365959862159
native_20260928,teacher,gap,normal,68225,4.419609232558659,0.04150971051667277,,0.016708486433197754
native_20260928,teacher,gap,fraud_onset,58,4.011882321587924,0.034482758620689655,,0.02612428742476964
native_20260928,teacher,gap,fraud_continuation,656,4.642256491067933,0.021341463414634148,,0.01414201619619656
native_20260928,teacher,receiver_or_mark,all,69086,6.539040732165622,0.002648872419882465,,0.0016023725063447772
native_20260928,teacher,receiver_or_mark,first,147,6.607548825594844,0.006802721088435374,,0.0034468682057368348
native_20260928,teacher,receiver_or_mark,positions_1_99,13485,6.547057666891718,0.0025954764553207266,,0.0016437782924915558
native_20260928,teacher,receiver_or_mark,positions_100_511,55454,6.536909613499422,0.0026508457460237313,,0.0015874142004696386
native_20260928,teacher,receiver_or_mark,fraud,726,6.529892757904431,0.011019283746556474,,0.003227902344423831
native_20260928,teacher,receiver_or_mark,normal,68360,6.539137885900462,0.0025599765944997075,,0.0015851089799778172
native_20260928,teacher,receiver_or_mark,fraud_onset,58,6.50374121501528,0.017241379310344827,,0.0016684167926071275
native_20260928,teacher,receiver_or_mark,fraud_continuation,656,6.5386887636126545,0.009146341463414634,,0.0032758814174608758
native_20260928,teacher,amount_or_numeric_value,all,69086,4.5105913387359635,0.02440436557334337,,0.01363250092047614
native_20260928,teacher,amount_or_numeric_value,first,147,4.6939785561594025,0.027210884353741496,,0.02488079950685429
native_20260928,teacher,amount_or_numeric_value,positions_1_99,13485,4.49374166849944,0.027437893956247683,,0.016427817704400903
native_20260928,teacher,amount_or_numeric_value,positions_100_511,55454,4.514202618033729,0.02365924910736827,,0.0129229335903751
native_20260928,teacher,amount_or_numeric_value,fraud,726,2.4827362084479043,0.48760330578512395,,0.23726394212591045
native_20260928,teacher,amount_or_numeric_value,normal,68360,4.532127658580743,0.019485078993563488,,0.01125748005571392
native_20260928,teacher,amount_or_numeric_value,fraud_onset,58,4.645180870746744,0.034482758620689655,,0.010092019239954394
native_20260928,teacher,amount_or_numeric_value,fraud_continuation,656,2.2856424373415547,0.5304878048780488,,0.25818267555154106
native_20260928,teacher,category,all,69086,1.4999696664541868,0.546854644935298,,0.30021510044235894
native_20260928,teacher,category,first,147,1.6066271380654402,0.4421768707482993,,0.3405572327018595
native_20260928,teacher,category,positions_1_99,13485,1.4977636506458456,0.553503893214683,,0.3024129214938999
native_20260928,teacher,category,positions_100_511,55454,1.5002233807912704,0.54551520178887,,0.2995737055867637
native_20260928,teacher,category,fraud,726,1.1670961567167366,0.6432506887052342,,0.43359537256211966
native_20260928,teacher,category,normal,68360,1.5035048649338445,0.5458308952603862,,0.29879856917321107
native_20260928,teacher,category,fraud_onset,58,1.5105014795373226,0.5344827586206896,,0.3160907853523205
native_20260928,teacher,category,fraud_continuation,656,1.1381797268674367,0.6539634146341463,,0.44236145168329905
native_20260928,teacher,event_is_fraud,all,69086,0.010884601920415148,0.9973511275801176,0.010470132402836334,0.9954506561725304
native_20260928,teacher,event_is_fraud,first,147,0.38708476657618063,0.8707482993197279,0.3407471442759848,0.7112447818120321
native_20260928,teacher,event_is_fraud,positions_1_99,13485,0.009403594626686754,0.9977753058954394,0.01606839158710609,0.996132701585145
native_20260928,teacher,event_is_fraud,positions_100_511,55454,0.010247496556537517,0.9975835827893389,0.008233264983980516,0.9960381860376777
native_20260928,teacher,event_is_fraud,fraud,726,0.7467397619304703,0.8319559228650137,0.7859633185210594,0.7859633185210594
native_20260928,teacher,event_is_fraud,normal,68360,0.0030696392789976512,0.9991076653013459,0.0022342041827978615,0.9976754631815263
native_20260928,teacher,event_is_fraud,fraud_onset,58,5.912308306529604,0.0,0.008011534974653402,0.008011534974653402
native_20260928,teacher,event_is_fraud,fraud_continuation,656,0.30123865545444306,0.9024390243902439,0.8529814835918198,0.8529814835918198
native_20260928,shuffle_current_merchant,gap,all,68939,4.421384837669638,0.04131188441955932,,0.016691986512717888
native_20260928,shuffle_current_merchant,gap,first,0,,,,
native_20260928,shuffle_current_merchant,gap,positions_1_99,13485,4.33785083117112,0.05784204671857619,,0.02119047399473503
native_20260928,shuffle_current_merchant,gap,positions_100_511,55454,4.441698179856541,0.03729217008691889,,0.015598068964930512
native_20260928,shuffle_current_merchant,gap,fraud,714,4.591049625760033,0.022408963585434174,,0.015115365959862159
native_20260928,shuffle_current_merchant,gap,normal,68225,4.419609232558659,0.04150971051667277,,0.016708486433197754
native_20260928,shuffle_current_merchant,gap,fraud_onset,58,4.011882321587924,0.034482758620689655,,0.02612428742476964
native_20260928,shuffle_current_merchant,gap,fraud_continuation,656,4.642256491067933,0.021341463414634148,,0.01414201619619656
native_20260928,shuffle_current_merchant,receiver_or_mark,all,69086,6.539040732165622,0.002648872419882465,,0.0016023725063447772
native_20260928,shuffle_current_merchant,receiver_or_mark,first,147,6.607548825594844,0.006802721088435374,,0.0034468682057368348
native_20260928,shuffle_current_merchant,receiver_or_mark,positions_1_99,13485,6.547057666891718,0.0025954764553207266,,0.0016437782924915558
native_20260928,shuffle_current_merchant,receiver_or_mark,positions_100_511,55454,6.536909613499422,0.0026508457460237313,,0.0015874142004696386
native_20260928,shuffle_current_merchant,receiver_or_mark,fraud,726,6.529892757904431,0.011019283746556474,,0.003227902344423831
native_20260928,shuffle_current_merchant,receiver_or_mark,normal,68360,6.539137885900462,0.0025599765944997075,,0.0015851089799778172
native_20260928,shuffle_current_merchant,receiver_or_mark,fraud_onset,58,6.50374121501528,0.017241379310344827,,0.0016684167926071275
native_20260928,shuffle_current_merchant,receiver_or_mark,fraud_continuation,656,6.5386887636126545,0.009146341463414634,,0.0032758814174608758
native_20260928,shuffle_current_merchant,amount_or_numeric_value,all,69086,4.595170244539066,0.01851315751382335,,0.012227623304205099
native_20260928,shuffle_current_merchant,amount_or_numeric_value,first,147,4.870292700472332,0.027210884353741496,,0.019504821537772103
native_20260928,shuffle_current_merchant,amount_or_numeric_value,positions_1_99,13485,4.580160109072228,0.01935483870967742,,0.014479877662136924
