model,metric,draws,nonempty,mean,minimum,maximum
"ARGN AUTO, native cap",generated_fraud_rate,4,4,0.005647616462416175,0.00443169122794,0.0068272180538468
"ARGN AUTO, native cap",merchant_category_tv,4,4,0.7554992163283809,0.7304748167595015,0.7793488916706791
"ARGN AUTO, native cap",class_1_category_amount_tv,4,4,0.47905973543457625,0.4545210134641029,0.4955908289241622
"ARGN AUTO, native cap",class_1_history_amount_tv,4,4,0.44955156783467115,0.4244614769356475,0.4659741041854863
"ARGN AUTO, native cap",class_1_merchant_tv,4,4,0.47136898303984065,0.4603726064228245,0.4883878434722922
"ARGN AUTO, native cap",class_1_gap_category_amount_history_tv,4,4,0.7017204410251761,0.6651346055913756,0.7192892924600242
"ARGN AUTO, native cap",previous_fraud_fraud_rate,4,4,0.7908367912835452,0.7719465648854962,0.8218111002921129
"ARGN AUTO, native cap",previous_normal_fraud_rate,4,4,0.0009128866873856001,0.0007454932602749,0.0011332439507118
"ARGN AUTO, native cap",positive_gap_le_5s_fraud_rate,4,4,0.0042372881355932,0.0,0.0169491525423728
"ARGN AUTO, native cap",positive_gap_le_300s_fraud_rate,4,4,0.015683478311978576,0.0118071498852082,0.0240354206198608
"ARGN AUTO, native cap",short_sequence_le_100_RETROSPECTIVE_fraud_rate,4,4,0.4666015134167256,0.2563451776649746,0.6061452513966481
"ARGN AUTO, native cap",fraud_amount_generated_mean,4,4,2995.4784665668094,2698.773457076566,3412.207629558541
"ARGN AUTO, native cap",fraud_amount_ks_distance,4,4,0.3507326702818908,0.317092034029389,0.3945208737392516
"ARGN AUTO, native cap",fraud_amount_wasserstein_log1p,4,4,1.407776633666572,1.3083807165925,1.4743347387908816
"ARGN AUTO, native cap",fraud_gap_seconds_wasserstein_log1p,4,4,0.3907344065192213,0.2710427636785973,0.5414415333835954
"ARGN AUTO, native cap",fraud_amount_history_ratio_wasserstein_log1p,4,4,0.9433672437768281,0.881449533112697,0.9942879279373388
"ARGN AUTO, cap relaxed",generated_fraud_rate,4,4,0.005293035377396225,0.0044828921885087,0.0059875201570497
"ARGN AUTO, cap relaxed",merchant_category_tv,4,4,0.5302137554200053,0.4096790589402686,0.6513871215933225
"ARGN AUTO, cap relaxed",class_1_category_amount_tv,4,4,0.45965166197485985,0.4154355344831534,0.502381388932544
"ARGN AUTO, cap relaxed",class_1_history_amount_tv,4,4,0.4205256911752083,0.3935042030280125,0.4440532548301972
"ARGN AUTO, cap relaxed",class_1_merchant_tv,4,4,0.4703924958391017,0.4515270506108202,0.4864953037438502
"ARGN AUTO, cap relaxed",class_1_gap_category_amount_history_tv,4,4,0.6899631010076623,0.6613985661604709,0.7269894312500829
"ARGN AUTO, cap relaxed",previous_fraud_fraud_rate,4,4,0.7955326971922717,0.7009345794392523,0.8743218806509946
"ARGN AUTO, cap relaxed",previous_normal_fraud_rate,4,4,0.0008291909532935,0.0005540746952589,0.0010798351174839
"ARGN AUTO, cap relaxed",positive_gap_le_5s_fraud_rate,4,4,0.0,0.0,0.0
"ARGN AUTO, cap relaxed",positive_gap_le_300s_fraud_rate,4,4,0.020645276012381173,0.0133288903698767,0.0242269684411858
"ARGN AUTO, cap relaxed",short_sequence_le_100_RETROSPECTIVE_fraud_rate,4,4,0.6278227410967274,0.2576177285318559,0.836
"ARGN AUTO, cap relaxed",fraud_amount_generated_mean,4,4,2899.215963634744,2288.4684447004606,3558.2038035714286
"ARGN AUTO, cap relaxed",fraud_amount_ks_distance,4,4,0.3528636053827636,0.2984924623115578,0.4072036275243081
"ARGN AUTO, cap relaxed",fraud_amount_wasserstein_log1p,4,4,1.295397425841009,1.0682249227376932,1.5035815607002083
