run,real_events,generated_events,real_customers,generated_customers,invalid_amount_rate,invalid_gap_rate,merchant_category_tv,category_amount_tv,gap_previous_category_category_tv,history_amount_tv,category_tv,merchant_tv,amount_tv,gap_tv,real_fraud_rate,generated_fraud_rate,real_frauds,generated_frauds,invalid_generated_label_rate,label_tv,history_amount_label_tv,class_0_category_amount_tv,class_0_gap_previous_category_category_tv,class_0_history_amount_tv,class_1_category_amount_tv,class_1_gap_previous_category_category_tv,class_1_history_amount_tv,class_0_merchant_tv,class_0_merchant_category_tv,class_0_gap_category_amount_history_tv,class_1_merchant_tv,class_1_merchant_category_tv,class_1_gap_category_amount_history_tv,previous_current_fraud_tv,fraud_previous_category_current_category_tv,fraud_onset_events,real_fraud_onset_events,fraud_onset_category_amount_tv,fraud_onset_history_amount_tv,fraud_continuation_events,real_fraud_continuation_events,fraud_continuation_category_amount_tv,fraud_continuation_history_amount_tv
real_train,177997,916567,147,688,0.0,0.0,0.03322439415353448,0.03959517173213452,0.047124208239934615,0.023427461217326917,0.01939153146440853,0.03299876129571906,0.01623714438237949,0.014999783347969217,0.006438310758046484,0.0056886185079759585,1146,5214,0.0,0.000749692250070507,0.023993893089016213,0.03967065295653907,0.04725148425964731,0.023450703897400282,0.066192574006083,0.2783486979535023,0.08220908866653409,0.0330933848369219,0.03331959906044094,0.0691779346898378,0.30289373956946364,0.30340183597523385,0.19587345320265376,0.0007871271351150817,0.1383157478985969,481,102,0.1474460886225592,0.1554563613387143,4681,1032,0.07070269222934873,0.08133759433235795
real_validation,177997,177997,147,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006438310758046484,0.006438310758046484,1146,1146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,102,0.0,0.0,1032,1032,0.0,0.0
codec_roundtrip,177997,177997,147,147,0.0,0.0,0.0,0.0023820626190329056,0.005217880236154063,0.001606768653404254,0.0,0.0,0.0007022590268375133,0.0004498172617374293,0.006438310758046484,0.006438310758046484,1146,1146,0.0,0.0,0.0016966578088394861,0.002416306389913755,0.005172140609791985,0.0015448516263382873,0.003527336860670194,0.03527336860670194,0.025573192239858905,0.0,0.0,0.011775956902600783,0.0,0.0,0.0582010582010582,0.0,0.0,102,102,0.0,0.019607843137254898,1032,1032,0.003875968992248063,0.026162790697674423
digit_relaxed_20260928/generated_synthetic_20261011,177997,190935,147,147,0.0,0.0,0.8534160840076466,0.253138635275196,0.11224854746067167,0.0342250985851587,0.03811618155067695,0.12913191675052585,0.025641543451439174,0.011862137733383986,0.006438310758046484,0.011113729803336215,1146,2122,0.0,0.004675419045289758,0.03847505085710696,0.2534481845062427,0.11217986903468223,0.03557059412325545,0.5973355701810986,0.3808517228029423,0.3843609928162774,0.12893417289746328,0.8543797302092547,0.28074022425846573,0.41202938385039634,0.7976430743823948,0.7101294790725686,0.0051112115522554576,0.21405600722673895,189,102,0.8708372237784002,0.6867413632119514,1861,1032,0.5728014654120275,0.37283603880551003
digit_relaxed_20260928/generated_synthetic_20261012,177997,181504,147,147,0.0,0.0,0.8529619181946402,0.25399474760663987,0.11205933661809932,0.02613467817361632,0.037500530569571186,0.13067082304779737,0.029623266643709296,0.006778673579811269,0.006438310758046484,0.010032836741889985,1146,1821,0.0,0.003594525983843539,0.030668247761677616,0.25452747039768514,0.11196253929209127,0.02767708392830526,0.5962534342348419,0.4120098090881623,0.37370798990984916,0.13053231153894984,0.8537034666607302,0.28149309291502966,0.42279858888879307,0.810882922046744,0.7094092764743494,0.003957096790853979,0.20862932748722918,170,102,0.8392156862745097,0.6411764705882352,1587,1032,0.5772482818247096,0.37151602409108897
digit_relaxed_20260928/generated_validation_20261011,177997,194267,147,147,0.0,0.0,0.8540925633277912,0.2501925326118756,0.11256228073016057,0.03681232505210895,0.03656378752594625,0.130552607695962,0.02540791200424561,0.012263976425608416,0.006438310758046484,0.00755146267765498,1146,1467,0.0,0.0011131519196084876,0.03997640032099002,0.25023208033560307,0.11253100103716114,0.03736016259056249,0.5936496671060191,0.41175023751318995,0.4016845599528353,0.13052186005750063,0.8546939834024896,0.27970219111984357,0.4403883696113806,0.8148302801243411,0.7109455090292564,0.0015455400874550902,0.22349208852639182,190,102,0.8509803921568628,0.737874097007224,1219,1032,0.5610552556104571,0.3766168418642806
digit_relaxed_20260928/generated_validation_20261012,177997,190450,147,147,0.0,0.0,0.8533263323707009,0.25237507645994955,0.11079632335909465,0.03716488527046232,0.0371576234585787,0.12936084974149045,0.02927804596480722,0.013129068775308833,0.006438310758046484,0.00919401417694933,1146,1751,0.0,0.0027557034189028507,0.04086282671661865,0.2529020353699494,0.11067178253565763,0.038434257731614435,0.579061428904196,0.4220783002229543,0.3720903630494826,0.12925824886161447,0.8538148055898549,0.280470812951524,0.42723878551573125,0.8243845700736454,0.7041914162590263,0.0030820622681254546,0.23715516954510663,171,102,0.810801513587891,0.653766769865841,1525,1032,0.5566711144999364,0.36419621298767313
digit_relaxed_20260929/generated_synthetic_20261011,177997,182192,147,147,0.0,0.0,0.6572411090589341,0.17750844336629382,0.12854136778116837,0.04009389660301657,0.05005627606088675,0.10306520905004343,0.018649206042188643,0.01858474673452123,0.006438310758046484,0.008677658733643628,1146,1581,0.0,0.0022393479755971803,0.043101636923595546,0.17867966178367306,0.12948562145988224,0.04070087142253779,0.45532731611162974,0.3888473908081751,0.36944703807448903,0.10269841533387243,0.657750855591571,0.22171228246735258,0.45617956691205447,0.6957191253464736,0.6465193484801328,0.0022756768788681266,0.22755472559394127,75,102,0.8407843137254903,0.680392156862745,1455,1032,0.43958083593063213,0.35559817789498926
digit_relaxed_20260929/generated_synthetic_20261012,177997,178106,147,147,0.0,0.0,0.6593771790014559,0.18075503713638566,0.13175537700453957,0.04481958076817395,0.056166766360515666,0.10163234635402826,0.01882031499588833,0.02137178583949272,0.006438310758046484,0.005704468125722884,1146,1016,0.0,0.0007338426323235834,0.04647706679198152,0.18100832895724417,0.13193274239112632,0.044084400785218705,0.4709075942443393,0.39665570917703297,0.4028150097750916,0.10140610350776531,0.6597598863312917,0.22413075392012616,0.48277301397534733,0.7097727803658049,0.682495455439843,0.0008861310830341699,0.2429809787366935,79,102,0.8636137999503599,0.5577066269545793,898,1032,0.4450868424233007,0.4180651231850279
digit_relaxed_20260929/generated_validation_20261011,177997,196919,147,147,0.0,0.0,0.6577832935496364,0.17633862309769543,0.119922810215352,0.04484130497490252,0.042594184274265263,0.10238841575462487,0.017401723585258433,0.011790185240041325,0.006438310758046484,0.00967910663775461,1146,1906,0.0,0.0032407958797081417,0.0480395026014072,0.17787429476433578,0.12063868717656054,0.04594788628605147,0.43286106106618927,0.3892479789915687,0.3444238572443701,0.10202435727294396,0.6583173130393651,0.21909454812788204,0.4654686495662636,0.6999655721163442,0.6381809074116765,0.003270062302897991,0.24514706565988617,88,102,0.8032531194295903,0.6205436720142602,1771,1032,0.4188886189644532,0.3301336344814606
