run,real_events,generated_events,real_customers,generated_customers,invalid_amount_rate,invalid_gap_rate,merchant_category_tv,category_amount_tv,gap_previous_category_category_tv,history_amount_tv,category_tv,merchant_tv,amount_tv,gap_tv,real_fraud_rate,generated_fraud_rate,real_frauds,generated_frauds,invalid_generated_label_rate,label_tv,history_amount_label_tv,class_0_category_amount_tv,class_0_gap_previous_category_category_tv,class_0_history_amount_tv,class_1_category_amount_tv,class_1_gap_previous_category_category_tv,class_1_history_amount_tv,class_0_merchant_tv,class_0_merchant_category_tv,class_0_gap_category_amount_history_tv,class_1_merchant_tv,class_1_merchant_category_tv,class_1_gap_category_amount_history_tv,previous_current_fraud_tv,fraud_previous_category_current_category_tv,fraud_onset_events,real_fraud_onset_events,fraud_onset_category_amount_tv,fraud_onset_history_amount_tv,fraud_continuation_events,real_fraud_continuation_events,fraud_continuation_category_amount_tv,fraud_continuation_history_amount_tv
real_train,174879,916567,143,688,0.0,0.0,0.03378018421881512,0.0416831161722734,0.047726122857280555,0.021571864416086325,0.019992886825083662,0.03351778997887998,0.017612946982525687,0.013860463638914015,0.0063758370073021915,0.0056886185079759585,1115,5214,0.0,0.000687218499326207,0.02210673920165893,0.041787282437700954,0.04784887137022774,0.021583185461339447,0.06772140615085716,0.28194750939137175,0.08094864084811526,0.03359584625519231,0.033858224091042374,0.07081435425373728,0.31012950645124115,0.3107103847695322,0.1965776241092937,0.0007277448904014078,0.14058104374778901,481,100,0.14646569646569646,0.15844074844074846,4681,1004,0.07172187132691195,0.07963510197620115
real_validation,174879,174879,143,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063758370073021915,0.0063758370073021915,1115,1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,0.0,0.0,1004,1004,0.0,0.0
codec_roundtrip,174879,174879,143,143,0.0,0.0,0.0,0.002430251774083805,0.005310868968043219,0.0016182617695663756,0.0,0.0,0.000686188736211903,0.0003834355828220704,0.0063758370073021915,0.0063758370073021915,1115,1115,0.0,0.0,0.0017154718405297318,0.002464983413195728,0.0052582473276815336,0.0015780501290084674,0.0036231884057971032,0.03351449275362319,0.02355072463768116,0.0,0.0,0.011795060818282344,0.0,0.0,0.05525362318840579,0.0,0.0,100,100,0.0,0.020000000000000004,1004,1004,0.003984063745019923,0.02390438247011952
cpar_20260928/generated_supported_validation_20261011,174879,17883,143,143,0.0,0.0,0.9204831404126823,0.35047502669996233,0.3209855948124726,0.5582373954771225,0.021879097924730022,0.09107366616819562,0.1996727981359909,0.31484963058976284,0.0063758370073021915,0.01386791925292177,1115,248,0.0,0.007492082245619584,0.5595559806334194,0.34962942390536816,0.31962256224144536,0.5566999832473739,0.8808229813664596,0.7960662525879916,0.7588638716356106,0.09122067325335464,0.9200453643322937,0.646213924142611,0.6942499638362506,0.9802690582959641,0.9441640786749481,0.02439665205487771,0.5982789855072463,217,100,0.9200921658986174,0.7824423963133642,7,1004,0.9980079681274898,0.9292828685258966
cpar_20260928/generated_supported_validation_20261012,174879,17486,143,143,0.0,0.0,0.9209081550955049,0.35399794414280983,0.3243106561571551,0.5622533926248382,0.028683423656434635,0.08546832286738215,0.2058410770365976,0.3180877258650043,0.0063758370073021915,0.014411529223378704,1115,252,0.0,0.008035692216076548,0.5636887763582789,0.3533354932680635,0.3226019937914125,0.561082460146524,0.9003222393228165,0.7840675900987559,0.742152430421957,0.08560856486897747,0.9210282000696297,0.6485232874977597,0.7176738557904478,0.9678482454267207,0.9461732076439656,0.025557789035049815,0.6070123124278568,221,100,0.9247511312217195,0.7978280542986426,5,1004,1.0,0.9402390438247011
digit_relaxed_20260928/generated_validation_20261011,174879,188548,143,143,0.0,0.0,0.8539629166047902,0.2501414045092277,0.1134056036804912,0.0350638559520837,0.0370924933876219,0.1306943795389327,0.025805779748616205,0.010772875885515312,0.0063758370073021915,0.007695653096293782,1115,1451,0.0,0.0013198160889916336,0.03773971009640501,0.2502329419038776,0.11337143800425549,0.03511304597356113,0.5922198846813153,0.41609396914446,0.4020453482935952,0.13060271153904845,0.8545781065436645,0.27985012671177656,0.44544136871741463,0.8145073909133332,0.7101488234377435,0.001750980186708058,0.22258259311204612,185,100,0.8527027027027028,0.741891891891892,1210,1004,0.5594185242501071,0.3782242929110006
digit_relaxed_20260928/generated_validation_20261012,174879,185803,143,143,0.0,0.0,0.8534092560399994,0.2525737149385952,0.1117453979395055,0.03456903105796377,0.03829175061386387,0.12953290053855107,0.029345915825224035,0.010236302198262832,0.0063758370073021915,0.009327082985742965,1115,1733,0.0,0.002951245978440769,0.038215285752986924,0.2531418426705222,0.11169617428648052,0.035831641382196404,0.5798136645962733,0.42479296066252586,0.3719202898550724,0.12940733410031827,0.8539034063128157,0.2804429240563937,0.43222592823559547,0.8252973795409086,0.7036749482401656,0.0032898408164645275,0.24145962732919257,169,100,0.8084023668639054,0.6579881656804736,1511,1004,0.5578559356221705,0.36395846132346854
digit_relaxed_20260929/generated_validation_20261011,174879,192805,143,143,0.0,0.0,0.6579139234645113,0.17682154898261954,0.12098235142440704,0.044745107610197045,0.04300211449005975,0.1021846333177621,0.017461008937949093,0.00988394784489072,0.0063758370073021915,0.009434402634786442,1115,1819,0.0,0.003058565627484275,0.0477029788383682,0.17831768268625842,0.12168586164983244,0.045641915005154944,0.43446570728720146,0.39568075117370893,0.3520897121861604,0.10186156852298976,0.6583991593400655,0.21978693739539965,0.471169543212281,0.7031754992764466,0.6452827107572974,0.00308750183933535,0.2496688099612166,85,100,0.8088235294117646,0.6235294117647059,1690,1004,0.42068059124448953,0.339075650062472
digit_relaxed_20260929/generated_validation_20261012,174879,176545,143,143,0.0,0.0,0.6579930714484825,0.1788463507210239,0.12607421140877267,0.04328488404210142,0.04891072645172203,0.10004768273879322,0.017189759622585007,0.016930868055999346,0.0063758370073021915,0.007595797105553825,1115,1341,0.0,0.0012199600982516412,0.04548699815920319,0.17987159557295276,0.12667948251911898,0.04346868791757907,0.45050346759135773,0.40109584778163065,0.3421134524762159,0.09987485011510186,0.6584787017465864,0.22198158520986552,0.4752935196610521,0.7068755998301248,0.6358417800302303,0.001227217238024814,0.2115175157819863,79,100,0.840759493670886,0.6027848101265824,1225,1004,0.4321139930075616,0.3378372225384178
native_20260928/generated_validation_20261011,174879,183811,143,143,0.0,0.0,0.730332503554042,0.20175812748479077,0.12625534101646407,0.04757010761815808,0.046592136015509426,0.09652128531250417,0.025711185879698353,0.02530600089849319,0.0063758370073021915,0.007007197610589138,1115,1288,0.0,0.0006313606032869461,0.05047440182059797,0.20193290191828067,0.1263092476276722,0.047785066760174244,0.4948879215183563,0.4262231599188121,0.42555549620767014,0.09646551943089168,0.7307290553655277,0.24525541169562545,0.4647042029913935,0.7526244324986768,0.6661881743403484,0.0014527718184459922,0.25272851903286686,208,100,0.8453846153846154,0.6805769230769229,1013,1004,0.43134765970668176,0.3994318874551153
