gap_bin,seen_merchant,amount_vs_history,events,customers,frauds,invalid_labels,fraud_rate,event_share,source
-1,0,-1,688,688,52,0,0.0755813953488372,0.000750627068179413,real_train
0,0,0,3,3,0,0,0.0,3.273083146131161e-06,real_train
0,0,1,2,2,0,0,0.0,2.1820554307541076e-06,real_train
0,1,0,5,5,0,0,0.0,5.455138576885269e-06,real_train
0,1,1,2,2,0,0,0.0,2.1820554307541076e-06,real_train
1,0,-1,1,1,0,0,0.0,1.0910277153770538e-06,real_train
1,0,0,38,35,2,0,0.05263157894736842,4.145905318432804e-05,real_train
1,0,1,21,21,0,0,0.0,2.291158202291813e-05,real_train
1,0,2,9,9,2,0,0.2222222222222222,9.819249438393484e-06,real_train
1,1,0,100,86,1,0,0.01,0.00010910277153770537,real_train
1,1,1,57,53,0,0,0.0,6.218857977649206e-05,real_train
1,1,2,22,22,3,0,0.13636363636363635,2.400260973829518e-05,real_train
2,0,-1,5,5,2,0,0.4,5.455138576885269e-06,real_train
2,0,0,442,284,9,0,0.020361990950226245,0.0004822342501966577,real_train
2,0,1,255,205,5,0,0.0196078431372549,0.0002782120674211487,real_train
2,0,2,142,118,28,0,0.19718309859154928,0.00015492593558354164,real_train
2,1,0,967,335,6,0,0.0062047569803516025,0.001055023800769611,real_train
2,1,1,587,278,2,0,0.0034071550255536627,0.0006404332689263306,real_train
2,1,2,295,189,29,0,0.09830508474576272,0.0003218531760362308,real_train
3,0,-1,35,33,12,0,0.34285714285714286,3.818597003819688e-05,real_train
3,0,0,1857,528,18,0,0.009693053311793215,0.0020260384674551887,real_train
3,0,1,1011,453,16,0,0.01582591493570722,0.0011030290202462014,real_train
3,0,2,572,349,84,0,0.14685314685314685,0.0006240678531956748,real_train
3,1,0,4292,496,21,0,0.0048928238583411,0.0046826909543983145,real_train
3,1,1,2608,478,10,0,0.003834355828220859,0.002845400281703356,real_train
3,1,2,1328,395,109,0,0.08207831325301204,0.0014488848060207273,real_train
4,0,-1,136,117,32,0,0.23529411764705882,0.0001483797692912793,real_train
4,0,0,10892,647,113,0,0.010374586852735953,0.011883473875886869,real_train
4,0,1,5925,645,78,0,0.013164556962025316,0.006464339213609043,real_train
4,0,2,3172,589,363,0,0.11443883984867591,0.0034607399131760144,real_train
4,1,-1,1,1,1,0,1.0,1.0910277153770538e-06,real_train
4,1,0,24271,612,93,0,0.0038317333443203825,0.026480333679916472,real_train
4,1,1,14855,592,33,0,0.0022214742510939076,0.016207216711926133,real_train
4,1,2,7533,566,439,0,0.05827691490773928,0.008218711779935346,real_train
5,0,-1,377,283,69,0,0.1830238726790451,0.0004113174486971493,real_train
5,0,0,30949,663,171,0,0.005525218908526932,0.03376621676320444,real_train
5,0,1,17221,656,65,0,0.0037744614133906275,0.018788588286508243,real_train
5,0,2,8505,640,404,0,0.047501469723691944,0.009279190719281842,real_train
5,1,-1,3,3,1,0,0.3333333333333333,3.273083146131161e-06,real_train
5,1,0,64334,637,161,0,0.002502564740261759,0.07019017704106738,real_train
