run,condition,events,customers,frauds,fraud_rate,ci_low,ci_high,bootstrap_nonempty,adequate_support
real_train,all,916567,688,5214,0.0056886185079759585,0.005296225320685302,0.006069261323193411,500,True
real_train,positive_gap_le_5s,248,181,8,0.03225806451612903,0.012625013299287158,0.05428365221329104,500,False
real_train,positive_gap_le_300s,14644,643,359,0.024515159792406448,0.020932961570048876,0.027805456127026843,500,True
real_train,seen_merchant,579699,644,2497,0.0043074078099151454,0.0039700544804853735,0.004628731837459275,500,True
real_train,new_merchant,336868,688,2717,0.008065473716708028,0.0073762682759591375,0.008801239926715726,500,True
real_train,amount_gt_3x_prior20median,143742,657,3479,0.024203086084790805,0.022363352029912194,0.02601918537409481,500,True
real_train,previous_fraud,5158,533,4681,0.9075222954633579,0.9045482157507762,0.9111939353186016,500,True
real_train,previous_normal,910721,636,481,0.0005281529689114449,0.0004956202634367903,0.000558158313502765,500,True
real_train,short_seen,10256,567,181,0.01764820592823713,0.01450059478623603,0.020687784289052963,500,True
real_train,short_new,4388,630,178,0.04056517775752051,0.03341358839841295,0.04764764938684122,500,True
real_train,first_transaction,688,688,52,0.0755813953488372,0.056686046511627904,0.09593023255813954,500,True
real_train,short_sequence_le_100_RETROSPECTIVE,507,52,507,1.0,1.0,1.0,500,True
real_train,long_sequence_gt_100_RETROSPECTIVE,916060,636,4707,0.005138309717704081,0.004791384346397673,0.005472554579061274,500,True
real_validation,all,177997,147,1146,0.006438310758046484,0.0054630808922826275,0.0075536795884678445,500,True
real_validation,positive_gap_le_5s,45,33,1,0.022222222222222223,0.0,0.09340479651162789,500,False
real_validation,positive_gap_le_300s,2619,139,67,0.025582283314242078,0.017894859008571393,0.03658355054145282,500,True
real_validation,seen_merchant,109475,138,506,0.004622059831011646,0.003774387943122056,0.005463642226692911,500,True
real_validation,new_merchant,68522,147,640,0.009340065964215872,0.007631733660439957,0.011275772817968223,500,True
real_validation,amount_gt_3x_prior20median,28004,144,759,0.027103270961291243,0.022737449274919504,0.03186564781094008,500,True
real_validation,previous_fraud,1133,114,1032,0.910856134157105,0.9029502358185812,0.9186687792074771,500,True
real_validation,previous_normal,176717,135,102,0.0005771940447155621,0.000500271634909326,0.0006626865301361953,500,True
real_validation,short_seen,1812,111,31,0.017108167770419427,0.010388331174438688,0.026880016143911438,500,True
real_validation,short_new,807,133,36,0.04460966542750929,0.027777307963354474,0.06692913385826772,500,True
real_validation,first_transaction,147,147,12,0.08163265306122448,0.04081632653061224,0.1292517006802721,500,False
real_validation,short_sequence_le_100_RETROSPECTIVE,132,12,132,1.0,1.0,1.0,500,True
real_validation,long_sequence_gt_100_RETROSPECTIVE,177865,135,1014,0.005700952969949119,0.004765829543888775,0.0065901269727778305,500,True
codec_roundtrip,all,177997,147,1146,0.006438310758046484,0.0054630808922826275,0.0075536795884678445,500,True
codec_roundtrip,positive_gap_le_5s,38,30,0,0.0,0.0,0.0,500,False
codec_roundtrip,positive_gap_le_300s,2576,138,67,0.026009316770186336,0.018365746608586492,0.037115442054958175,500,True
codec_roundtrip,seen_merchant,109475,138,506,0.004622059831011646,0.003774387943122056,0.005463642226692911,500,True
codec_roundtrip,new_merchant,68522,147,640,0.009340065964215872,0.007631733660439957,0.011275772817968223,500,True
codec_roundtrip,amount_gt_3x_prior20median,28075,146,769,0.027390917186108636,0.022926654401877588,0.032353196552172524,500,True
codec_roundtrip,previous_fraud,1133,114,1032,0.910856134157105,0.9029502358185812,0.9186687792074771,500,True
codec_roundtrip,previous_normal,176717,135,102,0.0005771940447155621,0.000500271634909326,0.0006626865301361953,500,True
codec_roundtrip,short_seen,1783,111,30,0.01682557487380819,0.01001538923615861,0.02725890927664924,500,True
codec_roundtrip,short_new,793,131,37,0.04665825977301387,0.03032763327047124,0.06888636403210917,500,True
codec_roundtrip,first_transaction,147,147,12,0.08163265306122448,0.04081632653061224,0.1292517006802721,500,False
codec_roundtrip,short_sequence_le_100_RETROSPECTIVE,132,12,132,1.0,1.0,1.0,500,True
codec_roundtrip,long_sequence_gt_100_RETROSPECTIVE,177865,135,1014,0.005700952969949119,0.004765829543888775,0.0065901269727778305,500,True
digit_relaxed_20260928/generated_synthetic_20261011,all,190935,147,2122,0.011113729803336215,0.008307591855807548,0.014337375834041427,500,True
digit_relaxed_20260928/generated_synthetic_20261011,positive_gap_le_5s,44,36,2,0.045454545454545456,0.0,0.12668269230769222,500,False
digit_relaxed_20260928/generated_synthetic_20261011,positive_gap_le_300s,2738,134,61,0.022279035792549307,0.01461654876400922,0.031130331840540343,500,True
digit_relaxed_20260928/generated_synthetic_20261011,seen_merchant,120435,142,668,0.005546560385270063,0.0030005677920826343,0.008444241945590144,500,True
digit_relaxed_20260928/generated_synthetic_20261011,new_merchant,70500,147,1454,0.020624113475177307,0.015825126048595466,0.026263343670098627,500,True
digit_relaxed_20260928/generated_synthetic_20261011,amount_gt_3x_prior20median,26974,146,615,0.02279973307629569,0.01602897719928211,0.031047462379823285,500,True
digit_relaxed_20260928/generated_synthetic_20261011,previous_fraud,2111,117,1861,0.881572714353387,0.8481046148977263,0.9072325363890514,500,True
digit_relaxed_20260928/generated_synthetic_20261011,previous_normal,188677,136,189,0.0010017119203718525,0.0008306783364279865,0.0011873980102044509,500,True
digit_relaxed_20260928/generated_synthetic_20261011,short_seen,1922,119,19,0.009885535900104058,0.004384695046409863,0.016476509416588313,500,False
digit_relaxed_20260928/generated_synthetic_20261011,short_new,816,132,42,0.051470588235294115,0.0336551258769093,0.0736378205128205,500,True
digit_relaxed_20260928/generated_synthetic_20261011,first_transaction,147,147,72,0.4897959183673469,0.41496598639455784,0.5782312925170068,500,True
digit_relaxed_20260928/generated_synthetic_20261011,short_sequence_le_100_RETROSPECTIVE,405,15,308,0.7604938271604939,0.4544293427008676,1.0,500,True
digit_relaxed_20260928/generated_synthetic_20261011,long_sequence_gt_100_RETROSPECTIVE,190530,132,1814,0.009520810371070172,0.006866481900830887,0.012709569910422741,500,True
digit_relaxed_20260928/generated_synthetic_20261012,all,181504,147,1821,0.010032836741889985,0.007248581630505489,0.013112615495440188,500,True
digit_relaxed_20260928/generated_synthetic_20261012,positive_gap_le_5s,39,29,1,0.02564102564102564,0.0,0.07853846153846147,500,False
digit_relaxed_20260928/generated_synthetic_20261012,positive_gap_le_300s,2572,133,67,0.026049766718507,0.01644395281260249,0.03712932980080463,500,True
digit_relaxed_20260928/generated_synthetic_20261012,seen_merchant,113340,140,500,0.0044115052055761425,0.002482832306261623,0.006822533249755982,500,True
digit_relaxed_20260928/generated_synthetic_20261012,new_merchant,68164,147,1321,0.019379731236429786,0.014259575781404665,0.024736307135888928,500,True
digit_relaxed_20260928/generated_synthetic_20261012,amount_gt_3x_prior20median,26567,146,540,0.020325968306545716,0.01357538098839422,0.028245640952692823,500,True
digit_relaxed_20260928/generated_synthetic_20261012,previous_fraud,1807,108,1587,0.87825124515772,0.8438154136000378,0.9032492741042131,500,True
digit_relaxed_20260928/generated_synthetic_20261012,previous_normal,179550,135,170,0.0009468114731272626,0.0007492053562679152,0.0011582714553361642,500,True
