run,field,label,real_eligible,real_valid,real_invalid_or_missing,real_mean,real_median,real_p90,real_p99,generated_eligible,generated_valid,generated_invalid_or_missing,generated_mean,generated_median,generated_p90,generated_p99,ks_distance,wasserstein_raw,wasserstein_log1p
real_train,amount,all,177997,177997,0,73.35831530868498,49.06,145.07399999999996,577.1416000000003,916567,916567,0,69.54485569521923,47.07,134.7,538.9433999999998,0.017236979362888316,4.250868228301783,0.05930906081628782
real_train,amount,normal,176851,176851,0,70.45379302350565,48.8,141.9,501.54,911353,911353,0,66.88200075053246,46.84,132.42,481.04,0.017108302888726168,4.019617780066356,0.05823786307172106
real_train,amount,fraud,1146,1146,0,521.5849040139616,361.07,1013.7249999999999,1172.2469999999996,5214,5214,0,534.9842194092827,434.46000000000004,1024.124,1183.2589999999998,0.03425834995190158,14.839321359931066,0.052899511711804695
real_train,gap_seconds,all,177850,177850,0,35181.056868147316,17524.0,84094.60000000003,259750.78000000166,915879,915879,0,32190.240792724802,16428.0,77349.0,230064.8799999999,0.01927052440906063,2993.044125757845,0.07331802263697769
real_train,gap_seconds,normal,176716,176716,0,35271.370272074964,17604.5,84269.5,260288.3000000001,910717,910717,0,32250.32988842857,16486.0,77463.0,230307.0,0.019518233912483196,3023.2673461634977,0.07439677595565722
real_train,gap_seconds,fraud,1134,1134,0,21107.13844797178,4598.5,69396.40000000001,152635.0900000002,5162,5162,0,21588.892289810152,4862.5,70091.90000000001,156732.60000000044,0.027717132456897442,1243.5793418462188,0.08634324106288521
real_train,amount_history_ratio,all,177262,177262,0,1.9102680195948711,0.9974160322970955,4.075502262306352,14.921696166423038,913127,913127,0,1.9355017340353198,0.9976198976555991,4.083209908044399,15.233868212128328,0.007764701405004626,0.03715883528477706,0.005043311566546954
real_train,amount_history_ratio,normal,176176,176176,0,1.8552852058824245,0.9935297579672598,3.994108734496654,13.734093709300247,908185,908185,0,1.8882288546043617,0.9937970490816019,4.0073075832175755,14.114042240081018,0.0077245928989816415,0.042794606382650806,0.005460852756050645
real_train,amount_history_ratio,fraud,1086,1086,0,10.829837254036924,6.934483835146863,24.590326373409063,77.28297274087483,4942,4942,0,10.622778141563623,7.454408300462722,23.91915552256804,60.67258905298403,0.02684547752082539,0.584920821879264,0.037705358072159786
real_validation,amount,all,177997,177997,0,73.35831530868498,49.06,145.07399999999996,577.1416000000003,177997,177997,0,73.35831530868498,49.06,145.07399999999996,577.1416000000003,0.0,0.0,0.0
real_validation,amount,normal,176851,176851,0,70.45379302350565,48.8,141.9,501.54,176851,176851,0,70.45379302350565,48.8,141.9,501.54,0.0,0.0,0.0
real_validation,amount,fraud,1146,1146,0,521.5849040139616,361.07,1013.7249999999999,1172.2469999999996,1146,1146,0,521.5849040139616,361.07,1013.7249999999999,1172.2469999999996,0.0,0.0,0.0
real_validation,gap_seconds,all,177850,177850,0,35181.056868147316,17524.0,84094.60000000003,259750.78000000166,177850,177850,0,35181.056868147316,17524.0,84094.60000000003,259750.78000000166,0.0,0.0,0.0
real_validation,gap_seconds,normal,176716,176716,0,35271.370272074964,17604.5,84269.5,260288.3000000001,176716,176716,0,35271.370272074964,17604.5,84269.5,260288.3000000001,0.0,0.0,0.0
real_validation,gap_seconds,fraud,1134,1134,0,21107.13844797178,4598.5,69396.40000000001,152635.0900000002,1134,1134,0,21107.13844797178,4598.5,69396.40000000001,152635.0900000002,0.0,0.0,0.0
real_validation,amount_history_ratio,all,177262,177262,0,1.9102680195948711,0.9974160322970955,4.075502262306352,14.921696166423038,177262,177262,0,1.9102680195948711,0.9974160322970955,4.075502262306352,14.921696166423038,0.0,0.0,0.0
real_validation,amount_history_ratio,normal,176176,176176,0,1.8552852058824245,0.9935297579672598,3.994108734496654,13.734093709300247,176176,176176,0,1.8552852058824245,0.9935297579672598,3.994108734496654,13.734093709300247,0.0,0.0,0.0
real_validation,amount_history_ratio,fraud,1086,1086,0,10.829837254036924,6.934483835146863,24.590326373409063,77.28297274087483,1086,1086,0,10.829837254036924,6.934483835146863,24.590326373409063,77.28297274087483,0.0,0.0,0.0
codec_roundtrip,amount,all,177997,177997,0,73.35831530868498,49.06,145.07399999999996,577.1416000000003,177997,177997,0,148.75165221885763,49.06,145.17399999999995,1917.7096000000242,0.009550722764990471,75.41462457232427,0.022938018892413693
codec_roundtrip,amount,normal,176851,176851,0,70.45379302350565,48.8,141.9,501.54,176851,176851,0,125.65953706792723,48.81,141.94,503.07,0.0068814991150741855,55.23157607251296,0.01724163359430867
codec_roundtrip,amount,fraud,1146,1146,0,521.5849040139616,361.07,1013.7249999999999,1172.2469999999996,1146,1146,0,3712.3325043630025,460.515,11924.27,14852.052999999996,0.4380453752181501,3195.387705061082,0.9215871208816515
codec_roundtrip,gap_seconds,all,177850,177850,0,35181.056868147316,17524.0,84094.60000000003,259750.78000000166,177850,177850,0,39841.407804329494,17506.0,84196.40000000002,475417.200000003,0.009013213382063512,4667.721799269055,0.011036612606598979
codec_roundtrip,gap_seconds,normal,176716,176716,0,35271.370272074964,17604.5,84269.5,260288.3000000001,176716,176716,0,39957.61763507549,17580.0,84374.0,478085.0500000019,0.009065393060051163,4693.472424681404,0.01103242436427611
codec_roundtrip,gap_seconds,fraud,1134,1134,0,21107.13844797178,4598.5,69396.40000000001,152635.0900000002,1134,1134,0,21731.94003527337,4620.0,68970.1,151707.50000000006,0.014991181657848324,866.0978835978775,0.027142279728574286
codec_roundtrip,amount_history_ratio,all,177262,177262,0,1.9102680195948711,0.9974160322970955,4.075502262306352,14.921696166423038,177262,177262,0,3.7437944428163576,0.9974825741911171,4.092455646972356,36.93186215138159,0.008287168146585366,1.833825367617889,0.02151389851264692
codec_roundtrip,amount_history_ratio,normal,176176,176176,0,1.8552852058824245,0.9935297579672598,3.994108734496654,13.734093709300247,176176,176176,0,3.2840073841883015,0.993203753257929,4.010621855106956,18.36498513993322,0.006306193806193794,1.429555813195492,0.016433034234094857
codec_roundtrip,amount_history_ratio,fraud,1086,1086,0,10.829837254036924,6.934483835146863,24.590326373409063,77.28297274087483,1086,1086,0,78.33260184691972,9.41688564436512,241.1435312460526,634.7557563122378,0.34162062615101296,67.50806455055238,0.8632178325595182
digit_relaxed_20260928/generated_synthetic_20261011,amount,all,177997,177997,0,73.35831530868498,49.06,145.07399999999996,577.1416000000003,190935,190935,0,138.5229263361877,45.71,137.47,532.0492000000005,0.02495559974061151,71.62975935611769,0.06491717839188489
digit_relaxed_20260928/generated_synthetic_20261011,amount,normal,176851,176851,0,70.45379302350565,48.8,141.9,501.54,188813,188813,0,117.48144698723077,45.52,134.5,474.84160000000037,0.02455798400265724,53.25912312929933,0.058633160437723514
digit_relaxed_20260928/generated_synthetic_20261011,amount,fraud,1146,1146,0,521.5849040139616,361.07,1013.7249999999999,1172.2469999999996,2122,2122,0,2010.7683741753065,125.91499999999999,9469.990000000002,14545.644,0.3281100677190506,1872.8562729931425,1.4398278050406246
digit_relaxed_20260928/generated_synthetic_20261011,gap_seconds,all,177850,177850,0,35181.056868147316,17524.0,84094.60000000003,259750.78000000166,190788,190788,0,33164.73859991194,16987.0,78367.50000000009,247136.1200000001,0.01930011246315677,2106.7782697081057,0.0470639330239536
digit_relaxed_20260928/generated_synthetic_20261011,gap_seconds,normal,176716,176716,0,35271.370272074964,17604.5,84269.5,260288.3000000001,188738,188738,0,33249.07791753648,17062.5,78491.30000000002,247784.54000000027,0.019353373118546124,2114.5813336992933,0.047648595210139776
digit_relaxed_20260928/generated_synthetic_20261011,gap_seconds,fraud,1134,1134,0,21107.13844797178,4598.5,69396.40000000001,152635.0900000002,2050,2050,0,25399.843902439025,8712.5,70927.50000000001,195339.80999999994,0.15724265496623224,4380.819910526087,0.46317572082749253
digit_relaxed_20260928/generated_synthetic_20261011,amount_history_ratio,all,177262,177262,0,1.9102680195948711,0.9974160322970955,4.075502262306352,14.921696166423038,190200,190200,0,3.396667315592321,0.9959828383494014,3.7757594814527375,19.899432841145487,0.018530779399284214,1.6172281588273105,0.036575829703611284
digit_relaxed_20260928/generated_synthetic_20261011,amount_history_ratio,normal,176176,176176,0,1.8552852058824245,0.9935297579672598,3.994108734496654,13.734093709300247,188367,188367,0,3.1722127761702072,0.995748299319728,3.7244840710996074,16.340118890578026,0.017069528376246146,1.429742127755356,0.032785785354611886
digit_relaxed_20260928/generated_synthetic_20261011,amount_history_ratio,fraud,1086,1086,0,10.829837254036924,6.934483835146863,24.590326373409063,77.28297274087483,1833,1833,0,26.462585606549826,1.0206185567010309,45.29973036932755,538.5263810144982,0.3665518291120736,22.529075955697074,0.8695496869260224
digit_relaxed_20260928/generated_synthetic_20261012,amount,all,177997,177997,0,73.35831530868498,49.06,145.07399999999996,577.1416000000003,181504,181504,0,138.16948067260225,44.96,138.03700000000012,535.0894000000001,0.030562434368990976,71.6345641603844,0.07582327137523458
digit_relaxed_20260928/generated_synthetic_20261012,amount,normal,176851,176851,0,70.45379302350565,48.8,141.9,501.54,179683,179683,0,116.92783106916067,44.76,135.28800000000018,476.5217999999999,0.030332760822818106,53.02800888862078,0.06938984919385605
digit_relaxed_20260928/generated_synthetic_20261012,amount,fraud,1146,1146,0,521.5849040139616,361.07,1013.7249999999999,1172.2469999999996,1821,1821,0,2234.1405546403075,161.4,9818.74,14812.652,0.31106549246573567,2043.749786809503,1.4007101833561648
digit_relaxed_20260928/generated_synthetic_20261012,gap_seconds,all,177850,177850,0,35181.056868147316,17524.0,84094.60000000003,259750.78000000166,181357,181357,0,34138.518893673805,17517.0,81161.4,252856.3600000001,0.011641531852093268,1100.0607847570675,0.018685809307935196
digit_relaxed_20260928/generated_synthetic_20261012,gap_seconds,normal,176716,176716,0,35271.370272074964,17604.5,84269.5,260288.3000000001,179600,179600,0,34192.1095545657,17574.0,81250.1,252995.47000000044,0.01182080318521972,1130.7715927316024,0.019642882099389518
digit_relaxed_20260928/generated_synthetic_20261012,gap_seconds,fraud,1134,1134,0,21107.13844797178,4598.5,69396.40000000001,152635.0900000002,1757,1757,0,28660.498007968126,9415.0,75920.8,221298.2800000002,0.1807619609744444,7553.6072464990275,0.5283961785379052
digit_relaxed_20260928/generated_synthetic_20261012,amount_history_ratio,all,177262,177262,0,1.9102680195948711,0.9974160322970955,4.075502262306352,14.921696166423038,180769,180769,0,3.362944257431734,0.9968823070927513,3.8533985243845454,19.796599017211562,0.020594833542569968,1.5473042874550285,0.033656013195428776
digit_relaxed_20260928/generated_synthetic_20261012,amount_history_ratio,normal,176176,176176,0,1.8552852058824245,0.9935297579672598,3.994108734496654,13.734093709300247,179204,179204,0,3.219341307274819,0.99666133565423,3.811277351640796,16.281249887307148,0.019296888347979935,1.4407411385190487,0.03073006367587473
digit_relaxed_20260928/generated_synthetic_20261012,amount_history_ratio,fraud,1086,1086,0,10.829837254036924,6.934483835146863,24.590326373409063,77.28297274087483,1565,1565,0,19.806537279744813,1.0323213910117086,46.42574153424961,335.5055645609367,0.35799928217981986,15.636047274807058,0.8322669500508959
digit_relaxed_20260928/generated_validation_20261011,amount,all,177997,177997,0,73.35831530868498,49.06,145.07399999999996,577.1416000000003,194267,194267,0,130.50863301538607,45.64,137.0479999999999,519.9335999999998,0.025346258703052182,64.32466823967151,0.06410133794764024
digit_relaxed_20260928/generated_validation_20261011,amount,normal,176851,176851,0,70.45379302350565,48.8,141.9,501.54,192800,192800,0,116.39559227178424,45.53,135.19100000000006,478.3414000000013,0.024502457568484126,51.683539470713775,0.056291594750065094
