repeat,real_events,generated_events,real_customers,generated_customers,invalid_amount_rate,invalid_gap_rate,merchant_category_tv,category_amount_tv,gap_previous_category_category_tv,history_amount_tv,category_tv,merchant_tv,amount_tv,gap_tv,real_fraud_rate,generated_fraud_rate,real_frauds,generated_frauds,invalid_generated_label_rate,label_tv,history_amount_label_tv,class_0_category_amount_tv,class_0_gap_previous_category_category_tv,class_0_history_amount_tv,class_1_category_amount_tv,class_1_gap_previous_category_category_tv,class_1_history_amount_tv,class_0_merchant_tv,class_0_merchant_category_tv,class_0_gap_category_amount_history_tv,class_1_merchant_tv,class_1_merchant_category_tv,class_1_gap_category_amount_history_tv,fraud_onset_category_amount_tv,fraud_onset_history_amount_tv,fraud_continuation_category_amount_tv,fraud_continuation_history_amount_tv
0,177997,201107,147,147,0.0,0.0,0.042363922655634226,0.05742108092784992,0.06404085551008239,0.027752040668074348,0.024912922549233413,0.0421456020233278,0.03094625024429791,0.01905074170828494,0.006438310758046484,0.005489614981079724,1146,1104,0.0,0.0009486957769667642,0.0284627096646594,0.05738438081967802,0.06405024087843832,0.02784036613755788,0.10577089091880186,0.36511002354247246,0.06714768181678823,0.042282603062411224,0.0425153034299557,0.09384736534962912,0.39712800667728965,0.3971612034296988,0.26915468162799666,0.2254901960784314,0.2254901960784314,0.11201198382340288,0.07229699074617293
1,177997,180467,147,147,0.0,0.0,0.04110020876218971,0.04166130666962774,0.04873332330939979,0.010976870958602041,0.018117477041935094,0.04083493396857098,0.021309263950737935,0.003925971483800791,0.006438310758046484,0.006466556212493143,1146,1167,0.0,2.8245454446671793e-05,0.01165260192081968,0.04200201758039794,0.04881918051004658,0.011150307354933803,0.07805571234307863,0.341893167276226,0.08848246503638237,0.04104975592351694,0.04131077218676869,0.07876976723258303,0.3792424303602112,0.38019354230877944,0.24398509524268414,0.18275989641139473,0.2021827598964114,0.08971091268519137,0.08048466271295616
2,177997,180883,147,147,0.0,0.0,0.04264610247672243,0.04056508017132776,0.0546474548251423,0.02215373814185833,0.021850989140146465,0.042222935349346014,0.018331263030772572,0.018631486929575038,0.006438310758046484,0.00604258001028289,1146,1093,0.0,0.0003957307477635754,0.023242260497440437,0.040972482124234155,0.05494860379386915,0.022494211973951787,0.09169678709908596,0.35132505247447776,0.12442656120817039,0.042458500845656694,0.042907583763550965,0.07643040472378133,0.37478863591728423,0.37570354900054126,0.2797230728265211,0.14052287581699344,0.13986928104575164,0.10123061029753881,0.12583788749832422
3,177997,216767,147,147,0.0,0.0,0.040179405073093255,0.05106427185724797,0.06387099374038746,0.05247075472131668,0.01836756790656901,0.04001361763250791,0.0255294237075704,0.032011800019970976,0.006438310758046484,0.005291395830546162,1146,1147,0.0,0.0011469149275003098,0.0533620909693466,0.05102698628752522,0.06417774552329075,0.052732918920977444,0.07674284411311678,0.3617242069308912,0.10932650202658996,0.040189327814276574,0.040341997500406256,0.09938608696617136,0.36681699432923887,0.36942642693360483,0.2557412293560051,0.20441634597764338,0.22420743998533993,0.08262399337698503,0.11567885903514713
4,177997,184705,147,147,0.0,0.0,0.03888698787113263,0.026783465316843953,0.04472833758173983,0.012004756659213845,0.013629129294997249,0.0386529028266224,0.012251560620154157,0.008095646843899863,0.006438310758046484,0.006556400747137327,1146,1211,0.0,0.00011808998909087565,0.012533862627630338,0.02700490788564545,0.044824660392176564,0.012051854249571,0.07415651600403965,0.3521507038479771,0.08804798120323995,0.03877821272795136,0.03900832664087502,0.0652568945036666,0.383498846380546,0.3859761378751785,0.23348585090376964,0.16067538126361655,0.16339869281045755,0.08366581324230142,0.08631320674205248
5,177997,195208,147,147,0.0,0.0,0.03914552709780732,0.039890217322457004,0.05212010965012067,0.02663427842547518,0.019402078587302057,0.038864637502897315,0.014299779667293757,0.01914396430304625,0.006438310758046484,0.0058040654071554445,1146,1133,0.0,0.0006342453508910557,0.027055189249247606,0.04000636826704807,0.05204003519417205,0.026467499050380733,0.09888804006451066,0.3503098208980562,0.106928293202803,0.0390926653944119,0.039402341730000304,0.07054917790161083,0.3815011806675508,0.38150118066755084,0.2631449886351847,0.153657616892911,0.23265460030165913,0.10535173086002343,0.1017651269398882
6,177997,198757,147,147,0.0,0.0,0.03879466870125643,0.03917903538250356,0.049214396536105855,0.02308863381089797,0.01516887876021685,0.038536912259219416,0.021036982705455832,0.013745370923929188,0.006438310758046484,0.005504208656802024,1146,1094,0.0,0.0009341021012444547,0.023723537873774608,0.039207020269529276,0.04940772174035729,0.02306819747426765,0.08321101439381011,0.3357171303407863,0.09953348125391139,0.03878616254658479,0.0390444065614499,0.07492684856215659,0.3754861516569835,0.3754861516569835,0.24309040223018719,0.09943977591036413,0.17647058823529413,0.0848560354374308,0.09476744186046511
7,177997,184812,147,147,0.0,0.0,0.0451194289525107,0.06003855255565281,0.055474039447203596,0.011525962381220882,0.022211272905126055,0.044855573107895966,0.029473293998347756,0.006542158367893328,0.006438310758046484,0.005919529034911153,1146,1094,0.0,0.0005187817231353422,0.01226582788584639,0.06038901422648874,0.055821209961913386,0.011754246686212562,0.05671612110305888,0.349380760040033,0.10402220722615052,0.045033745526702904,0.04528249683124565,0.09233036255389278,0.3963456071671277,0.39858852506612297,0.26660733438305834,0.2261029411764706,0.17647058823529413,0.06576174976807082,0.11306350928502915
8,177997,202603,147,147,0.0,0.0,0.04145925876710711,0.047335508551375666,0.05989410400140089,0.028813541840863984,0.020603011820704425,0.04130299318224386,0.01837222234644452,0.022076224180723903,0.006438310758046484,0.0052368424949285055,1146,1061,0.0,0.0012014682631179669,0.02978109553647748,0.047211839938539134,0.06001327185710408,0.029006153891259188,0.0646633802864037,0.352554641928456,0.08482174231699849,0.041380153844535306,0.041535489643279674,0.08520065738930166,0.39575263219360707,0.39669513926241007,0.2338567446094328,0.18196078431372548,0.19254901960784315,0.06330749354005169,0.08855614060747892
9,177997,194901,147,147,0.0,0.0,0.038675667254019615,0.03680186835744826,0.049575963233927864,0.02416742561626246,0.017117134877295367,0.038481533098360894,0.017679782902806543,0.01600044113521622,0.006438310758046484,0.005366827261019697,1146,1046,0.0,0.0010714834970267898,0.025220212357130012,0.03672978787135925,0.04968622828523929,0.024481302827056545,0.07436574457851056,0.3580110459543084,0.07414059541719116,0.03853332960035631,0.038707508596187296,0.08102558946169927,0.39574010858285036,0.39677955412291155,0.2195357833655706,0.20773993808049535,0.1609907120743034,0.07889702058102385,0.08052542288926863
