run,age_band,events,valid_ratio_events,real_valid_ratio_events,valid_event_share,real_valid_event_share,amount_mean,ratio_median,ratio_log_w1
real_train,0,533,476,102,0.09631728045325778,0.09392265193370165,403.4414075630252,7.132480333837616,0.19574881041727524
real_train,1,2087,1872,407,0.37879401052205586,0.3747697974217311,524.0941773504273,10.322888065765733,0.06684678557280774
real_train,2,2026,2026,438,0.40995548360987455,0.40331491712707185,565.4160661401777,6.7333935907628035,0.06163993638326957
real_train,3,568,568,139,0.11493322541481182,0.1279926335174954,582.9113556338028,3.6618770401020724,0.21196899379796252
real_train,4,0,0,0,0.0,0.0,,,
real_validation,0,114,102,102,0.09392265193370165,0.09392265193370165,459.5535294117647,8.904323417665521,0.0
real_validation,1,455,407,407,0.3747697974217311,0.3747697974217311,510.10260442260443,10.002508308772809,0.0
real_validation,2,438,438,438,0.40331491712707185,0.40331491712707185,569.438904109589,6.45493374446024,0.0
real_validation,3,139,139,139,0.1279926335174954,0.1279926335174954,486.8477697841726,2.796083524827655,0.0
real_validation,4,0,0,0,0.0,0.0,,,
digit_relaxed_20260928/generated_validation_20261011,0,248,185,102,0.14694201747418587,0.09392265193370165,344.98372972972976,0.9657544489307611,1.3351836701793511
digit_relaxed_20260928/generated_validation_20261011,1,259,114,407,0.09054805401111994,0.3747697974217311,1389.2038596491227,0.9977954154129154,1.114620462954533
digit_relaxed_20260928/generated_validation_20261011,2,261,261,438,0.2073073868149325,0.40331491712707185,2377.914406130268,1.174670367800139,0.9257124033030198
digit_relaxed_20260928/generated_validation_20261011,3,299,299,139,0.2374900714853058,0.1279926335174954,2755.374548494983,1.1173289442746297,0.6314628027476394
digit_relaxed_20260928/generated_validation_20261011,4,400,400,0,0.3177124702144559,0.0,2214.11935,0.772324871095001,
digit_relaxed_20260928/generated_validation_20261012,0,226,169,102,0.1099544567338972,0.09392265193370165,443.50982248520705,0.839180345456496,1.3070263171040222
digit_relaxed_20260928/generated_validation_20261012,1,275,118,407,0.07677293428757319,0.3747697974217311,2205.4979661016946,1.989657365590257,1.0005310891440737
digit_relaxed_20260928/generated_validation_20261012,2,289,289,438,0.18802862719583605,0.40331491712707185,2553.7442906574397,1.3781094527363185,0.8040559853719424
digit_relaxed_20260928/generated_validation_20261012,3,374,374,139,0.24333116460637605,0.1279926335174954,2318.1466844919787,0.9823188007429446,0.5973544039992351
digit_relaxed_20260928/generated_validation_20261012,4,587,587,0,0.3819128171763175,0.0,2810.1006132879047,0.9067559057062767,
digit_relaxed_20260929/generated_validation_20261011,0,135,85,102,0.04985337243401759,0.09392265193370165,410.4335294117647,1.1774587660354305,1.26005787611238
digit_relaxed_20260929/generated_validation_20261011,1,219,68,407,0.03988269794721408,0.3747697974217311,1537.0276470588235,1.6563604728974282,0.9562235788952504
digit_relaxed_20260929/generated_validation_20261011,2,247,247,438,0.14486803519061583,0.40331491712707185,3607.586599190284,4.053164348613283,0.7426694380876249
digit_relaxed_20260929/generated_validation_20261011,3,363,363,139,0.2129032258064516,0.1279926335174954,3221.689669421488,1.1511699745154065,0.5247331072993965
digit_relaxed_20260929/generated_validation_20261011,4,942,942,0,0.5524926686217009,0.0,3636.81364118896,0.890761728545012,
digit_relaxed_20260929/generated_validation_20261012,0,120,80,102,0.06825938566552901,0.09392265193370165,397.146625,1.3694481670613023,1.2620857665991152
digit_relaxed_20260929/generated_validation_20261012,1,210,71,407,0.060580204778156996,0.3747697974217311,2524.871549295775,3.8765272271219353,0.9073525107802584
