codec,seed,threshold_seconds,original_events,decoded_events,intersection_events,membership_changed_events,original_frauds,decoded_frauds,original_customers,decoded_customers
native_binned,20261200,5,45,40,3,79,1,2,33,29
native_binned,20261200,60,513,537,201,648,5,15,103,102
native_binned,20261200,300,2619,2614,2342,549,67,71,139,140
native_binned,20261200,1800,14849,14855,14574,556,339,341,146,146
native_binned,20261201,5,45,51,3,90,1,1,33,33
native_binned,20261201,60,513,503,188,640,5,13,103,101
native_binned,20261201,300,2619,2604,2331,561,67,65,139,136
native_binned,20261201,1800,14849,14796,14547,551,339,338,146,146
native_binned,20261202,5,45,30,1,73,1,1,33,27
native_binned,20261202,60,513,514,187,653,5,14,103,105
native_binned,20261202,300,2619,2614,2332,569,67,69,139,139
native_binned,20261202,1800,14849,14833,14558,566,339,339,146,146
native_binned,20261203,5,45,42,0,87,1,1,33,31
native_binned,20261203,60,513,580,214,665,5,17,103,109
native_binned,20261203,300,2619,2606,2343,539,67,71,139,138
native_binned,20261203,1800,14849,14862,14552,607,339,338,146,146
native_binned,20261204,5,45,45,1,88,1,0,33,37
native_binned,20261204,60,513,547,212,636,5,17,103,110
native_binned,20261204,300,2619,2584,2320,563,67,61,139,139
native_binned,20261204,1800,14849,14859,14566,576,339,338,146,146
native_binned,20261205,5,45,47,2,88,1,0,33,34
native_binned,20261205,60,513,534,191,665,5,11,103,103
native_binned,20261205,300,2619,2606,2331,563,67,67,139,135
native_binned,20261205,1800,14849,14864,14580,553,339,339,146,146
native_binned,20261206,5,45,45,1,88,1,1,33,29
native_binned,20261206,60,513,509,187,648,5,13,103,109
native_binned,20261206,300,2619,2628,2360,527,67,75,139,138
native_binned,20261206,1800,14849,14843,14580,532,339,333,146,146
native_binned,20261207,5,45,37,0,82,1,0,33,29
native_binned,20261207,60,513,531,197,650,5,13,103,105
native_binned,20261207,300,2619,2588,2335,537,67,65,139,139
native_binned,20261207,1800,14849,14848,14560,577,339,341,146,146
native_binned,20261208,5,45,50,7,81,1,1,33,35
native_binned,20261208,60,513,532,188,669,5,9,103,103
native_binned,20261208,300,2619,2597,2311,594,67,66,139,136
native_binned,20261208,1800,14849,14859,14572,564,339,343,146,146
native_binned,20261209,5,45,46,1,89,1,2,33,34
native_binned,20261209,60,513,551,213,638,5,18,103,111
native_binned,20261209,300,2619,2585,2326,552,67,62,139,138
native_binned,20261209,1800,14849,14859,14582,544,339,337,146,146
digit,20261200,5,45,45,45,0,1,1,33,33
digit,20261200,60,513,513,513,0,5,5,103,103
digit,20261200,300,2619,2619,2619,0,67,67,139,139
digit,20261200,1800,14849,14849,14849,0,339,339,146,146
digit,20261201,5,45,45,45,0,1,1,33,33
digit,20261201,60,513,513,513,0,5,5,103,103
digit,20261201,300,2619,2619,2619,0,67,67,139,139
digit,20261201,1800,14849,14849,14849,0,339,339,146,146
digit,20261202,5,45,45,45,0,1,1,33,33
digit,20261202,60,513,513,513,0,5,5,103,103
digit,20261202,300,2619,2619,2619,0,67,67,139,139
digit,20261202,1800,14849,14849,14849,0,339,339,146,146
digit,20261203,5,45,45,45,0,1,1,33,33
digit,20261203,60,513,513,513,0,5,5,103,103
digit,20261203,300,2619,2619,2619,0,67,67,139,139
digit,20261203,1800,14849,14849,14849,0,339,339,146,146
digit,20261204,5,45,45,45,0,1,1,33,33
digit,20261204,60,513,513,513,0,5,5,103,103
digit,20261204,300,2619,2619,2619,0,67,67,139,139
digit,20261204,1800,14849,14849,14849,0,339,339,146,146
digit,20261205,5,45,45,45,0,1,1,33,33
digit,20261205,60,513,513,513,0,5,5,103,103
digit,20261205,300,2619,2619,2619,0,67,67,139,139
digit,20261205,1800,14849,14849,14849,0,339,339,146,146
digit,20261206,5,45,45,45,0,1,1,33,33
digit,20261206,60,513,513,513,0,5,5,103,103
digit,20261206,300,2619,2619,2619,0,67,67,139,139
digit,20261206,1800,14849,14849,14849,0,339,339,146,146
digit,20261207,5,45,45,45,0,1,1,33,33
digit,20261207,60,513,513,513,0,5,5,103,103
digit,20261207,300,2619,2619,2619,0,67,67,139,139
digit,20261207,1800,14849,14849,14849,0,339,339,146,146
digit,20261208,5,45,45,45,0,1,1,33,33
digit,20261208,60,513,513,513,0,5,5,103,103
digit,20261208,300,2619,2619,2619,0,67,67,139,139
digit,20261208,1800,14849,14849,14849,0,339,339,146,146
digit,20261209,5,45,45,45,0,1,1,33,33
digit,20261209,60,513,513,513,0,5,5,103,103
digit,20261209,300,2619,2619,2619,0,67,67,139,139
digit,20261209,1800,14849,14849,14849,0,339,339,146,146
