run,last_epoch,selected_epoch,selected_validation_loss,updates,fit_seconds,weights_sha256,stop_reason,model_parameters
native_20260928,14.0,14.0,22.8415,1078,165.1520519099431,6e4409523577dcdf0f8ec83b473f70176f60cec5a1af26a57fcc095b34ece6ea,native_customer_count_cap,3593840
relaxed_20260928,22.0,17.0,22.6876,1694,268.2826381060295,db2a055d2fd65b8c249b75b94831922a97f1c30348c284d5e977d057afec5811,native_validation_early_stopping,3593840
digit_relaxed_20260928,17.0,12.0,29.8153,1309,240.6131366379559,b4e91c1c2cf39cbaf6f38fdb851bf92014f809ef6fa26f358c07d87d3bed2fc7,native_validation_early_stopping,3929980
numeric_digit_relaxed_20260928,21.0,16.0,35.0796,1617,378.7423098710133,e547a54f656934df0e0f60ae0cf49ce337de42e548849c5376e9f7b8e3d00ffe,native_validation_early_stopping,4807342
native_20260929,14.0,13.0,23.1025,1078,177.1945351830218,c7f9eb243589d5834fa0ad295da328189671a70fcf609edcd80ec29a6b02421a,native_customer_count_cap,3593840
relaxed_20260929,30.0,25.0,22.7204,2310,363.0384114210028,0ccf98de746b0510dd9195adcb0017d9c598dcc756f353e3ab40dbcc75cf836d,native_validation_early_stopping,3593840
digit_relaxed_20260929,23.0,18.0,29.9477,1771,323.5897953050444,6853ec6e156cae26711d86086e2d24c82c3c429e0f3b6a4aa3037bb4157f3f8f,native_validation_early_stopping,3929980
numeric_digit_relaxed_20260929,26.0,21.0,35.1783,2002,469.8049249560572,3f5d1aefcb3b49b3f3cb9dded660b10ea12e289d9666d38bfe3e890f32ecc238,native_validation_early_stopping,4807342
