run,intervention,field,group,events,nll,accuracy,mean_fraud_probability,mean_true_probability
relaxed_20260929,teacher,gap,all,68939,4.420216398358519,0.040775178055962515,,0.016223924384989694
relaxed_20260929,teacher,gap,first,0,,,,
relaxed_20260929,teacher,gap,positions_1_99,13485,4.345990107030306,0.05732295142751205,,0.020448502304740747
relaxed_20260929,teacher,gap,positions_100_511,55454,4.4382663413484025,0.036751181159158944,,0.015196614664359209
relaxed_20260929,teacher,gap,fraud,714,4.747082437620778,0.023809523809523808,,0.015233688554838464
relaxed_20260929,teacher,gap,normal,68225,4.416795623685991,0.04095272993770612,,0.01623428757125174
relaxed_20260929,teacher,gap,fraud_onset,58,3.9548827409744263,0.06896551724137931,,0.02666777133909536
relaxed_20260929,teacher,gap,fraud_continuation,656,4.817124483970607,0.019817073170731708,,0.01422274830866941
relaxed_20260929,teacher,receiver_or_mark,all,69086,6.532259857444403,0.0029383666734215325,,0.0016329390863657892
relaxed_20260929,teacher,receiver_or_mark,first,147,7.040669679641724,0.006802721088435374,,0.002397721050075314
relaxed_20260929,teacher,receiver_or_mark,positions_1_99,13485,6.546877033037745,0.0025954764553207266,,0.001699501701362883
relaxed_20260929,teacher,receiver_or_mark,positions_100_511,55454,6.527357616727066,0.0030115050311970283,,0.001614725435197233
relaxed_20260929,teacher,receiver_or_mark,fraud,726,6.662260241416532,0.009641873278236915,,0.0038569237794898927
relaxed_20260929,teacher,receiver_or_mark,normal,68360,6.530879221418017,0.002867173785839672,,0.00160931982236333
relaxed_20260929,teacher,receiver_or_mark,fraud_onset,58,6.522957686720224,0.017241379310344827,,0.0016154596052164662
relaxed_20260929,teacher,receiver_or_mark,fraud_continuation,656,6.667414220004547,0.009146341463414634,,0.004050767514103633
relaxed_20260929,teacher,amount_or_numeric_value,all,69086,4.420851581347894,0.029354717308861418,,0.015722335811287052
relaxed_20260929,teacher,amount_or_numeric_value,first,147,4.641732206352714,0.047619047619047616,,0.03287550380657788
relaxed_20260929,teacher,amount_or_numeric_value,positions_1_99,13485,4.416040996663566,0.03114571746384872,,0.018501067583650596
relaxed_20260929,teacher,amount_or_numeric_value,positions_100_511,55454,4.421435872518819,0.028870775778122408,,0.015001148635508388
relaxed_20260929,teacher,amount_or_numeric_value,fraud,726,2.3754869224028994,0.49586776859504134,,0.27390964298490794
relaxed_20260929,teacher,amount_or_numeric_value,normal,68360,4.442573856690113,0.024400234055002926,,0.012980323157570717
relaxed_20260929,teacher,amount_or_numeric_value,fraud_onset,58,4.766381530926146,0.06896551724137931,,0.009831107849785095
relaxed_20260929,teacher,amount_or_numeric_value,fraud_continuation,656,2.157095691451814,0.5320121951219512,,0.29745847658806834
relaxed_20260929,teacher,category,all,69086,0.5808215814309073,0.8502590973569175,,0.6590998658173937
relaxed_20260929,teacher,category,first,147,0.5533724342034116,0.8707482993197279,,0.6581608288395567
relaxed_20260929,teacher,category,positions_1_99,13485,0.5891995547906504,0.8459770114942529,,0.6563826808170251
relaxed_20260929,teacher,category,positions_100_511,55454,0.5788570352103698,0.8512460778302737,,0.6597631052260154
relaxed_20260929,teacher,category,fraud,726,0.5655775966989287,0.8278236914600551,,0.710587734942608
relaxed_20260929,teacher,category,normal,68360,0.5809834762950884,0.8504973668812171,,0.6585530519937409
relaxed_20260929,teacher,category,fraud_onset,58,0.4804712432549046,0.8793103448275862,,0.6868229115317608
relaxed_20260929,teacher,category,fraud_continuation,656,0.5801633586807151,0.8201219512195121,,0.7100757281705893
relaxed_20260929,teacher,event_is_fraud,all,69086,0.008248942009761994,0.9981038126393191,0.010473391507391096,0.997045620377247
relaxed_20260929,teacher,event_is_fraud,first,147,0.12444224970282189,0.9795918367346939,0.1733237612775929,0.8980303253649043
relaxed_20260929,teacher,event_is_fraud,positions_1_99,13485,0.00680647330963303,0.9983685576566556,0.016465879873150843,0.997410574725587
relaxed_20260929,teacher,event_is_fraud,positions_100_511,55454,0.008291703112484236,0.9980885057885815,0.008584479797352327,0.9972193470512372
relaxed_20260929,teacher,event_is_fraud,fraud,726,0.5702242815911586,0.8842975206611571,0.8583618124820114,0.8583618124820114
relaxed_20260929,teacher,event_is_fraud,normal,68360,0.0022806257936108234,0.9993124634289058,0.0014686081014874338,0.9985184764997154
relaxed_20260929,teacher,event_is_fraud,fraud_onset,58,5.879280061557375,0.0,0.004647155152834502,0.004647155152834502
relaxed_20260929,teacher,event_is_fraud,fraud_continuation,656,0.11016201313038526,0.9603658536585366,0.9322762383835208,0.9322762383835208
relaxed_20260929,shuffle_current_merchant,gap,all,68939,4.420216398358519,0.040775178055962515,,0.016223924384989694
relaxed_20260929,shuffle_current_merchant,gap,first,0,,,,
relaxed_20260929,shuffle_current_merchant,gap,positions_1_99,13485,4.345990107030306,0.05732295142751205,,0.020448502304740747
relaxed_20260929,shuffle_current_merchant,gap,positions_100_511,55454,4.4382663413484025,0.036751181159158944,,0.015196614664359209
relaxed_20260929,shuffle_current_merchant,gap,fraud,714,4.747082437620778,0.023809523809523808,,0.015233688554838464
relaxed_20260929,shuffle_current_merchant,gap,normal,68225,4.416795623685991,0.04095272993770612,,0.01623428757125174
relaxed_20260929,shuffle_current_merchant,gap,fraud_onset,58,3.9548827409744263,0.06896551724137931,,0.02666777133909536
relaxed_20260929,shuffle_current_merchant,gap,fraud_continuation,656,4.817124483970607,0.019817073170731708,,0.01422274830866941
relaxed_20260929,shuffle_current_merchant,receiver_or_mark,all,69086,6.532259857444403,0.0029383666734215325,,0.0016329390863657892
relaxed_20260929,shuffle_current_merchant,receiver_or_mark,first,147,7.040669679641724,0.006802721088435374,,0.002397721050075314
relaxed_20260929,shuffle_current_merchant,receiver_or_mark,positions_1_99,13485,6.546877033037745,0.0025954764553207266,,0.001699501701362883
relaxed_20260929,shuffle_current_merchant,receiver_or_mark,positions_100_511,55454,6.527357616727066,0.0030115050311970283,,0.001614725435197233
relaxed_20260929,shuffle_current_merchant,receiver_or_mark,fraud,726,6.662260241416532,0.009641873278236915,,0.0038569237794898927
relaxed_20260929,shuffle_current_merchant,receiver_or_mark,normal,68360,6.530879221418017,0.002867173785839672,,0.00160931982236333
relaxed_20260929,shuffle_current_merchant,receiver_or_mark,fraud_onset,58,6.522957686720224,0.017241379310344827,,0.0016154596052164662
relaxed_20260929,shuffle_current_merchant,receiver_or_mark,fraud_continuation,656,6.667414220004547,0.009146341463414634,,0.004050767514103633
relaxed_20260929,shuffle_current_merchant,amount_or_numeric_value,all,69086,4.561265371398386,0.019946154068841735,,0.013218940432514798
relaxed_20260929,shuffle_current_merchant,amount_or_numeric_value,first,147,4.9225003455771885,0.027210884353741496,,0.01838720169513911
relaxed_20260929,shuffle_current_merchant,amount_or_numeric_value,positions_1_99,13485,4.552283507109056,0.021802002224694104,,0.015418153113247521
relaxed_20260929,shuffle_current_merchant,amount_or_numeric_value,positions_100_511,55454,4.562491953768231,0.019475601399358028,,0.012670447674457914
relaxed_20260929,shuffle_current_merchant,amount_or_numeric_value,fraud,726,2.7320636260815827,0.3787878787878788,,0.19353723079862445
relaxed_20260929,shuffle_current_merchant,amount_or_numeric_value,normal,68360,4.580691943474162,0.016135166764189586,,0.011303915874208837
relaxed_20260929,shuffle_current_merchant,amount_or_numeric_value,fraud_onset,58,4.968370075883536,0.017241379310344827,,0.00829315750562618
relaxed_20260929,shuffle_current_merchant,amount_or_numeric_value,fraud_continuation,656,2.5265528570999756,0.4115853658536585,,0.2113351878798283
relaxed_20260929,shuffle_current_merchant,category,all,69086,4.284912646112619,0.09766088643140433,,0.09871160749016579
relaxed_20260929,shuffle_current_merchant,category,first,147,3.8630478166132454,0.10204081632653061,,0.12451544997594549
relaxed_20260929,shuffle_current_merchant,category,positions_1_99,13485,4.31356483168183,0.09758991472005933,,0.09888144144013812
relaxed_20260929,shuffle_current_merchant,category,positions_100_511,55454,4.279063463141789,0.09766653442492877,,0.09860190619430279
relaxed_20260929,shuffle_current_merchant,category,fraud,726,3.3377624510308936,0.22038567493112948,,0.1878570027104455
relaxed_20260929,shuffle_current_merchant,category,normal,68360,4.29497161395389,0.09635751901696898,,0.09776486148475438
relaxed_20260929,shuffle_current_merchant,category,fraud_onset,58,4.036319431945167,0.08620689655172414,,0.10571535668500943
relaxed_20260929,shuffle_current_merchant,category,fraud_continuation,656,3.2906215218607073,0.23323170731707318,,0.19520532433750898
relaxed_20260929,shuffle_current_merchant,event_is_fraud,all,69086,0.008328374118260342,0.9981038126393191,0.010470447821161208,0.9970569304409446
relaxed_20260929,shuffle_current_merchant,event_is_fraud,first,147,0.12779945286773273,0.9795918367346939,0.1731340412446852,0.8971331552380607
relaxed_20260929,shuffle_current_merchant,event_is_fraud,positions_1_99,13485,0.006792052611423883,0.9982944011865035,0.01646180951021636,0.9974310767966535
relaxed_20260929,shuffle_current_merchant,event_is_fraud,positions_100_511,55454,0.008385268967027197,0.9981065387528402,0.008582305205476735,0.9972308300937756
relaxed_20260929,shuffle_current_merchant,event_is_fraud,fraud,726,0.5750367540117983,0.8870523415977961,0.8587616467235075,0.8587616467235075
relaxed_20260929,shuffle_current_merchant,event_is_fraud,normal,68360,0.0023097918508128788,0.9992832065535401,0.0014613868146792967,0.998525660341162
relaxed_20260929,shuffle_current_merchant,event_is_fraud,fraud_onset,58,5.983494873704581,0.0,0.004462347641900374,0.004462347641900374
relaxed_20260929,shuffle_current_merchant,event_is_fraud,fraud_continuation,656,0.10614300366735087,0.9634146341463414,0.9328568910927194,0.9328568910927194
relaxed_20260929,zero_history_after_first,gap,all,68939,4.863892022439302,0.0092110416455127,,0.009997855480121096
relaxed_20260929,zero_history_after_first,gap,first,0,,,,
relaxed_20260929,zero_history_after_first,gap,positions_1_99,13485,5.291981778305727,0.0020763811642565814,,0.008233123599680058
relaxed_20260929,zero_history_after_first,gap,positions_100_511,55454,4.75979150024327,0.010946009305009557,,0.01042699331341982
relaxed_20260929,zero_history_after_first,gap,fraud,714,5.062361507522626,0.004201680672268907,,0.008598530177255334
relaxed_20260929,zero_history_after_first,gap,normal,68225,4.861814965460929,0.009263466471234884,,0.0100124999398682
relaxed_20260929,zero_history_after_first,gap,fraud_onset,58,4.8329501809745,0.0,,0.01022260276056778
relaxed_20260929,zero_history_after_first,gap,fraud_continuation,656,5.082644826028405,0.004573170731707317,,0.00845493839397466
relaxed_20260929,zero_history_after_first,receiver_or_mark,all,69086,6.737408169117979,0.0018527632226500305,,0.0015696953968792615
relaxed_20260929,zero_history_after_first,receiver_or_mark,first,147,7.040669679641724,0.006802721088435374,,0.002397721050075314
relaxed_20260929,zero_history_after_first,receiver_or_mark,positions_1_99,13485,6.826724817313483,0.0014831294030404152,,0.0016042076178505106
relaxed_20260929,zero_history_after_first,receiver_or_mark,positions_100_511,55454,6.714884736309464,0.0019295271756771379,,0.0015591079357255644
relaxed_20260929,zero_history_after_first,receiver_or_mark,fraud,726,6.638116853296264,0.0027548209366391185,,0.0020032512808234875
relaxed_20260929,zero_history_after_first,receiver_or_mark,normal,68360,6.738462667293615,0.0018431831480397894,,0.001565090926842054
relaxed_20260929,zero_history_after_first,receiver_or_mark,fraud_onset,58,6.595604715676143,0.017241379310344827,,0.0019217894727701385
relaxed_20260929,zero_history_after_first,receiver_or_mark,fraud_continuation,656,6.634271495225953,0.001524390243902439,,0.00197221055320436
relaxed_20260929,zero_history_after_first,amount_or_numeric_value,all,69086,4.5913497886000325,0.01807891613351475,,0.012603792425509125
relaxed_20260929,zero_history_after_first,amount_or_numeric_value,first,147,4.641732206352714,0.047619047619047616,,0.03287550380657788
relaxed_20260929,zero_history_after_first,amount_or_numeric_value,positions_1_99,13485,4.634248535815194,0.01957730812013348,,0.013655142632216729
relaxed_20260929,zero_history_after_first,amount_or_numeric_value,positions_100_511,55454,4.580784350189709,0.017636239044974213,,0.012294393660578388
relaxed_20260929,zero_history_after_first,amount_or_numeric_value,fraud,726,3.3935128395797136,0.3622589531680441,,0.06360661639246998
relaxed_20260929,zero_history_after_first,amount_or_numeric_value,normal,68360,4.604071111376346,0.014423639555295494,,0.012062129900640583
relaxed_20260929,zero_history_after_first,amount_or_numeric_value,fraud_onset,58,3.416793136761106,0.3448275862068966,,0.05267346022522141
relaxed_20260929,zero_history_after_first,amount_or_numeric_value,fraud_continuation,656,3.4030757870797705,0.3597560975609756,,0.060926687344340834
relaxed_20260929,zero_history_after_first,category,all,69086,0.7489474631950129,0.8291115421358886,,0.5562652946241324
relaxed_20260929,zero_history_after_first,category,first,147,0.5533724342034116,0.8707482993197279,,0.6581608288395567
relaxed_20260929,zero_history_after_first,category,positions_1_99,13485,0.7480771331586492,0.8172043010752689,,0.5612584767840364
relaxed_20260929,zero_history_after_first,category,positions_100_511,55454,0.7496775445201136,0.8318967071807264,,0.5547809705905917
relaxed_20260929,zero_history_after_first,category,fraud,726,0.5542198835928076,0.871900826446281,,0.6650991266793456
relaxed_20260929,zero_history_after_first,category,normal,68360,0.7510155179462008,0.8286571094207139,,0.5551094525809481
relaxed_20260929,zero_history_after_first,category,fraud_onset,58,0.4909742359184371,0.9137931034482759,,0.6857172165965212
relaxed_20260929,zero_history_after_first,category,fraud_continuation,656,0.5666650762271651,0.8658536585365854,,0.6598309121753384
relaxed_20260929,zero_history_after_first,event_is_fraud,all,69086,0.21862963689948686,0.932330718235243,0.14678952054182123,0.83998598291904
relaxed_20260929,zero_history_after_first,event_is_fraud,first,147,0.12444224970282189,0.9795918367346939,0.1733237612775929,0.8980303253649043
relaxed_20260929,zero_history_after_first,event_is_fraud,positions_1_99,13485,0.2972861495817582,0.885799035965888,0.2011119206232025,0.7949098696166972
relaxed_20260929,zero_history_after_first,event_is_fraud,positions_100_511,55454,0.19975205317960154,0.9435207559418617,0.13350935863311159,0.8507934786730443
relaxed_20260929,zero_history_after_first,event_is_fraud,fraud,726,0.8575232771530583,0.6377410468319559,0.5828354918236328,0.5828354918236328
relaxed_20260929,zero_history_after_first,event_is_fraud,normal,68360,0.21184442942692844,0.9354593329432417,0.14215860516513026,0.8427169843312002
relaxed_20260929,zero_history_after_first,event_is_fraud,fraud_onset,58,0.838598358412755,0.6379310344827587,0.5548444675474331,0.5548444675474331
relaxed_20260929,zero_history_after_first,event_is_fraud,fraud_continuation,656,0.873787942338201,0.6310975609756098,0.5787037491809759,0.5787037491809759
