model,metric,draws,nonempty,mean,minimum,maximum
"ARGN AUTO, native cap",generated_fraud_rate,4,4,0.005655967388296324,0.0043158447797042,0.0070071976105891
"ARGN AUTO, native cap",merchant_category_tv,4,4,0.7555964472217047,0.730332503554042,0.7792100028417165
"ARGN AUTO, native cap",class_1_category_amount_tv,4,4,0.4828404455645048,0.4671829186562789,0.5011565367835115
"ARGN AUTO, native cap",class_1_history_amount_tv,4,4,0.4564518334920411,0.4255554962076701,0.4820306609700929
"ARGN AUTO, native cap",class_1_merchant_tv,4,4,0.4749451071866826,0.4647042029913935,0.4924644180152077
"ARGN AUTO, native cap",class_1_gap_category_amount_history_tv,4,4,0.7075758432558203,0.6661881743403484,0.7289033900005015
"ARGN AUTO, native cap",previous_fraud_fraud_rate,4,4,0.7890077892820306,0.7752161383285303,0.8134657836644592
"ARGN AUTO, native cap",previous_normal_fraud_rate,4,4,0.0009203561870089249,0.0007318425852339,0.0011404321579937
"ARGN AUTO, native cap",positive_gap_le_5s_fraud_rate,4,4,0.0043859649122807,0.0,0.0175438596491228
"ARGN AUTO, native cap",positive_gap_le_300s_fraud_rate,4,4,0.015559378645860874,0.0121580547112462,0.0248366013071895
"ARGN AUTO, native cap",short_sequence_le_100_RETROSPECTIVE_fraud_rate,4,4,0.4666015134167256,0.2563451776649746,0.6061452513966481
"ARGN AUTO, native cap",fraud_amount_generated_mean,4,4,2935.241861641438,2709.030217391304,3210.534462540717
"ARGN AUTO, native cap",fraud_amount_ks_distance,4,4,0.344463775700311,0.3183229813664596,0.3756786102062974
"ARGN AUTO, native cap",fraud_amount_wasserstein_log1p,4,4,1.4056605853735853,1.3121263374363497,1.4634268390809304
"ARGN AUTO, native cap",fraud_gap_seconds_wasserstein_log1p,4,4,0.40691986781774747,0.3007394594599685,0.5459194578450632
"ARGN AUTO, native cap",fraud_amount_history_ratio_wasserstein_log1p,4,4,0.943773542523858,0.8871930650221964,0.9883571081857778
"ARGN AUTO, cap relaxed",generated_fraud_rate,4,4,0.00528365208067965,0.0046702906080127,0.0057308232327573
"ARGN AUTO, cap relaxed",merchant_category_tv,4,4,0.5303596116199677,0.4101248106142119,0.6515197593329533
"ARGN AUTO, cap relaxed",class_1_category_amount_tv,4,4,0.4599739193218829,0.4117471578581966,0.4998188405797101
"ARGN AUTO, cap relaxed",class_1_history_amount_tv,4,4,0.4228738559059441,0.3982144406838497,0.4444387476073284
"ARGN AUTO, cap relaxed",class_1_merchant_tv,4,4,0.47717500369446936,0.4604491184019881,0.4877699537966964
"ARGN AUTO, cap relaxed",class_1_gap_category_amount_history_tv,4,4,0.6953378091839437,0.6708810639590385,0.7294643556600078
"ARGN AUTO, cap relaxed",previous_fraud_fraud_rate,4,4,0.7967828829677501,0.7078384798099763,0.8707482993197279
"ARGN AUTO, cap relaxed",previous_normal_fraud_rate,4,4,0.000832458228593225,0.0005589066520437,0.0010941701077125
"ARGN AUTO, cap relaxed",positive_gap_le_5s_fraud_rate,4,4,0.0,0.0,0.0
"ARGN AUTO, cap relaxed",positive_gap_le_300s_fraud_rate,4,4,0.020731877868197374,0.0146305779078273,0.0247279920870425
"ARGN AUTO, cap relaxed",short_sequence_le_100_RETROSPECTIVE_fraud_rate,4,4,0.6278227410967274,0.2576177285318559,0.836
"ARGN AUTO, cap relaxed",fraud_amount_generated_mean,4,4,2898.1908931334356,2318.4170843091333,3502.02966442953
"ARGN AUTO, cap relaxed",fraud_amount_ks_distance,4,4,0.3509160791211277,0.3003033367037411,0.4047878446530145
"ARGN AUTO, cap relaxed",fraud_amount_wasserstein_log1p,4,4,1.2822493135065554,1.0787614765184013,1.4836658255418866
"ARGN AUTO, cap relaxed",fraud_gap_seconds_wasserstein_log1p,4,4,0.31397985676130724,0.1703732250509796,0.5486085006438721
"ARGN AUTO, cap relaxed",fraud_amount_history_ratio_wasserstein_log1p,4,4,0.862692987159044,0.7901918475444263,0.9495058927214968
ARGN AUTO + category first,generated_fraud_rate,4,4,0.0065145985543325746,0.0058241914491025,0.0072812301923373
ARGN AUTO + category first,merchant_category_tv,4,4,0.16513731461008882,0.1533851367881258,0.1763189426247836
ARGN AUTO + category first,class_1_category_amount_tv,4,4,0.35759401307961813,0.3247505345687811,0.410531990983571
ARGN AUTO + category first,class_1_history_amount_tv,4,4,0.39371540806021077,0.3393467518262432,0.4356089340673632
