run,events,runs,runs_start_at_customer_boundary,runs_end_at_customer_boundary,events_after_twentieth_fraud,event_share_after_twentieth_fraud,mean_length,p90_length,max_length,standardization_real_band_coverage,ratio_log_w1,age_standardized_ratio_log_w1
real_train,5214,533,52,56,0,0.0,9.782363977485929,14.0,19,1.0,0.037705358072159786,0.035028526004271476
real_validation,1146,114,12,13,0,0.0,10.052631578947368,14.700000000000003,19,1.0,0.0,2.8011283730244815e-14
digit_relaxed_20260928/generated_validation_20261011,1467,248,58,9,400,0.27266530334015,5.915322580645161,16.0,81,1.0,0.8952437220759158,0.9198349556263686
digit_relaxed_20260928/generated_validation_20261012,1751,226,55,14,587,0.33523700742432894,7.747787610619469,24.5,85,1.0,0.8501607297288887,0.8433820531718599
digit_relaxed_20260929/generated_validation_20261011,1906,135,47,9,942,0.49422875131164745,14.118518518518519,35.0,189,1.0,0.753928320252947,0.753873776804322
digit_relaxed_20260929/generated_validation_20261012,1351,120,38,11,524,0.38786084381939306,11.258333333333333,26.200000000000017,123,1.0,0.7512272737438569,0.7817977261497107
native_20260928/generated_validation_20261011,1293,280,67,7,230,0.17788089713843774,4.617857142857143,11.0,81,1.0,0.9791782604843711,0.9663204157939607
native_20260928/generated_validation_20261012,1063,254,67,15,100,0.09407337723424271,4.18503937007874,12.0,79,1.0,0.9942879279373389,0.9428833889205501
native_20260929/generated_validation_20261011,956,214,54,7,107,0.11192468619246862,4.4672897196261685,14.0,56,1.0,0.881449533112697,0.7575588782739131
native_20260929/generated_validation_20261012,1042,198,58,15,155,0.14875239923224567,5.262626262626263,15.0,65,1.0,0.9185532535729054,0.9022430320027273
numeric_digit_relaxed_20260928/generated_validation_20261011,990,145,43,15,327,0.3303030303030303,6.827586206896552,18.0,101,1.0,1.0904582801282916,0.9452793088696438
numeric_digit_relaxed_20260928/generated_validation_20261012,856,140,50,12,272,0.3177570093457944,6.114285714285714,13.0,170,1.0,1.035499485584032,0.7929179118687464
numeric_digit_relaxed_20260929/generated_validation_20261011,3562,106,33,10,2826,0.7933745087029759,33.60377358490566,31.5,2447,1.0,1.14906326352117,0.6017344906251402
numeric_digit_relaxed_20260929/generated_validation_20261012,5767,145,40,10,4587,0.7953875498526096,39.772413793103446,40.0,3008,1.0,1.1569408020166976,0.5888397459891797
order_category_digit_relaxed_20260928/generated_validation_20261011,2314,260,63,9,774,0.334485738980121,8.9,27.099999999999994,110,1.0,0.7932354795767722,0.7425653055155719
order_category_digit_relaxed_20260928/generated_validation_20261012,1934,239,62,16,529,0.27352637021716647,8.092050209205022,27.0,86,1.0,0.7911658059511282,0.7812223047538587
order_category_digit_relaxed_20260929/generated_validation_20261011,1865,132,55,9,799,0.42841823056300266,14.128787878787879,35.900000000000006,160,1.0,0.6712343383855204,0.6747220165116624
order_category_digit_relaxed_20260929/generated_validation_20261012,1624,123,42,7,641,0.3947044334975369,13.203252032520325,26.799999999999997,147,1.0,0.7388878500931468,0.7165248585917205
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,1651,123,47,15,910,0.5511811023622047,13.422764227642276,31.39999999999999,172,1.0,1.1583890798074505,0.9447521655094706
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,2837,146,51,13,1927,0.6792386323581248,19.431506849315067,56.5,234,1.0,1.2102909931785484,1.0433396938610549
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,4695,117,42,10,3857,0.8215122470713525,40.12820512820513,53.400000000000006,2576,1.0,1.2272894591582255,0.7164385626079567
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,8503,158,48,11,7090,0.833823356462425,53.81645569620253,56.60000000000002,2677,1.0,1.1955260534549432,0.6532902391542783
order_category_relaxed_20260928/generated_validation_20261011,1389,269,68,12,301,0.21670266378689704,5.163568773234201,12.0,81,1.0,0.922675421676772,0.7918211230932095
order_category_relaxed_20260928/generated_validation_20261012,1072,255,62,12,135,0.1259328358208955,4.203921568627451,11.0,80,1.0,0.9264378424922829,0.8394474961751526
order_category_relaxed_20260929/generated_validation_20261011,1498,172,44,7,417,0.27837116154873165,8.709302325581396,21.0,144,1.0,0.7485297405670663,0.7070523866248966
