epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,8,48.3465,0.3,0.0005,
1.0,1,77,616,39.5781,18.2,0.0005,37.4606
2.0,1,154,1227,37.3096,35.8,0.0005,36.9811
3.0,1,231,1838,36.9344,53.4,0.0005,36.8465
4.0,1,308,2449,36.5563,70.9,0.0005,36.5397
5.0,0,385,3060,36.2791,88.8,0.0005,36.6194
6.0,1,462,3671,35.942,107.3,0.0005,36.3329
7.0,1,539,4282,35.6062,125.3,0.0005,36.2087
8.0,1,616,4893,35.3931,143.6,0.0005,36.0423
9.0,1,693,5504,35.1585,161.9,0.0005,35.9184
10.0,1,770,6115,34.7356,180.7,0.0005,35.7424
11.0,1,847,6726,34.6018,199.2,0.0005,35.7356
12.0,0,924,7337,34.1891,217.3,0.0005,35.7681
13.0,0,1001,7948,34.0344,235.2,0.0005,35.797
14.0,1,1078,8559,33.742,253.0,0.0005,35.442
15.0,1,1155,9170,33.3265,271.0,0.0005,35.2514
16.0,1,1232,9781,33.4283,289.1,0.0005,35.2432
17.0,0,1309,10392,33.2438,307.1,0.0005,35.4529
18.0,0,1386,11003,32.9455,324.9,0.0005,35.3548
19.0,0,1463,11614,32.847,342.4,0.0005,35.4649
20.0,0,1540,12225,32.5351,360.2,0.00025,35.4014
21.0,1,1617,12836,32.316,378.3,0.00025,35.1783
22.0,0,1694,13447,32.0039,395.8,0.00025,35.2639
23.0,0,1771,14058,32.3001,413.7,0.00025,35.4559
24.0,0,1848,14669,31.822,431.8,0.00025,35.1902
25.0,0,1925,15280,32.2317,450.0,0.000125,35.3224
26.0,0,2002,15891,31.7424,468.0,0.000125,35.4101
