epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,8,37.8321,0.2,0.0005,
1.0,1,77,616,33.7145,14.6,0.0005,32.4017
2.0,1,154,1227,31.8793,28.6,0.0005,31.8062
3.0,1,231,1838,31.4548,42.7,0.0005,31.629
4.0,1,308,2449,31.1052,56.8,0.0005,31.4192
5.0,1,385,3060,30.7966,70.9,0.0005,31.239
6.0,1,462,3671,30.429,84.9,0.0005,30.9062
7.0,1,539,4282,30.2556,98.9,0.0005,30.8851
8.0,1,616,4893,29.8569,113.0,0.0005,30.5312
9.0,1,693,5504,29.5236,127.5,0.0005,30.5219
10.0,0,770,6115,29.519,141.5,0.0005,30.8653
11.0,1,847,6726,28.938,155.1,0.0005,29.9886
12.0,1,924,7337,28.9541,169.1,0.0005,29.8153
13.0,0,1001,7948,28.7003,182.9,0.0005,30.3053
14.0,0,1078,8559,28.4412,197.0,0.0005,30.3096
15.0,0,1155,9170,28.2184,210.9,0.0005,30.3082
16.0,0,1232,9781,28.3017,224.6,0.00025,30.3355
17.0,0,1309,10392,27.6502,238.8,0.00025,29.9292
