epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,8,27.878,0.2,0.0005,
1.0,1,77,616,26.2282,13.5,0.0005,25.1477
2.0,1,154,1227,24.7369,26.9,0.0005,24.7772
3.0,1,231,1838,24.3658,39.7,0.0005,24.6139
4.0,1,308,2449,24.1337,52.4,0.0005,24.5058
5.0,1,385,3060,23.8327,64.9,0.0005,24.3185
6.0,1,462,3671,23.5623,77.4,0.0005,24.1222
7.0,1,539,4282,23.2411,89.7,0.0005,23.9974
8.0,1,616,4893,22.8395,102.0,0.0005,23.8491
9.0,1,693,5504,22.6793,114.7,0.0005,23.6337
10.0,1,770,6115,22.3721,127.6,0.0005,23.4788
11.0,1,847,6726,22.1303,140.2,0.0005,23.3053
12.0,0,924,7337,22.0449,152.6,0.0005,23.3945
13.0,1,1001,7948,21.6763,164.5,0.0005,23.1025
14.0,0,1078,8559,21.3641,176.6,0.0005,23.4198
15.0,0,1155,9170,21.2682,188.3,0.0005,23.2427
16.0,1,1232,9781,20.9972,200.2,0.0005,22.9013
17.0,0,1309,10392,20.9792,211.6,0.0005,23.0278
18.0,0,1386,11003,20.7753,223.3,0.0005,22.9158
19.0,1,1463,11614,20.8503,235.0,0.0005,22.7879
20.0,0,1540,12225,20.3339,246.4,0.0005,22.8239
21.0,0,1617,12836,20.2431,258.6,0.0005,23.1746
22.0,1,1694,13447,20.1555,270.1,0.0005,22.7385
23.0,0,1771,14058,20.0443,281.3,0.0005,22.8394
24.0,0,1848,14669,19.8598,292.5,0.0005,22.9328
25.0,1,1925,15280,19.7479,303.9,0.0005,22.7204
26.0,0,2002,15891,19.6188,315.1,0.0005,22.8196
27.0,0,2079,16502,19.3303,326.6,0.0005,22.8526
28.0,0,2156,17113,19.4773,338.4,0.0005,22.9497
29.0,0,2233,17724,19.0362,349.7,0.00025,22.9173
30.0,0,2310,18335,19.0496,361.2,0.00025,23.0576
