epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,8,27.878,0.2,0.0005,
1.0,1,77,616,26.2282,13.3,0.0005,25.1477
2.0,1,154,1227,24.7369,26.0,0.0005,24.7772
3.0,1,231,1838,24.3658,38.5,0.0005,24.6139
4.0,1,308,2449,24.1337,50.8,0.0005,24.5058
5.0,1,385,3060,23.8327,63.0,0.0005,24.3185
6.0,1,462,3671,23.5623,75.2,0.0005,24.1222
7.0,1,539,4282,23.2411,87.7,0.0005,23.9974
8.0,1,616,4893,22.8395,100.2,0.0005,23.8491
9.0,1,693,5504,22.6793,112.9,0.0005,23.6337
10.0,1,770,6115,22.3721,125.9,0.0005,23.4788
11.0,1,847,6726,22.1303,138.4,0.0005,23.3053
12.0,0,924,7337,22.0449,150.9,0.0005,23.3945
13.0,1,1001,7948,21.6763,163.2,0.0005,23.1025
14.0,0,1078,8559,21.3641,175.2,0.0005,23.4198
