Epoch,Loss
0,4.523974418640137
1,4.505190849304199
2,4.48723030090332
3,4.469965934753418
4,4.453226089477539
5,4.436850070953369
6,4.420683860778809
7,4.404561519622803
8,4.388307571411133
9,4.371740818023682
10,4.354685306549072
11,4.33697509765625
12,4.318459510803223
13,4.299002170562744
14,4.278484344482422
15,4.256806373596191
16,4.233892440795898
17,4.209693908691406
18,4.184195518493652
19,4.15742826461792
20,4.129471778869629
21,4.100470066070557
22,4.070625305175781
23,4.040156841278076
24,4.009219646453857
25,3.9778528213500977
26,3.9460391998291016
27,3.913729429244995
28,3.880805015563965
29,3.847144842147827
30,3.8128926753997803
31,3.7787506580352783
32,3.746051549911499
33,3.71642804145813
34,3.691037893295288
35,3.6697306632995605
36,3.650834321975708
37,3.6323022842407227
38,3.6136069297790527
39,3.5959036350250244
40,3.5800914764404297
41,3.5651323795318604
42,3.5493435859680176
43,3.532667636871338
44,3.516427755355835
45,3.501758337020874
46,3.4887497425079346
47,3.4767839908599854
48,3.465367555618286
49,3.454484701156616
50,3.4443671703338623
51,3.4351613521575928
52,3.426771879196167
53,3.4189085960388184
54,3.41125750541687
55,3.4036474227905273
56,3.3961055278778076
57,3.3887362480163574
58,3.3815484046936035
59,3.3744304180145264
60,3.367295742034912
61,3.3601856231689453
62,3.353224039077759
63,3.3465232849121094
64,3.3401098251342773
65,3.3339016437530518
66,3.3277719020843506
67,3.321667432785034
68,3.315627336502075
69,3.309674024581909
70,3.3037452697753906
71,3.29777193069458
72,3.2917745113372803
73,3.2858262062072754
74,3.279971122741699
75,3.2742040157318115
76,3.268484592437744
77,3.262815475463867
78,3.257246732711792
79,3.251797914505005
80,3.2464611530303955
81,3.2412221431732178
82,3.236069679260254
83,3.231008768081665
84,3.2260091304779053
85,3.221040725708008
86,3.216078758239746
87,3.211127996444702
88,3.2061824798583984
89,3.20121431350708
90,3.196179151535034
91,3.191063404083252
92,3.185868740081787
93,3.1805994510650635
94,3.175246477127075
95,3.1697945594787598
96,3.164243221282959
97,3.158596992492676
98,3.1528499126434326
99,3.1469955444335938
100,3.1410446166992188
101,3.135021686553955
102,3.1290018558502197
103,3.1227805614471436
104,3.116157054901123
105,3.109766721725464
106,3.1032681465148926
107,3.0963022708892822
108,3.08952260017395
109,3.082699775695801
110,3.075399875640869
111,3.0681216716766357
112,3.0609707832336426
113,3.0535130500793457
114,3.0456490516662598
115,3.0377092361450195
116,3.0298526287078857
117,3.0220556259155273
118,3.0140440464019775
119,3.005176305770874
120,2.995805501937866
121,2.9870102405548096
122,2.9785680770874023
123,2.969489812850952
124,2.9587888717651367
125,2.9478368759155273
126,2.9378983974456787
127,2.9286012649536133
