epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,8,28.2232,0.2,0.0005,
1.0,1,77,616,26.3815,11.3,0.0005,25.2932
2.0,1,154,1227,24.7381,22.3,0.0005,24.6426
3.0,1,231,1838,24.3901,33.2,0.0005,24.5799
4.0,1,308,2449,24.0824,44.6,0.0005,24.3926
5.0,1,385,3060,23.7297,56.0,0.0005,24.2051
6.0,1,462,3671,23.4546,67.2,0.0005,23.7729
7.0,1,539,4282,23.0834,78.7,0.0005,23.6567
8.0,1,616,4893,22.7321,90.9,0.0005,23.5886
9.0,1,693,5504,22.4868,103.0,0.0005,23.4001
10.0,1,770,6115,22.0584,115.5,0.0005,23.1546
11.0,1,847,6726,21.9618,128.8,0.0005,23.0509
12.0,0,924,7337,21.6252,142.2,0.0005,23.2954
13.0,1,1001,7948,21.5664,154.8,0.0005,22.9052
14.0,1,1078,8559,21.2345,167.5,0.0005,22.8415
15.0,1,1155,9170,21.0505,179.8,0.0005,22.8056
16.0,0,1232,9781,20.8467,192.5,0.0005,23.0414
17.0,1,1309,10392,20.679,204.9,0.0005,22.6876
18.0,0,1386,11003,20.6612,217.4,0.0005,22.7133
19.0,0,1463,11614,20.246,230.3,0.0005,22.8917
20.0,0,1540,12225,20.4437,242.5,0.0005,23.0826
21.0,0,1617,12836,20.0125,254.5,0.00025,22.8928
22.0,0,1694,13447,19.9256,266.7,0.00025,22.7228
