column,accuracy,accuracy_max
tgt::Sequence Length,0.96756,0.96432
tgt::account,0.97867,0.97563
tgt::amount,0.92667,0.96605
tgt::balance,0.85067,0.96432
tgt::bank,0.98133,0.97677
tgt::date,0.96933,0.96853
tgt::k_symbol,0.96489,0.97438
tgt::operation,0.97333,0.97696
tgt::type,0.97244,0.98684
