col1,col2,type,accuracy,accuracy_max
ctx::date,tgt::account,ctx,0.00133,0.92206
ctx::frequency,tgt::account,ctx,0.97556,0.96491
ctx::district_id,tgt::amount,ctx,0.85067,0.88845
ctx::date,tgt::amount,ctx,0.00133,0.90234
ctx::frequency,tgt::amount,ctx,0.91156,0.95413
ctx::district_id,tgt::balance,ctx,0.82044,0.88289
ctx::date,tgt::balance,ctx,0.00133,0.89712
ctx::frequency,tgt::balance,ctx,0.84089,0.95176
ctx::district_id,tgt::bank,ctx,0.88622,0.91296
ctx::date,tgt::bank,ctx,0.00133,0.92572
ctx::frequency,tgt::bank,ctx,0.97733,0.96646
ctx::district_id,tgt::date,ctx,0.888,0.89383
ctx::date,tgt::date,ctx,0.00133,0.90926
ctx::frequency,tgt::date,ctx,0.96267,0.95647
ctx::district_id,tgt::k_symbol,ctx,0.89111,0.91073
ctx::date,tgt::k_symbol,ctx,0.00133,0.92236
ctx::frequency,tgt::k_symbol,ctx,0.94978,0.9646
ctx::district_id,tgt::operation,ctx,0.90933,0.91896
ctx::date,tgt::operation,ctx,0.00133,0.9291
ctx::frequency,tgt::operation,ctx,0.96667,0.96764
ctx::district_id,tgt::type,ctx,0.93956,0.94493
ctx::date,tgt::type,ctx,0.00133,0.95212
ctx::frequency,tgt::type,ctx,0.96933,0.97975
nxt::account,tgt::account,nxt,0.92222,0.92872
nxt::amount,tgt::amount,nxt,0.84667,0.89506
nxt::balance,tgt::balance,nxt,0.81511,0.91146
nxt::bank,tgt::bank,nxt,0.92844,0.93418
nxt::date,tgt::date,nxt,0.90933,0.90718
nxt::k_symbol,tgt::k_symbol,nxt,0.87378,0.93683
nxt::operation,tgt::operation,nxt,0.92089,0.94549
nxt::type,tgt::type,nxt,0.95867,0.97563
