column,accuracy,accuracy_max
tgt::Sequence Length,0.96756,0.96432
tgt::account,0.99422,0.99819
tgt::amount,0.89156,0.96437
tgt::balance,0.18844,0.96438
tgt::bank,0.99467,0.99888
tgt::date,0.96933,0.96918
tgt::k_symbol,0.99067,0.99929
tgt::operation,0.97867,0.99888
tgt::type,0.98311,1.0
