column,accuracy,accuracy_max
tgt::Sequence Length,0.96044,0.96432
tgt::account,0.98089,0.99819
tgt::amount,0.87289,0.96437
tgt::balance,0.18711,0.96438
tgt::bank,0.98356,0.99888
tgt::date,0.94667,0.969
tgt::k_symbol,0.98667,0.99929
tgt::operation,0.96711,0.99888
tgt::type,0.98044,1.0
