col1,col2,type,accuracy,accuracy_max
ctx::district_id,tgt::account,ctx,0.94622,0.96336
ctx::date,tgt::account,ctx,0.00133,0.96845
ctx::frequency,tgt::account,ctx,0.98089,0.99094
ctx::district_id,tgt::amount,ctx,0.82756,0.88307
ctx::date,tgt::amount,ctx,0.00133,0.89646
ctx::frequency,tgt::amount,ctx,0.85733,0.95118
ctx::district_id,tgt::balance,ctx,0.18711,0.88312
ctx::date,tgt::balance,ctx,0.00133,0.89651
ctx::frequency,tgt::balance,ctx,0.18711,0.95119
ctx::district_id,tgt::bank,ctx,0.948,0.96336
ctx::date,tgt::bank,ctx,0.00133,0.9686
ctx::frequency,tgt::bank,ctx,0.98356,0.99144
ctx::district_id,tgt::date,ctx,0.87244,0.8951
ctx::date,tgt::date,ctx,0.00133,0.91511
ctx::frequency,tgt::date,ctx,0.94,0.95733
ctx::district_id,tgt::k_symbol,ctx,0.94978,0.96409
ctx::date,tgt::k_symbol,ctx,0.00133,0.96917
ctx::frequency,tgt::k_symbol,ctx,0.98667,0.99185
ctx::district_id,tgt::operation,ctx,0.94311,0.96336
ctx::date,tgt::operation,ctx,0.00133,0.9686
ctx::frequency,tgt::operation,ctx,0.96711,0.99144
ctx::district_id,tgt::type,ctx,0.95022,0.96458
ctx::date,tgt::type,ctx,0.00133,0.96966
ctx::frequency,tgt::type,ctx,0.98044,0.99222
nxt::account,tgt::account,nxt,0.94933,0.97147
nxt::amount,tgt::amount,nxt,0.79511,0.88242
nxt::balance,tgt::balance,nxt,0.18267,0.88262
nxt::bank,tgt::bank,nxt,0.93244,0.97273
nxt::date,tgt::date,nxt,0.87067,0.90882
nxt::k_symbol,tgt::k_symbol,nxt,0.948,0.99028
nxt::operation,tgt::operation,nxt,0.94356,0.98695
nxt::type,tgt::type,nxt,0.97911,0.99877
