col1,col2,type,accuracy,accuracy_max
tgt::Sequence Length,tgt::account,tgt,0.95289,0.9631
tgt::Sequence Length,tgt::amount,tgt,0.82667,0.88242
tgt::Sequence Length,tgt::balance,tgt,0.2,0.88244
tgt::Sequence Length,tgt::bank,tgt,0.95422,0.9631
tgt::Sequence Length,tgt::date,tgt,0.86533,0.90451
tgt::Sequence Length,tgt::k_symbol,tgt,0.956,0.96383
tgt::Sequence Length,tgt::operation,tgt,0.95111,0.9631
tgt::Sequence Length,tgt::type,tgt,0.95244,0.96432
tgt::account,tgt::amount,tgt,0.87911,0.96315
tgt::account,tgt::balance,tgt,0.19956,0.96316
tgt::account,tgt::bank,tgt,0.99244,0.99819
tgt::account,tgt::date,tgt,0.94756,0.96799
tgt::account,tgt::k_symbol,tgt,0.992,0.99819
tgt::account,tgt::operation,tgt,0.98622,0.99819
tgt::account,tgt::type,tgt,0.98489,0.99819
tgt::amount,tgt::balance,tgt,0.12622,0.96205
tgt::amount,tgt::bank,tgt,0.87911,0.96384
tgt::amount,tgt::date,tgt,0.84089,0.89513
tgt::amount,tgt::k_symbol,tgt,0.88267,0.96403
tgt::amount,tgt::operation,tgt,0.87511,0.96384
tgt::amount,tgt::type,tgt,0.87689,0.96437
tgt::balance,tgt::bank,tgt,0.19956,0.96385
tgt::balance,tgt::date,tgt,0.2,0.89525
tgt::balance,tgt::k_symbol,tgt,0.2,0.96404
tgt::balance,tgt::operation,tgt,0.19867,0.96385
tgt::balance,tgt::type,tgt,0.19822,0.96438
tgt::bank,tgt::date,tgt,0.94844,0.96846
tgt::bank,tgt::k_symbol,tgt,0.99333,0.99865
tgt::bank,tgt::operation,tgt,0.98711,0.99888
tgt::bank,tgt::type,tgt,0.98578,0.99888
tgt::date,tgt::k_symbol,tgt,0.94933,0.96874
tgt::date,tgt::operation,tgt,0.94578,0.96846
tgt::date,tgt::type,tgt,0.94533,0.96924
tgt::k_symbol,tgt::operation,tgt,0.98622,0.99865
tgt::k_symbol,tgt::type,tgt,0.98889,0.99929
tgt::operation,tgt::type,tgt,0.98444,0.99888
tgt::Sequence Length,ctx::district_id,ctx,0.88711,0.883
tgt::Sequence Length,ctx::date,ctx,0.00133,0.90465
tgt::Sequence Length,ctx::frequency,ctx,0.948,0.95126
tgt::account,ctx::district_id,ctx,0.95111,0.96336
tgt::account,ctx::date,ctx,0.00133,0.96842
tgt::account,ctx::frequency,ctx,0.992,0.99094
tgt::amount,ctx::district_id,ctx,0.83422,0.88307
tgt::amount,ctx::date,ctx,0.00133,0.89599
tgt::amount,ctx::frequency,ctx,0.88044,0.95118
tgt::balance,ctx::district_id,ctx,0.2,0.88312
tgt::balance,ctx::date,ctx,0.00133,0.89604
tgt::balance,ctx::frequency,ctx,0.2,0.95119
tgt::bank,ctx::district_id,ctx,0.95244,0.96336
tgt::bank,ctx::date,ctx,0.00133,0.96856
tgt::bank,ctx::frequency,ctx,0.99333,0.99144
tgt::date,ctx::district_id,ctx,0.88,0.896
tgt::date,ctx::date,ctx,0.00133,0.91504
tgt::date,ctx::frequency,ctx,0.93244,0.95783
tgt::k_symbol,ctx::district_id,ctx,0.95378,0.96409
tgt::k_symbol,ctx::date,ctx,0.00133,0.96915
tgt::k_symbol,ctx::frequency,ctx,0.99422,0.99185
tgt::operation,ctx::district_id,ctx,0.94978,0.96336
tgt::operation,ctx::date,ctx,0.00133,0.96856
tgt::operation,ctx::frequency,ctx,0.98667,0.99144
tgt::type,ctx::district_id,ctx,0.94933,0.96458
tgt::type,ctx::date,ctx,0.00133,0.96964
tgt::type,ctx::frequency,ctx,0.98889,0.99222
tgt::account,nxt::account,nxt,0.96222,0.97147
tgt::amount,nxt::amount,nxt,0.69911,0.88242
tgt::balance,nxt::balance,nxt,0.19022,0.88262
tgt::bank,nxt::bank,nxt,0.96178,0.97273
tgt::date,nxt::date,nxt,0.87422,0.90803
tgt::k_symbol,nxt::k_symbol,nxt,0.90978,0.99028
tgt::operation,nxt::operation,nxt,0.97956,0.98695
tgt::type,nxt::type,nxt,0.988,0.99877
tgt::account,tgt::Sequence Length,tgt,0.95289,0.9631
tgt::amount,tgt::Sequence Length,tgt,0.82667,0.88242
tgt::balance,tgt::Sequence Length,tgt,0.2,0.88244
tgt::bank,tgt::Sequence Length,tgt,0.95422,0.9631
tgt::date,tgt::Sequence Length,tgt,0.86533,0.90451
tgt::k_symbol,tgt::Sequence Length,tgt,0.956,0.96383
tgt::operation,tgt::Sequence Length,tgt,0.95111,0.9631
tgt::type,tgt::Sequence Length,tgt,0.95244,0.96432
tgt::amount,tgt::account,tgt,0.87911,0.96315
tgt::balance,tgt::account,tgt,0.19956,0.96316
tgt::bank,tgt::account,tgt,0.99244,0.99819
tgt::date,tgt::account,tgt,0.94756,0.96799
tgt::k_symbol,tgt::account,tgt,0.992,0.99819
tgt::operation,tgt::account,tgt,0.98622,0.99819
tgt::type,tgt::account,tgt,0.98489,0.99819
tgt::balance,tgt::amount,tgt,0.12622,0.96205
tgt::bank,tgt::amount,tgt,0.87911,0.96384
tgt::date,tgt::amount,tgt,0.84089,0.89513
tgt::k_symbol,tgt::amount,tgt,0.88267,0.96403
tgt::operation,tgt::amount,tgt,0.87511,0.96384
tgt::type,tgt::amount,tgt,0.87689,0.96437
tgt::bank,tgt::balance,tgt,0.19956,0.96385
tgt::date,tgt::balance,tgt,0.2,0.89525
tgt::k_symbol,tgt::balance,tgt,0.2,0.96404
tgt::operation,tgt::balance,tgt,0.19867,0.96385
tgt::type,tgt::balance,tgt,0.19822,0.96438
