col1,col2,type,accuracy,accuracy_max
tgt::date,tgt::bank,tgt,0.94844,0.96846
tgt::k_symbol,tgt::bank,tgt,0.99333,0.99865
tgt::operation,tgt::bank,tgt,0.98711,0.99888
tgt::type,tgt::bank,tgt,0.98578,0.99888
tgt::k_symbol,tgt::date,tgt,0.94933,0.96874
tgt::operation,tgt::date,tgt,0.94578,0.96846
tgt::type,tgt::date,tgt,0.94533,0.96924
tgt::operation,tgt::k_symbol,tgt,0.98622,0.99865
tgt::type,tgt::k_symbol,tgt,0.98889,0.99929
tgt::type,tgt::operation,tgt,0.98444,0.99888
ctx::district_id,tgt::Sequence Length,ctx,0.88711,0.883
ctx::date,tgt::Sequence Length,ctx,0.00133,0.90465
ctx::frequency,tgt::Sequence Length,ctx,0.948,0.95126
ctx::district_id,tgt::account,ctx,0.95111,0.96336
ctx::date,tgt::account,ctx,0.00133,0.96842
ctx::frequency,tgt::account,ctx,0.992,0.99094
ctx::district_id,tgt::amount,ctx,0.83422,0.88307
ctx::date,tgt::amount,ctx,0.00133,0.89599
ctx::frequency,tgt::amount,ctx,0.88044,0.95118
ctx::district_id,tgt::balance,ctx,0.2,0.88312
ctx::date,tgt::balance,ctx,0.00133,0.89604
ctx::frequency,tgt::balance,ctx,0.2,0.95119
ctx::district_id,tgt::bank,ctx,0.95244,0.96336
ctx::date,tgt::bank,ctx,0.00133,0.96856
ctx::frequency,tgt::bank,ctx,0.99333,0.99144
ctx::district_id,tgt::date,ctx,0.88,0.896
ctx::date,tgt::date,ctx,0.00133,0.91504
ctx::frequency,tgt::date,ctx,0.93244,0.95783
ctx::district_id,tgt::k_symbol,ctx,0.95378,0.96409
ctx::date,tgt::k_symbol,ctx,0.00133,0.96915
ctx::frequency,tgt::k_symbol,ctx,0.99422,0.99185
ctx::district_id,tgt::operation,ctx,0.94978,0.96336
ctx::date,tgt::operation,ctx,0.00133,0.96856
ctx::frequency,tgt::operation,ctx,0.98667,0.99144
ctx::district_id,tgt::type,ctx,0.94933,0.96458
ctx::date,tgt::type,ctx,0.00133,0.96964
ctx::frequency,tgt::type,ctx,0.98889,0.99222
nxt::account,tgt::account,nxt,0.96222,0.97147
nxt::amount,tgt::amount,nxt,0.69911,0.88242
nxt::balance,tgt::balance,nxt,0.19022,0.88262
nxt::bank,tgt::bank,nxt,0.96178,0.97273
nxt::date,tgt::date,nxt,0.87422,0.90803
nxt::k_symbol,tgt::k_symbol,nxt,0.90978,0.99028
nxt::operation,tgt::operation,nxt,0.97956,0.98695
nxt::type,tgt::type,nxt,0.988,0.99877
