column,accuracy,accuracy_max
tgt::Sequence Length,0.95689,0.96432
tgt::account,0.96978,0.97563
tgt::amount,0.94089,0.96605
tgt::balance,0.91289,0.96432
tgt::bank,0.976,0.97677
tgt::date,0.95733,0.96853
tgt::k_symbol,0.97867,0.97438
tgt::operation,0.98444,0.97696
tgt::type,0.99778,0.98684
