col1,col2,type,accuracy,accuracy_max
tgt::k_symbol,tgt::account,tgt,0.94,0.94179
tgt::operation,tgt::account,tgt,0.96,0.958
tgt::type,tgt::account,tgt,0.96533,0.96119
tgt::balance,tgt::amount,tgt,0.85956,0.89233
tgt::bank,tgt::amount,tgt,0.89911,0.9225
tgt::date,tgt::amount,tgt,0.88089,0.90038
tgt::k_symbol,tgt::amount,tgt,0.90533,0.93945
tgt::operation,tgt::amount,tgt,0.91289,0.93683
tgt::type,tgt::amount,tgt,0.92444,0.94982
tgt::bank,tgt::balance,tgt,0.87378,0.91309
tgt::date,tgt::balance,tgt,0.85467,0.89297
tgt::k_symbol,tgt::balance,tgt,0.87556,0.91124
tgt::operation,tgt::balance,tgt,0.87467,0.9196
tgt::type,tgt::balance,tgt,0.89911,0.94441
tgt::date,tgt::bank,tgt,0.92311,0.92318
tgt::k_symbol,tgt::bank,tgt,0.93244,0.9427
tgt::operation,tgt::bank,tgt,0.96,0.95955
tgt::type,tgt::bank,tgt,0.96444,0.96217
tgt::k_symbol,tgt::date,tgt,0.904,0.92147
tgt::operation,tgt::date,tgt,0.93022,0.92793
tgt::type,tgt::date,tgt,0.94933,0.95044
tgt::operation,tgt::k_symbol,tgt,0.95511,0.96582
tgt::type,tgt::k_symbol,tgt,0.96933,0.969
tgt::type,tgt::operation,tgt,0.984,0.97554
ctx::district_id,tgt::Sequence Length,ctx,0.88711,0.883
ctx::date,tgt::Sequence Length,ctx,0.00133,0.90504
ctx::frequency,tgt::Sequence Length,ctx,0.948,0.95126
ctx::district_id,tgt::account,ctx,0.90578,0.90971
ctx::date,tgt::account,ctx,0.00133,0.92206
ctx::frequency,tgt::account,ctx,0.96444,0.96491
ctx::district_id,tgt::amount,ctx,0.88089,0.88845
ctx::date,tgt::amount,ctx,0.00133,0.90234
ctx::frequency,tgt::amount,ctx,0.92044,0.95413
ctx::district_id,tgt::balance,ctx,0.84889,0.88289
ctx::date,tgt::balance,ctx,0.00133,0.89712
ctx::frequency,tgt::balance,ctx,0.89556,0.95176
ctx::district_id,tgt::bank,ctx,0.90533,0.91296
ctx::date,tgt::bank,ctx,0.00133,0.92572
ctx::frequency,tgt::bank,ctx,0.97022,0.96646
ctx::district_id,tgt::date,ctx,0.88933,0.89383
ctx::date,tgt::date,ctx,0.00133,0.90926
ctx::frequency,tgt::date,ctx,0.94622,0.95647
ctx::district_id,tgt::k_symbol,ctx,0.91556,0.91073
ctx::date,tgt::k_symbol,ctx,0.00133,0.92236
ctx::frequency,tgt::k_symbol,ctx,0.96489,0.9646
ctx::district_id,tgt::operation,ctx,0.92756,0.91896
ctx::date,tgt::operation,ctx,0.00133,0.9291
ctx::frequency,tgt::operation,ctx,0.97467,0.96764
ctx::district_id,tgt::type,ctx,0.948,0.94493
ctx::date,tgt::type,ctx,0.00133,0.95212
ctx::frequency,tgt::type,ctx,0.99244,0.97975
nxt::account,tgt::account,nxt,0.92,0.92872
nxt::amount,tgt::amount,nxt,0.85644,0.89506
nxt::balance,tgt::balance,nxt,0.84444,0.91146
nxt::bank,tgt::bank,nxt,0.93422,0.93418
nxt::date,tgt::date,nxt,0.90622,0.90718
nxt::k_symbol,tgt::k_symbol,nxt,0.90533,0.93683
nxt::operation,tgt::operation,nxt,0.94356,0.94549
nxt::type,tgt::type,nxt,0.98311,0.97563
