column,accuracy,accuracy_max
tgt::Sequence Length,0.95689,0.96432
tgt::account,0.99244,0.99819
tgt::amount,0.88311,0.96437
tgt::balance,0.2,0.96438
tgt::bank,0.99378,0.99888
tgt::date,0.95022,0.96924
tgt::k_symbol,0.99911,0.99929
tgt::operation,0.98711,0.99888
tgt::type,0.98889,1.0
