kappa,trial,name,variant,tape,group,bin,reference,generated
0,0,U,A,20264401,pooled,0,0.310053451973242,0.3106119287374128
0,0,U,A,20264401,pooled,1,0.3114509155645982,0.323943661971831
0,0,U,A,20264401,pooled,2,0.3109352336507536,0.3226689316723292
0,0,U,A,20264401,pooled,3,0.3132337927514038,0.318642958437875
0,0,U,A,20264401,pooled,4,0.3141778257282477,0.3215527880623808
0,0,U,A,20264401,0,0,0.3104568241191838,0.311614730878187
0,0,U,A,20264401,0,1,0.3129886595759668,0.3270263671875
0,0,U,A,20264401,0,2,0.3101617354245991,0.3238004448681283
0,0,U,A,20264401,0,3,0.3123306948109059,0.3220873786407767
0,0,U,A,20264401,0,4,0.3148642009965611,0.3255260521042084
0,0,U,A,20264401,1,0,0.3073756432246998,0.3017429193899782
0,0,U,A,20264401,1,1,0.2966818477553676,0.2978283350568769
0,0,U,A,20264401,1,2,0.3189823874755381,0.3134199134199134
0,0,U,A,20264401,1,3,0.3202592087312415,0.2880258899676375
0,0,U,A,20264401,1,4,0.3078964830789648,0.2874058127018299
0,0,U,A,20264402,pooled,0,0.310053451973242,0.3160377358490566
0,0,U,A,20264402,pooled,1,0.3114509155645982,0.3243034055727554
0,0,U,A,20264402,pooled,2,0.3109352336507536,0.3108701747826899
0,0,U,A,20264402,pooled,3,0.3132337927514038,0.3188708260105448
0,0,U,A,20264402,pooled,4,0.3141778257282477,0.3142199320249972
0,0,U,A,20264402,0,0,0.3104568241191838,0.3158092848180677
0,0,U,A,20264402,0,1,0.3129886595759668,0.3221643087614793
0,0,U,A,20264402,0,2,0.3101617354245991,0.3109217499740205
0,0,U,A,20264402,0,3,0.3123306948109059,0.316685028767291
0,0,U,A,20264402,0,4,0.3148642009965611,0.3117949975478175
0,0,U,A,20264402,1,0,0.3073756432246998,0.3179871520342612
0,0,U,A,20264402,1,1,0.2966818477553676,0.3417849898580121
0,0,U,A,20264402,1,2,0.3189823874755381,0.3104089219330855
0,0,U,A,20264402,1,3,0.3202592087312415,0.3379679144385026
0,0,U,A,20264402,1,4,0.3078964830789648,0.3347150259067357
0,0,U,A,20264403,pooled,0,0.310053451973242,0.3071622232263895
0,0,U,A,20264403,pooled,1,0.3114509155645982,0.307558076126077
0,0,U,A,20264403,pooled,2,0.3109352336507536,0.3171953255425709
0,0,U,A,20264403,pooled,3,0.3132337927514038,0.3147965339475704
0,0,U,A,20264403,pooled,4,0.3141778257282477,0.3153485254691689
0,0,U,A,20264403,0,0,0.3104568241191838,0.3061276058117498
0,0,U,A,20264403,0,1,0.3129886595759668,0.3069415639868244
0,0,U,A,20264403,0,2,0.3101617354245991,0.3153246753246753
0,0,U,A,20264403,0,3,0.3123306948109059,0.3164448785252106
0,0,U,A,20264403,0,4,0.3148642009965611,0.3137425447316103
0,0,U,A,20264403,1,0,0.3073756432246998,0.3159018143009605
0,0,U,A,20264403,1,1,0.2966818477553676,0.3127572016460905
0,0,U,A,20264403,1,2,0.3189823874755381,0.3327571305099395
0,0,U,A,20264403,1,3,0.3202592087312415,0.3002159827213823
0,0,U,A,20264403,1,4,0.3078964830789648,0.329646017699115
0,0,U,B,20264401,pooled,0,0.310053451973242,0.3106119287374128
0,0,U,B,20264401,pooled,1,0.3114509155645982,0.323943661971831
0,0,U,B,20264401,pooled,2,0.3109352336507536,0.3226689316723292
0,0,U,B,20264401,pooled,3,0.3132337927514038,0.318642958437875
0,0,U,B,20264401,pooled,4,0.3141778257282477,0.3215527880623808
0,0,U,B,20264401,0,0,0.3104568241191838,0.311614730878187
0,0,U,B,20264401,0,1,0.3129886595759668,0.3270263671875
0,0,U,B,20264401,0,2,0.3101617354245991,0.3238004448681283
0,0,U,B,20264401,0,3,0.3123306948109059,0.3220873786407767
0,0,U,B,20264401,0,4,0.3148642009965611,0.3255260521042084
0,0,U,B,20264401,1,0,0.3073756432246998,0.3017429193899782
0,0,U,B,20264401,1,1,0.2966818477553676,0.2978283350568769
0,0,U,B,20264401,1,2,0.3189823874755381,0.3134199134199134
0,0,U,B,20264401,1,3,0.3202592087312415,0.2880258899676375
0,0,U,B,20264401,1,4,0.3078964830789648,0.2874058127018299
0,0,U,B,20264402,pooled,0,0.310053451973242,0.3160377358490566
0,0,U,B,20264402,pooled,1,0.3114509155645982,0.3243034055727554
0,0,U,B,20264402,pooled,2,0.3109352336507536,0.3108701747826899
0,0,U,B,20264402,pooled,3,0.3132337927514038,0.3188708260105448
0,0,U,B,20264402,pooled,4,0.3141778257282477,0.3142199320249972
0,0,U,B,20264402,0,0,0.3104568241191838,0.3158092848180677
0,0,U,B,20264402,0,1,0.3129886595759668,0.3221643087614793
0,0,U,B,20264402,0,2,0.3101617354245991,0.3109217499740205
0,0,U,B,20264402,0,3,0.3123306948109059,0.316685028767291
0,0,U,B,20264402,0,4,0.3148642009965611,0.3117949975478175
0,0,U,B,20264402,1,0,0.3073756432246998,0.3179871520342612
0,0,U,B,20264402,1,1,0.2966818477553676,0.3417849898580121
0,0,U,B,20264402,1,2,0.3189823874755381,0.3104089219330855
0,0,U,B,20264402,1,3,0.3202592087312415,0.3379679144385026
0,0,U,B,20264402,1,4,0.3078964830789648,0.3347150259067357
0,0,U,B,20264403,pooled,0,0.310053451973242,0.3071622232263895
0,0,U,B,20264403,pooled,1,0.3114509155645982,0.307558076126077
0,0,U,B,20264403,pooled,2,0.3109352336507536,0.3171953255425709
0,0,U,B,20264403,pooled,3,0.3132337927514038,0.3147965339475704
0,0,U,B,20264403,pooled,4,0.3141778257282477,0.3153485254691689
0,0,U,B,20264403,0,0,0.3104568241191838,0.3061276058117498
0,0,U,B,20264403,0,1,0.3129886595759668,0.3069415639868244
0,0,U,B,20264403,0,2,0.3101617354245991,0.3153246753246753
0,0,U,B,20264403,0,3,0.3123306948109059,0.3164448785252106
0,0,U,B,20264403,0,4,0.3148642009965611,0.3137425447316103
