kappa,mode,reference,group,mean,std,min,max,q05,q50,q95
0,JOINT_BIN,quantized,0,0.0056659736460266995,0.0021913820274999276,0.0030501921453311,0.0121148173586185,0.00320450180048414,0.0048235100525884,0.009504881922504533
0,JOINT_BIN,quantized,1,0.0158244120886876,0.0055027058911842905,0.0073522369039211,0.0270455775306603,0.008119765031871614,0.015406925810821051,0.02551067373875117
0,JOINT_BIN,quantized,pooled,0.00568126847459633,0.0024326932182705185,0.0029049390344985,0.0135844641813413,0.003133939871154145,0.00502176495440725,0.01025758435080774
0,JOINT_BIN,raw,0,0.00563599539421999,0.0022341630922139825,0.0031625781300931,0.0121187563410844,0.00325116062275552,0.00470053605589985,0.009509972330458484
0,JOINT_BIN,raw,1,0.01639210395508089,0.005564099785096674,0.0071801965590424,0.027957274970805,0.008541185288514955,0.015806369662078452,0.026202297105818693
0,JOINT_BIN,raw,pooled,0.005599685817217277,0.002472064047363004,0.0029642198917071,0.0136117618045302,0.0030155374273897902,0.00502696260197035,0.010254606328958825
0,JOINT_CONT,raw,0,0.005813345373614763,0.0020971600905560985,0.0025466241037351,0.0121137174248914,0.00297553578074342,0.00564744694035825,0.009444275106781103
0,JOINT_CONT,raw,1,0.016560285600977984,0.006149140704905447,0.0056259146128744,0.027755315292786,0.006203144152477825,0.01590375528445755,0.02677486727575498
0,JOINT_CONT,raw,pooled,0.005476439002389553,0.002413789940264723,0.0021699815318511,0.013588758332086,0.0028800852426173846,0.0051419255132521,0.010262481626251155
1,JOINT_BIN,quantized,0,0.005169140047458857,0.0023410785411771494,0.0016989186917892,0.0105184636768471,0.002469534258025095,0.0047353885414204,0.009847425674600223
1,JOINT_BIN,quantized,1,0.014048197137278173,0.004566316425397081,0.0059388374774936,0.026007970129701,0.006821864829793805,0.014234999035473851,0.021161937160681453
1,JOINT_BIN,quantized,pooled,0.005485590705010786,0.0022900213982928433,0.0022816505867937,0.0111045383911193,0.002640728689099045,0.004833039680920749,0.009435835870144174
1,JOINT_BIN,raw,0,0.00510834225715671,0.0023776982645312503,0.0015562762591607,0.0106219385593088,0.0023600580758118,0.0046564168584439,0.009674163853619458
1,JOINT_BIN,raw,1,0.014854926591702762,0.0049718728168396354,0.0067832742709596,0.0300109710646831,0.008012819490292426,0.0137442371776952,0.022835970756240078
1,JOINT_BIN,raw,pooled,0.005662440501277637,0.0023012502942839235,0.0026589461985574,0.0112217506852217,0.002983261697606255,0.00491660585139515,0.009703244067970804
1,JOINT_CONT,raw,0,0.0050327169172513,0.002133292320381654,0.0016563349070837,0.0095054497164383,0.002152677459808205,0.004962378847458249,0.008705891944373918
1,JOINT_CONT,raw,1,0.01587626018182387,0.004653712179846329,0.0075058696362153,0.0246091241131007,0.009115435082636564,0.015783827932843747,0.022900775640654444
1,JOINT_CONT,raw,pooled,0.005353176573334183,0.0021871331349870697,0.0018651951391297,0.0097692863631486,0.002079440528232845,0.005615879478718,0.009076026669916163
