kappa,mode,tape,reference,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
0,JOINT_CONT,20264501,raw,pooled,0.0180371665790727,0.0475862220631838,0.0060517258324891,3.255535583378637e-05,0.0051710796076475,0.002289203221784,0.0040610903150466,0.0041954728924497,0.0,0.0122757731505101,0.0040264813720458,0.0038254607804298,0.0151509478048313,0.0032984881746755,0.3180227821620096,0.3119710563295204
0,JOINT_CONT,20264501,raw,0,0.0189496507530583,0.0500853345847474,0.0063197115119869,5.692748663480669e-05,0.006808589355049,0.0007902195211224,0.0038135740179157,0.0044030662769581,0.0,0.0124910407586999,0.0035691715173424,0.0033290977983996,0.015980419726708,0.0053960195468487,0.3167732491455611,0.3121599775075561
0,JOINT_CONT,20264501,raw,1,0.0522489793719376,0.1300928892655804,0.0201110905998849,0.0003822983099177,0.0092216422408044,0.014674212501136,0.0107843981425204,0.012586755138571,0.0,0.0343100317356974,0.0140449650302267,0.0154022059899271,0.0359627026949664,0.0178370716378518,0.3287873813500415,0.3101793213785747
0,JOINT_CONT,20264502,raw,pooled,0.0138973467932618,0.0467074106602147,0.0035239463157948,3.5518488880456457e-06,0.0134073709214991,0.0067582598173335,0.0065965600904163,0.0085474582802751,0.0,0.0066837630061408,0.0067894874929957,0.0069005567962976,0.0151509478048313,0.0010871461259355,0.3154950026453152,0.3119710563295204
0,JOINT_CONT,20264502,raw,0,0.0160330185151078,0.0497034935642324,0.0030478509048376,6.371216344879256e-06,0.0149129632994463,0.0086078189721323,0.0060431011537464,0.0078600778386594,0.0,0.0078862702052734,0.0076460357965481,0.0074015305060042,0.015980419726708,0.0016344050891312,0.3152078284123937,0.3121599775075561
0,JOINT_CONT,20264502,raw,1,0.0420275756700461,0.1167473137165435,0.0099310522105417,7.533370906868803e-05,0.0003033012636712,0.00957102294697,0.0131815014075314,0.0215589005600202,0.0,0.0191091502468874,0.0086767741849991,0.0105941602402135,0.0359627026949664,0.0055877358910499,0.3179533600296144,0.3101793213785747
0,JOINT_CONT,20264503,raw,pooled,0.0168912783580247,0.0459476837033402,0.0062810644463641,0.0001040056590388,0.010402985750931,0.0011550983356193,0.0042189229434801,0.0067409472721504,0.0,0.0101122451226151,0.0060688691564302,0.0077942157668815,0.0151509478048313,0.0052287196189148,0.3097156385599753,0.3119710563295204
0,JOINT_CONT,20264503,raw,0,0.0171566521349333,0.0477318451590812,0.006766766011061,0.00012120920526,0.0152134718979756,0.0001517393548119,0.0055470728643648,0.0100737020670879,0.0,0.0100680535881257,0.00611388824399,0.0084684752755493,0.015980419726708,0.006398236688867,0.3102984896616233,0.3121599775075561
0,JOINT_CONT,20264503,raw,1,0.0476943003503043,0.1262124995802541,0.0056259146128744,3.0138591869106868e-05,0.0287636426465523,0.0123327549319249,0.0111450494803614,0.0245598231881591,0.0,0.0216911353818897,0.0140360891359804,0.0146815473096969,0.0359627026949664,0.0044444800243785,0.3045534067657003,0.3101793213785747
0,JOINT_CONT,20264504,raw,pooled,0.0143651148949034,0.0481895444011399,0.011822752682923,3.0202979310218862e-05,0.0040816320876444,0.0140468810744813,0.0039931703829709,0.0066067016821523,0.0,0.0104682125022677,0.0037864149686682,0.0032563396705938,0.0151509478048313,0.0035131663211704,0.3237938090124433,0.3119710563295204
0,JOINT_CONT,20264504,raw,0,0.0174263876985891,0.0519406312377082,0.0106365933061917,2.6455592219331724e-05,0.0079330004114311,0.0148342764376123,0.0033674770277443,0.006324254791181,0.0,0.0108272204813998,0.0028451602565134,0.003130137119805,0.015980419726708,0.0026472688203973,0.3227965708137478,0.3121599775075561
0,JOINT_CONT,20264504,raw,1,0.0434543016482742,0.128485692994218,0.0220441873741368,4.715106686935418e-05,0.0305385621203624,0.0076791116508899,0.0158961216311068,0.018342107705628,0.0,0.0272326186863326,0.0135429144486307,0.0163504824949629,0.0359627026949664,0.0117475731442712,0.3322235087527115,0.3101793213785747
0,JOINT_CONT,20264505,raw,pooled,0.0164016952221336,0.0459536898189094,0.005973456124691,4.423256062284508e-05,0.0133828678181051,0.0028369788274389,0.003159477597452,0.0061193931339991,0.0,0.0117335863400525,0.0045420421327463,0.0067397756888949,0.0151509478048313,0.003360783483049,0.3173525206388793,0.3119710563295204
0,JOINT_CONT,20264505,raw,0,0.0170363732208631,0.0482464278473218,0.0069721458346337,6.474494660251224e-05,0.0152682852541116,0.004324287533892,0.0037922267992384,0.0056352391812273,0.0,0.0126697119906429,0.0047749303149108,0.007624323465738,0.015980419726708,0.0039777961243797,0.3171435545562662,0.3121599775075561
0,JOINT_CONT,20264505,raw,1,0.0523243411771936,0.1290260606015433,0.0150707832734886,0.0001648999643991,0.0041631902507795,0.0094507686195461,0.0153886663547049,0.0155894529768043,0.0,0.0260920537744177,0.0124175760707891,0.0138152471395927,0.0359627026949664,0.015497877622516,0.319149095812765,0.3101793213785747
0,JOINT_CONT,20264506,raw,pooled,0.0136949417957966,0.0446089762297353,0.0041846376666983,5.49379830059682e-06,0.0034214495520751,0.0010451516405637,0.0042551127491627,0.0061541845213542,0.0,0.0074411122629538,0.0043012637749295,0.003902641202112,0.0151509478048313,0.0015824419087844,0.3161556939962187,0.3119710563295204
0,JOINT_CONT,20264506,raw,0,0.0161088525996821,0.048348303009023,0.0048199475978193,2.678168912629425e-05,0.0023260919003857,0.0013070591304803,0.0040279829209926,0.0037062692592166,0.0,0.0095967216866146,0.0042541537809279,0.0035476109684514,0.015980419726708,0.0036981449835558,0.3157409034333741,0.3121599775075561
0,JOINT_CONT,20264506,raw,1,0.0490628321984887,0.1261953862821906,0.0262591299075242,0.0010815294007545,0.0112838949682662,0.0213917634642042,0.0182594036214579,0.039109932500888,0.0,0.0268715573093989,0.0093516171754304,0.0122802190912029,0.0359627026949664,0.027945909257965,0.3191362690019242,0.3101793213785747
0,JOINT_CONT,20264507,raw,pooled,0.0166205313033408,0.0456076326382445,0.0083554836680967,7.245494126897987e-05,0.0116329568113067,0.0067093815915349,0.0025439372649992,0.0039058702512261,0.0,0.0078214326943657,0.0041044197070363,0.003432462582856,0.0151509478048313,0.0048566279833426,0.3185669644066566,0.3119710563295204
0,JOINT_CONT,20264507,raw,0,0.0186528369687681,0.0485714669771339,0.0076118052178568,6.425434362578389e-05,0.0110093223458034,0.0040267106985291,0.002628251465534,0.004564539478202,0.0,0.0076916734832101,0.0032596175161345,0.0031421682310874,0.015980419726708,0.0044657393777507,0.3177954910051215,0.3121599775075561
0,JOINT_CONT,20264507,raw,1,0.0557952781209344,0.1286583790289398,0.0215077558471652,0.0004804926494819,0.0158999218513451,0.0310156376213764,0.0062567043460719,0.0193606084798665,0.0,0.0392456039946024,0.0148310692302249,0.0161722974891559,0.0359627026949664,0.0196676608286982,0.3250775388291211,0.3101793213785747
0,JOINT_CONT,20264508,raw,pooled,0.0127385544481853,0.0439119514469281,0.004656123074615,9.407460732064026e-05,0.0132677359480682,0.008073402241348,0.0036407002577323,0.005311136870515,0.0,0.0076428752434962,0.0028747304057969,0.0029881590041282,0.0151509478048313,0.0049211136391092,0.3138407456244227,0.3119710563295204
0,JOINT_CONT,20264508,raw,0,0.0156832559375095,0.0468862499428565,0.0048703276015821,8.883174921124116e-05,0.0134618958138087,0.0094759898968817,0.0036252628951072,0.0065698606905675,0.0,0.0078111996815676,0.0036483506397669,0.002734772747397,0.015980419726708,0.0049140461587052,0.3123808054249706,0.3121599775075561
0,JOINT_CONT,20264508,raw,1,0.0503920152294546,0.1236489191970339,0.0162620189347351,0.0003743789444976,0.0112979723485771,0.0033503570647358,0.0107805993761636,0.0146070464503435,0.0,0.0287522717913829,0.0166844309564188,0.0208191683134965,0.0359627026949664,0.0072588491130176,0.3264413403133099,0.3101793213785747
0,JOINT_CONT,20264509,raw,pooled,0.0141127651387068,0.0458706333338531,0.0035803486345031,2.8666910786973428e-05,0.0117319020605683,0.0096823080473093,0.0029668901287358,0.0042464664875593,0.0,0.0087238807818391,0.0028081901923358,0.0036198001374917,0.0151509478048313,0.0041334012172712,0.3147448909675443,0.3119710563295204
0,JOINT_CONT,20264509,raw,0,0.0157587117348441,0.0497558123082109,0.0043779664101995,4.614099719606332e-05,0.0118228326617516,0.0101624401699912,0.002734497264795,0.0045946686109023,0.0,0.0103718771065495,0.00290909114726,0.0034022508765725,0.015980419726708,0.0046693531491255,0.3153754143102401,0.3121599775075561
0,JOINT_CONT,20264509,raw,1,0.0532720833311261,0.1266128091754179,0.0062804060970654,4.611376826187911e-05,0.0104814016158945,0.0057402901280933,0.0126672383061172,0.0163852096449203,0.0,0.0310691302148691,0.0174800361136384,0.0143316941563147,0.0359627026949664,0.0061740285684267,0.3095928570981226,0.3101793213785747
