kappa,trial,name,variant,group,repeat_range
0,0,U,A,0,0.022212902366111665
0,0,U,A,1,0.042573732117142465
0,0,U,B,0,0.022212902366111665
0,0,U,B,1,0.042573732117142465
0,0,U,P,0,0.022212902366111665
0,0,U,P,1,0.042573732117142465
0,0,G,A,0,0.024530347085973087
0,0,G,A,1,0.04450396548779781
0,0,G,B,0,0.024530347085973087
0,0,G,B,1,0.04450396548779781
0,0,G,P,0,0.024530347085973087
0,0,G,P,1,0.04450396548779781
0,1,U,A,0,0.021333832515864702
0,1,U,A,1,0.04330456482209436
0,1,U,B,0,0.021333832515864702
0,1,U,B,1,0.04330456482209436
0,1,U,P,0,0.021333832515864702
0,1,U,P,1,0.04330456482209436
0,1,G,A,0,0.023024930455537697
0,1,G,A,1,0.044562811884818
0,1,G,B,0,0.023024930455537697
0,1,G,B,1,0.044562811884818
0,1,G,P,0,0.023024930455537697
0,1,G,P,1,0.044562811884818
0,2,U,A,0,0.021860567090412383
0,2,U,A,1,0.03874437115048194
0,2,U,B,0,0.021860567090412383
0,2,U,B,1,0.03874437115048194
0,2,U,P,0,0.021860567090412383
0,2,U,P,1,0.03874437115048194
0,2,G,A,0,0.021836502665806314
0,2,G,A,1,0.040125695129950595
0,2,G,B,0,0.021836502665806314
0,2,G,B,1,0.044889520026549445
0,2,G,P,0,0.021836502665806314
0,2,G,P,1,0.044889520026549445
1,0,U,A,0,0.025472248002258772
1,0,U,A,1,0.38633695842661137
1,0,U,B,0,0.048839388438376395
1,0,U,B,1,0.43917171403788496
1,0,U,P,0,0.025472248002258772
1,0,U,P,1,0.4250709404441518
1,0,G,A,0,0.02536351587301538
1,0,G,A,1,0.39092896479377337
1,0,G,B,0,0.04927248995701215
1,0,G,B,1,0.44344958831851367
1,0,G,P,0,0.04927248995701215
1,0,G,P,1,0.44343390038513664
1,1,U,A,0,0.039517905719213736
1,1,U,A,1,0.38956369744873337
1,1,U,B,0,0.039517905719213736
1,1,U,B,1,0.4428798124125687
1,1,U,P,0,0.056382734160680834
1,1,U,P,1,0.4358101454755979
1,1,G,A,0,0.03402534958071996
1,1,G,A,1,0.3912457961583393
1,1,G,B,0,0.03402534958071996
1,1,G,B,1,0.4439347341177475
1,1,G,P,0,0.03402534958071996
1,1,G,P,1,0.4439347341177475
1,2,U,A,0,0.027785424413164003
1,2,U,A,1,0.3843757763025772
1,2,U,B,0,0.027785424413164003
1,2,U,B,1,0.4371358362949278
1,2,U,P,0,0.027785424413164003
1,2,U,P,1,0.4371358362949278
1,2,G,A,0,0.029051725849047264
1,2,G,A,1,0.3881791815458359
1,2,G,B,0,0.053972897387351663
1,2,G,B,1,0.44092692446197523
1,2,G,P,0,0.053972897387351663
1,2,G,P,1,0.44092692446197523
