kappa,trial,name,variant,group,delta_repeat_brier,delta_mark_nll,delta_fixed_history_range,prediction_cost_pass,basic_prediction_pass,distribution_pass,null_generation_pass,null_response_pass,delta_gap_ks,delta_mark_sparse_tv,delta_amount_ks,delta_length_scaled_w1
0,0,U,B,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,0,U,B,1,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,1,U,B,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,1,U,B,1,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,2,U,B,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,2,U,B,1,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
1,0,U,B,0,0.00012206496432018432,0.00035670108594088035,0.023367140436117623,True,True,True,True,False,5.558731973823172e-05,-0.0002127356659955993,-0.0002018664751705021,0.0
1,0,U,B,1,0.001001273741620845,0.0027205959861023032,0.0528347556112736,True,True,True,True,True,-0.00013616557734203588,0.004962233278336135,2.3335684403574808e-07,0.0
1,1,U,B,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
1,1,U,B,1,0.0010007327117529663,0.002830717537720684,0.053316114963835315,True,True,True,True,True,-0.00047657952069719844,0.002211814506978261,-0.0002412909767325333,0.0
1,2,U,B,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
1,2,U,B,1,0.0010469179289799846,0.002863008440472381,0.052760059992350616,True,True,True,True,True,-0.0006686418799385675,-0.005225584811003003,1.8443524851759208e-05,0.0
0,0,U,P,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,0,U,P,1,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,1,U,P,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,1,U,P,1,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,2,U,P,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,2,U,P,1,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
1,0,U,P,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
1,0,U,P,1,0.0009044989848109863,0.0020507637856712613,0.038733982017540414,True,True,True,True,True,0.001293572984749431,-0.005834771186530405,-2.6344320857026038e-05,0.0
1,1,U,P,0,0.00012699003591082336,0.0003559156288601706,0.016864828441467097,True,True,True,True,False,2.101946285932438e-06,-0.0021453800881464334,-0.00013768149079109587,0.0
1,1,U,P,1,0.0008943549954664454,0.002251527641925488,0.046246448026864506,True,True,True,True,True,0.0004084967320261354,0.0036753452910380964,-0.0006064110959178998,0.0
1,2,U,P,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
1,2,U,P,1,0.0010469179289799846,0.002863008440472381,0.052760059992350616,True,True,True,True,True,-0.0006686418799385675,-0.005225584811003003,1.8443524851759208e-05,0.0
0,0,G,B,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,0,G,B,1,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,1,G,B,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,1,G,B,1,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,2,G,B,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,2,G,B,1,6.749235562458766e-06,7.068892310124752e-05,0.0047638248965988506,True,True,True,True,True,0.002095956856325805,-0.0027720876211611706,0.00010396047401773495,0.0
1,0,G,B,0,0.00012510450804917306,0.0003573989366740804,0.023908974083996774,True,True,True,True,False,-0.00021440823327613379,0.00011249357539133177,0.00011379305061382655,0.0
1,0,G,B,1,0.0010643714255246517,0.0028368946443153575,0.052520623524740295,True,True,True,True,True,-0.00010544413233746705,0.004673645869821396,-0.0008578530953659569,0.0
1,1,G,B,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
1,1,G,B,1,0.0008620560720393466,0.002474801471264776,0.052688937959408155,True,True,True,True,True,0.0008799930767142625,-0.006013839227635532,-0.0003973316978352001,0.0
1,2,G,B,0,0.00021518894690034096,0.0006985907718219941,0.0249211715383044,True,True,True,True,False,3.970522838446858e-05,0.0005512915495562345,-0.00015776544512103793,0.0
1,2,G,B,1,0.0010348828968432533,0.0028725578697503806,0.05274774291613932,True,True,True,True,True,0.0014782148147277283,-0.00039130609075532785,-0.0005088095959000921,0.0
0,0,G,P,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,0,G,P,1,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,1,G,P,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,1,G,P,1,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,2,G,P,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
0,2,G,P,1,6.749235562458766e-06,7.068892310124752e-05,0.0047638248965988506,True,True,True,True,True,0.002095956856325805,-0.0027720876211611706,0.00010396047401773495,0.0
1,0,G,P,0,0.00012510450804917306,0.0003573989366740804,0.023908974083996774,True,True,True,True,False,-0.00021440823327613379,0.00011249357539133177,0.00011379305061382655,0.0
1,0,G,P,1,0.0009029398980166803,0.002444078265994687,0.052504935591363266,True,True,True,True,True,0.00043921817703070076,0.002376731122327235,-0.0004954582507520622,0.0
1,1,G,P,0,0.0,0.0,0.0,True,True,True,True,True,0.0,0.0,0.0,0.0
1,1,G,P,1,0.0008620560720393466,0.002474801471264776,0.052688937959408155,True,True,True,True,True,0.0008799930767142625,-0.006013839227635532,-0.0003973316978352001,0.0
1,2,G,P,0,0.00021518894690034096,0.0006985907718219941,0.0249211715383044,True,True,True,True,False,3.970522838446858e-05,0.0005512915495562345,-0.00015776544512103793,0.0
1,2,G,P,1,0.0010348828968432533,0.0028725578697503806,0.05274774291613932,True,True,True,True,True,0.0014782148147277283,-0.00039130609075532785,-0.0005088095959000921,0.0
