kappa,trial,name,variant,group,observed_repeat,predicted_repeat,repeat_mean_bias,repeat_brier,train_mean_brier,mark_nll,uniform_mark_nll,curve_l1
0,0,U,A,pooled,0.3119710563295204,0.3140495349599679,0.0020784786304475222,0.15835133103731427,0.21466778354492125,3.3458641279239436,4.1588830833596715,0.0025320329146878862
0,0,U,A,0,0.31215997750755603,0.31447964091787983,0.0023196634103238023,0.15831399288359718,0.21474220839988342,3.3450027124988737,4.1588830833596715,0.0028719606070138947
0,0,U,A,1,0.31017932137857473,0.30997039526047193,0.00020892611810280348,0.15870544737151407,0.21397090418691228,3.354033821446031,4.1588830833596715,0.0031178382183617006
0,0,U,B,pooled,0.3119710563295204,0.3140495349599679,0.0020784786304475222,0.15835133103731427,0.21466778354492125,3.3458641279239436,4.1588830833596715,0.0025320329146878862
0,0,U,B,0,0.31215997750755603,0.31447964091787983,0.0023196634103238023,0.15831399288359718,0.21474220839988342,3.3450027124988737,4.1588830833596715,0.0028719606070138947
0,0,U,B,1,0.31017932137857473,0.30997039526047193,0.00020892611810280348,0.15870544737151407,0.21397090418691228,3.354033821446031,4.1588830833596715,0.0031178382183617006
0,0,U,P,pooled,0.3119710563295204,0.3140495349599679,0.0020784786304475222,0.15835133103731427,0.21466778354492125,3.3458641279239436,4.1588830833596715,0.0025320329146878862
0,0,U,P,0,0.31215997750755603,0.31447964091787983,0.0023196634103238023,0.15831399288359718,0.21474220839988342,3.3450027124988737,4.1588830833596715,0.0028719606070138947
0,0,U,P,1,0.31017932137857473,0.30997039526047193,0.00020892611810280348,0.15870544737151407,0.21397090418691228,3.354033821446031,4.1588830833596715,0.0031178382183617006
0,0,G,A,pooled,0.3119710563295204,0.3141165354921186,0.0021454791625982184,0.15834906503338478,0.21466778354492125,3.3458699797358307,4.1588830833596715,0.00249554149181995
0,0,G,A,0,0.31215997750755603,0.3145514088327281,0.0023914313251720554,0.15830928380516712,0.21474220839988342,3.3449872023779617,4.1588830833596715,0.002828873180590049
0,0,G,A,1,0.31017932137857473,0.3099921817711323,0.00018713960744243252,0.15872635157018364,0.21397090418691228,3.3542422705633808,4.1588830833596715,0.0030742230785305805
0,0,G,B,pooled,0.3119710563295204,0.3141165354921186,0.0021454791625982184,0.15834906503338478,0.21466778354492125,3.3458699797358307,4.1588830833596715,0.00249554149181995
0,0,G,B,0,0.31215997750755603,0.3145514088327281,0.0023914313251720554,0.15830928380516712,0.21474220839988342,3.3449872023779617,4.1588830833596715,0.002828873180590049
0,0,G,B,1,0.31017932137857473,0.3099921817711323,0.00018713960744243252,0.15872635157018364,0.21397090418691228,3.3542422705633808,4.1588830833596715,0.0030742230785305805
0,0,G,P,pooled,0.3119710563295204,0.3141165354921186,0.0021454791625982184,0.15834906503338478,0.21466778354492125,3.3458699797358307,4.1588830833596715,0.00249554149181995
0,0,G,P,0,0.31215997750755603,0.3145514088327281,0.0023914313251720554,0.15830928380516712,0.21474220839988342,3.3449872023779617,4.1588830833596715,0.002828873180590049
0,0,G,P,1,0.31017932137857473,0.3099921817711323,0.00018713960744243252,0.15872635157018364,0.21397090418691228,3.3542422705633808,4.1588830833596715,0.0030742230785305805
0,1,U,A,pooled,0.3119710563295204,0.31412258969729595,0.002151533367775571,0.15876975323806156,0.21466778354492125,3.3469401133207044,4.1588830833596715,0.002469186180758764
0,1,U,A,0,0.31215997750755603,0.31458977480467826,0.002429797297122227,0.15876108721020527,0.21474220839988342,3.3458481092427146,4.1588830833596715,0.00283029320506849
0,1,U,A,1,0.31017932137857473,0.3096917900687863,0.00048753130978845816,0.15885194214434223,0.21397090418691228,3.357296717558805,4.1588830833596715,0.003087399762170353
0,1,U,B,pooled,0.3119710563295204,0.31412258969729595,0.002151533367775571,0.15876975323806156,0.21466778354492125,3.3469401133207044,4.1588830833596715,0.002469186180758764
0,1,U,B,0,0.31215997750755603,0.31458977480467826,0.002429797297122227,0.15876108721020527,0.21474220839988342,3.3458481092427146,4.1588830833596715,0.00283029320506849
0,1,U,B,1,0.31017932137857473,0.3096917900687863,0.00048753130978845816,0.15885194214434223,0.21397090418691228,3.357296717558805,4.1588830833596715,0.003087399762170353
0,1,U,P,pooled,0.3119710563295204,0.31412258969729595,0.002151533367775571,0.15876975323806156,0.21466778354492125,3.3469401133207044,4.1588830833596715,0.002469186180758764
0,1,U,P,0,0.31215997750755603,0.31458977480467826,0.002429797297122227,0.15876108721020527,0.21474220839988342,3.3458481092427146,4.1588830833596715,0.00283029320506849
0,1,U,P,1,0.31017932137857473,0.3096917900687863,0.00048753130978845816,0.15885194214434223,0.21397090418691228,3.357296717558805,4.1588830833596715,0.003087399762170353
0,1,G,A,pooled,0.3119710563295204,0.3141781509235188,0.0022070945939984266,0.15879373814764536,0.21466778354492125,3.347021049314955,4.1588830833596715,0.0025256302758642018
0,1,G,A,0,0.31215997750755603,0.31463186676085775,0.002471889253301718,0.15878658490485434,0.21474220839988342,3.3459324794987415,4.1588830833596715,0.0028885527406676275
0,1,G,A,1,0.31017932137857473,0.3098750943154116,0.00030422706316313164,0.15886157974833073,0.21397090418691228,3.3573450828962264,4.1588830833596715,0.0031713910396438958
0,1,G,B,pooled,0.3119710563295204,0.3141781509235188,0.0022070945939984266,0.15879373814764536,0.21466778354492125,3.347021049314955,4.1588830833596715,0.0025256302758642018
0,1,G,B,0,0.31215997750755603,0.31463186676085775,0.002471889253301718,0.15878658490485434,0.21474220839988342,3.3459324794987415,4.1588830833596715,0.0028885527406676275
0,1,G,B,1,0.31017932137857473,0.3098750943154116,0.00030422706316313164,0.15886157974833073,0.21397090418691228,3.3573450828962264,4.1588830833596715,0.0031713910396438958
0,1,G,P,pooled,0.3119710563295204,0.3141781509235188,0.0022070945939984266,0.15879373814764536,0.21466778354492125,3.347021049314955,4.1588830833596715,0.0025256302758642018
0,1,G,P,0,0.31215997750755603,0.31463186676085775,0.002471889253301718,0.15878658490485434,0.21474220839988342,3.3459324794987415,4.1588830833596715,0.0028885527406676275
0,1,G,P,1,0.31017932137857473,0.3098750943154116,0.00030422706316313164,0.15886157974833073,0.21397090418691228,3.3573450828962264,4.1588830833596715,0.0031713910396438958
0,2,U,A,pooled,0.3119710563295204,0.31415675590459463,0.0021856995750742514,0.15901433364509818,0.21466778354492125,3.347356298357196,4.1588830833596715,0.0024025979785719993
0,2,U,A,0,0.31215997750755603,0.3145531601468272,0.0023931826392711852,0.1589444590951423,0.21474220839988342,3.346240799296786,4.1588830833596715,0.0027516167220930964
0,2,U,A,1,0.31017932137857473,0.3103972444358639,0.00021792305728918215,0.159677026280404,0.21397090418691228,3.3579357298167336,4.1588830833596715,0.0028975623807394207
0,2,U,B,pooled,0.3119710563295204,0.31415675590459463,0.0021856995750742514,0.15901433364509818,0.21466778354492125,3.347356298357196,4.1588830833596715,0.0024025979785719993
