kappa,name,variant,group,observed_repeat,predicted_repeat,repeat_mean_bias,repeat_brier,train_mean_brier,mark_nll,uniform_mark_nll,curve_l1
0,G,A,0,0.31215997750755603,0.3145936378351468,0.0024336603275908106,0.15868679814513922,0.21474220839988342,3.3457316119666216,4.1588830833596715,0.002830980710527712
0,G,A,1,0.31017932137857473,0.31009899512322137,0.0002472515250503404,0.15909014051372583,0.2139709041869123,3.3565376718062114,4.1588830833596715,0.0030604840630126078
0,G,A,pooled,0.3119710563295204,0.31416492475186014,0.0021938684223397433,0.1587252702021057,0.21466778354492125,3.34676232776072,4.1588830833596715,0.0024803538334243155
0,G,B,0,0.31215997750755603,0.3145936378351468,0.0024336603275908106,0.15868679814513922,0.21474220839988342,3.3457316119666216,4.1588830833596715,0.002830980710527712
0,G,B,1,0.31017932137857473,0.309073124439099,0.0011061969394757416,0.1590923902589133,0.2139709041869123,3.356561234780578,4.1588830833596715,0.0039704786167062646
0,G,B,pooled,0.3119710563295204,0.31406707399658723,0.002096017667066833,0.15872548478983994,0.21466778354492125,3.3467645752709316,4.1588830833596715,0.002382503078151487
0,G,P,0,0.31215997750755603,0.3145936378351468,0.0024336603275908106,0.15868679814513922,0.21474220839988342,3.3457316119666216,4.1588830833596715,0.002830980710527712
0,G,P,1,0.31017932137857473,0.309073124439099,0.0011061969394757416,0.1590923902589133,0.2139709041869123,3.356561234780578,4.1588830833596715,0.0039704786167062646
0,G,P,pooled,0.3119710563295204,0.31406707399658723,0.002096017667066833,0.15872548478983994,0.21466778354492125,3.3467645752709316,4.1588830833596715,0.002382503078151487
0,U,A,0,0.31215997750755603,0.3145408586231284,0.002380881115572405,0.15867317972964826,0.21474220839988342,3.3456972070127917,4.1588830833596715,0.00281795684472516
0,U,A,1,0.31017932137857473,0.31001980992170736,0.0003047934950601479,0.15907813859875344,0.2139709041869123,3.35642208960719,4.1588830833596715,0.003034266787090491
0,U,A,pooled,0.3119710563295204,0.31410962685395283,0.002138570524432448,0.15871180597349133,0.21466778354492125,3.3467201798672814,4.1588830833596715,0.002467939024672883
0,U,B,0,0.31215997750755603,0.3145408586231284,0.002380881115572405,0.15867317972964826,0.21474220839988342,3.3456972070127917,4.1588830833596715,0.00281795684472516
0,U,B,1,0.31017932137857473,0.31001980992170736,0.0003047934950601479,0.15907813859875344,0.2139709041869123,3.35642208960719,4.1588830833596715,0.003034266787090491
0,U,B,pooled,0.3119710563295204,0.31410962685395283,0.002138570524432448,0.15871180597349133,0.21466778354492125,3.3467201798672814,4.1588830833596715,0.002467939024672883
0,U,P,0,0.31215997750755603,0.3145408586231284,0.002380881115572405,0.15867317972964826,0.21474220839988342,3.3456972070127917,4.1588830833596715,0.00281795684472516
0,U,P,1,0.31017932137857473,0.31001980992170736,0.0003047934950601479,0.15907813859875344,0.2139709041869123,3.35642208960719,4.1588830833596715,0.003034266787090491
0,U,P,pooled,0.3119710563295204,0.31410962685395283,0.002138570524432448,0.15871180597349133,0.21466778354492125,3.3467201798672814,4.1588830833596715,0.002467939024672883
1,G,A,0,0.3174738173894707,0.3165214890899838,0.0009523282994869375,0.15975353685588314,0.2166853092862512,3.3273500200299906,4.1588830833596715,0.0013448109197091468
1,G,A,1,0.3202453169788681,0.32050073267690987,0.0003237871505044991,0.1417653863476113,0.21769513517791528,3.2698618001684587,4.1588830833596715,0.007575970656469408
1,G,A,pooled,0.31773817169090296,0.31690104179230955,0.0008371298985934139,0.15803777078474104,0.2167820708161218,3.3218666137685506,4.1588830833596715,0.0014326486913691138
1,G,B,0,0.3174738173894707,0.31468479410629696,0.0027890232831737824,0.15986696800753297,0.2166853092862512,3.327702016599489,4.1588830833596715,0.005579675538805226
1,G,B,1,0.3202453169788681,0.32932600168843656,0.009080684709568502,0.1427524898124137,0.21769513517791528,3.2725898848302357,4.1588830833596715,0.026672303872943438
1,G,B,pooled,0.31773817169090296,0.3160813182902831,0.00222170884002156,0.15823453553489034,0.2167820708161218,3.322445249053848,4.1588830833596715,0.0049658781138896815
1,G,P,0,0.3174738173894707,0.31468479410629696,0.0027890232831737824,0.15986696800753297,0.2166853092862512,3.327702016599489,4.1588830833596715,0.005579675538805226
1,G,P,1,0.3202453169788681,0.3312169952033306,0.010971678224462508,0.1426986793032444,0.21769513517791528,3.2724589460374625,4.1588830833596715,0.024903763252104822
1,G,P,pooled,0.31773817169090296,0.3162616871676789,0.0024020777174174057,0.15822940292018037,0.2167820708161218,3.322432759702153,4.1588830833596715,0.004909126014643071
1,U,A,0,0.3174738173894707,0.3164737378890847,0.001000079500386016,0.15976129811255704,0.2166853092862512,3.3273959905975086,4.1588830833596715,0.0013357266013388689
1,U,A,1,0.3202453169788681,0.3203660760554933,0.000339556559758795,0.14189007910035903,0.21769513517791528,3.2699650418915827,4.1588830833596715,0.007557599483859409
1,U,A,pooled,0.31773817169090296,0.31684500128051923,0.0008931704103837442,0.15805668533332895,0.2167820708161218,3.3219180470380625,4.1588830833596715,0.0014400169130902938
1,U,B,0,0.3174738173894707,0.3166607633414679,0.0008130540480028406,0.1598019864339971,0.2166853092862512,3.3275148909594887,4.1588830833596715,0.0035517647082522062
1,U,B,1,0.3202453169788681,0.3287473858866432,0.008502068907775107,0.14290638722781027,0.21769513517791528,3.272769815879681,4.1588830833596715,0.027106893064532702
1,U,B,pooled,0.31773817169090296,0.3178136232126468,0.0004206605955950349,0.15819043132407848,0.2167820708161218,3.3222931344292177,4.1588830833596715,0.003368748280378178
1,U,P,0,0.3174738173894707,0.3166596464881839,0.0008141709012868074,0.1598036281245273,0.2166853092862512,3.327514629140462,4.1588830833596715,0.0035170757130083773
1,U,P,1,0.3202453169788681,0.3312052956525022,0.010959978673634074,0.14283866973677817,0.21769513517791528,3.272353475180939,4.1588830833596715,0.024908183750081064
1,U,P,pooled,0.31773817169090296,0.3180470560113251,0.0005814260673353185,0.15818545731888212,0.2167820708161218,3.3222531857049478,4.1588830833596715,0.0034361608680223994
