kappa,name,variant,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
0,G,A,0,0.020792293611160157,0.04977670966865144,0.006446838552829644,4.598802366257124e-05,0.021075173518133334,0.004063719078637744,0.023947629243410592,0.05304813369099048,0.0,0.013967735903555344,0.03369206061947632,0.06426289632227611,0.015980419726708,0.0033482001077882223,0.3173805193733544,0.3121599775075561
0,G,A,1,0.05512728170536559,0.12729654767702167,0.01626467995326583,0.0002818917155021495,0.025792979653114556,0.0090384537505605,0.027990879342006544,0.05297850221781699,0.0,0.03823413264441939,0.04539676261272207,0.07605747544191645,0.0359627026949664,0.012398666852537913,0.3163122298664715,0.3101793213785747
0,G,A,pooled,0.018149362604707512,0.04620260424073964,0.0062230570487502995,4.424675554250966e-05,0.02160363900146738,0.0043379892640074335,0.02385728938260201,0.05287719670682053,0.0,0.011888255397243032,0.03457717036942785,0.06534890386578784,0.015150947804831302,0.0032015567629719997,0.3172816594328821,0.3119710563295204
0,G,B,0,0.020792293611160157,0.04977670966865144,0.006446838552829644,4.598802366257124e-05,0.021075173518133334,0.004063719078637744,0.023947629243410592,0.05304813369099048,0.0,0.013967735903555344,0.03369206061947632,0.06426289632227611,0.015980419726708,0.0033482001077882223,0.3173805193733544,0.3121599775075561
0,G,B,1,0.05418267040369331,0.12616109182413665,0.015110913850893198,0.00026239382626782866,0.025914113247734512,0.009246221975240611,0.028689531627448476,0.05310756647023127,0.0,0.03731010343736566,0.04543141610406131,0.07621476661323939,0.0359627026949664,0.012246710774058957,0.3143117454075246,0.3101793213785747
0,G,B,pooled,0.0181222117652671,0.04613265302396937,0.006081568874365267,4.4731851503907555e-05,0.02161680250985859,0.004358932988842933,0.02385254833843445,0.052883626906236575,0.0,0.011673252934429265,0.03461109223609781,0.06536360548825841,0.015150947804831302,0.0032505696238094,0.3170721442938809,0.3119710563295204
0,G,P,0,0.020792293611160157,0.04977670966865144,0.006446838552829644,4.598802366257124e-05,0.021075173518133334,0.004063719078637744,0.023947629243410592,0.05304813369099048,0.0,0.013967735903555344,0.03369206061947632,0.06426289632227611,0.015980419726708,0.0033482001077882223,0.3173805193733544,0.3121599775075561
0,G,P,1,0.05418267040369331,0.12616109182413665,0.015110913850893198,0.00026239382626782866,0.025914113247734512,0.009246221975240611,0.028689531627448476,0.05310756647023127,0.0,0.03731010343736566,0.04543141610406131,0.07621476661323939,0.0359627026949664,0.012246710774058957,0.3143117454075246,0.3101793213785747
0,G,P,pooled,0.0181222117652671,0.04613265302396937,0.006081568874365267,4.4731851503907555e-05,0.02161680250985859,0.004358932988842933,0.02385254833843445,0.052883626906236575,0.0,0.011673252934429265,0.03461109223609781,0.06536360548825841,0.015150947804831302,0.0032505696238094,0.3170721442938809,0.3119710563295204
0,U,A,0,0.021216786396241125,0.050588385422482084,0.006512431871019045,5.491037361502811e-05,0.020789517476047247,0.004145623116730344,0.023820528566210933,0.05301271785551396,0.0,0.014852623471326121,0.03361461375485428,0.06421243327043734,0.015980419726708,0.0040990027761194,0.3171931382153301,0.3121599775075561
0,U,A,1,0.056594694591440765,0.12675041892983605,0.015878922435947657,0.00020755003535276868,0.026290388653985478,0.009375728877812154,0.02863723996710552,0.053167427066786586,0.0,0.040393950246042754,0.04520669624131293,0.07614390952327978,0.0359627026949664,0.011468278522065889,0.3159916190916105,0.3101793213785747
0,U,A,pooled,0.01826427608666033,0.04631315105918508,0.006107617505622789,5.299185596401116e-05,0.021402469563943944,0.0043754400384759,0.0237141944586738,0.052844557248399,0.0,0.013422417278806132,0.03454503896216194,0.06530986680863642,0.015150947804831302,0.003748334815600633,0.31707703449774866,0.3119710563295204
0,U,B,0,0.021216786396241125,0.050588385422482084,0.006512431871019045,5.491037361502811e-05,0.020789517476047247,0.004145623116730344,0.023820528566210933,0.05301271785551396,0.0,0.014852623471326121,0.03361461375485428,0.06421243327043734,0.015980419726708,0.0040990027761194,0.3171931382153301,0.3121599775075561
0,U,B,1,0.056594694591440765,0.12675041892983605,0.015878922435947657,0.00020755003535276868,0.026290388653985478,0.009375728877812154,0.02863723996710552,0.053167427066786586,0.0,0.040393950246042754,0.04520669624131293,0.07614390952327978,0.0359627026949664,0.011468278522065889,0.3159916190916105,0.3101793213785747
0,U,B,pooled,0.01826427608666033,0.04631315105918508,0.006107617505622789,5.299185596401116e-05,0.021402469563943944,0.0043754400384759,0.0237141944586738,0.052844557248399,0.0,0.013422417278806132,0.03454503896216194,0.06530986680863642,0.015150947804831302,0.003748334815600633,0.31707703449774866,0.3119710563295204
0,U,P,0,0.021216786396241125,0.050588385422482084,0.006512431871019045,5.491037361502811e-05,0.020789517476047247,0.004145623116730344,0.023820528566210933,0.05301271785551396,0.0,0.014852623471326121,0.03361461375485428,0.06421243327043734,0.015980419726708,0.0040990027761194,0.3171931382153301,0.3121599775075561
0,U,P,1,0.056594694591440765,0.12675041892983605,0.015878922435947657,0.00020755003535276868,0.026290388653985478,0.009375728877812154,0.02863723996710552,0.053167427066786586,0.0,0.040393950246042754,0.04520669624131293,0.07614390952327978,0.0359627026949664,0.011468278522065889,0.3159916190916105,0.3101793213785747
0,U,P,pooled,0.01826427608666033,0.04631315105918508,0.006107617505622789,5.299185596401116e-05,0.021402469563943944,0.0043754400384759,0.0237141944586738,0.052844557248399,0.0,0.013422417278806132,0.03454503896216194,0.06530986680863642,0.015150947804831302,0.003748334815600633,0.31707703449774866,0.3119710563295204
1,G,A,0,0.017827449217483478,0.04845116706921398,0.006231017979205867,3.5506867575336294e-05,0.011851025369468145,0.003755668419132756,0.02169389469099292,0.05128604952817026,0.0,0.012163029009244956,0.032003958461737037,0.06323748932987883,0.015980419726708,0.004050335276275844,0.3166552382824093,0.3174738173894708
1,G,A,1,0.05287108980006174,0.1196871372984168,0.019031194728211964,0.0175601199450373,0.019927012850356154,0.012720533551372343,0.027359013332783327,0.05449480070773246,0.0,0.03177796829697252,0.05776420307679325,0.08396974097625735,0.0359627026949664,0.01883847815030108,0.3124327181394764,0.320245316978868
1,G,A,pooled,0.016728075746829,0.046028819251855015,0.006207893036862733,0.00018441178357535794,0.012737368240891112,0.0037251680416715335,0.021774738862973066,0.051358607185548306,0.0,0.011463948930366,0.034237519677968675,0.06513313659747136,0.015150947804831302,0.004039227914896345,0.3161928811199802,0.317738171690903
1,G,B,0,0.018046580311044957,0.04919033161476854,0.008938556998070933,0.0001623461098968236,0.011766155548631654,0.0037561527630263773,0.02163566035602903,0.05127132113436256,0.0,0.01238429071756081,0.0319893009969013,0.06329598253664706,0.015980419726708,0.007336452505843667,0.31328023912704245,0.3174738173894708
1,G,B,1,0.050862850827036364,0.11594175979973058,0.01725712686561329,0.0037972608157507888,0.020987718620969223,0.012773074860964554,0.028109934585818164,0.05466244744708646,0.0,0.031200801814116035,0.057176204947092836,0.08391337972857797,0.0359627026949664,0.0152918403876766,0.32650544094798367,0.320245316978868
1,G,B,pooled,0.016719296169620933,0.046732869750712704,0.008361233687411979,0.0003360281907351851,0.0127703778274084,0.0037588157566921555,0.021806048803545978,0.051352350810455805,0.0,0.011060603227553622,0.034224658025339964,0.0651798156711465,0.015150947804831302,0.006755676122474589,0.31466263077762063,0.317738171690903
1,G,P,0,0.018046580311044957,0.04919033161476854,0.008938556998070933,0.0001623461098968236,0.011766155548631654,0.0037561527630263773,0.02163566035602903,0.05127132113436256,0.0,0.01238429071756081,0.0319893009969013,0.06329598253664706,0.015980419726708,0.007336452505843667,0.31328023912704245,0.3174738173894708
1,G,P,1,0.04994513270766804,0.11600833816956868,0.017133390393144533,0.0037609031404499445,0.021348286497697933,0.012987786581863522,0.02829148868894089,0.054586840104706436,0.0,0.030435163564951313,0.0572970032286308,0.08398555748376796,0.0359627026949664,0.013804570099210711,0.32972499356808954,0.320245316978868
1,G,P,pooled,0.016538189288802477,0.04655538136941009,0.00823508543690199,0.0003353711014664962,0.012808888928806368,0.0037341696326079667,0.021817901413964908,0.05134620757273486,0.0,0.010874224186870967,0.03424632572013892,0.06518483844376292,0.015150947804831302,0.006655169822803435,0.3149988039217147,0.317738171690903
1,U,A,0,0.019041907190711287,0.049049657685872106,0.006221661518708412,3.1844135183411505e-05,0.012126841030960822,0.0038902327817153005,0.021689544744653424,0.05128582207026224,0.0,0.012920044887339957,0.032180424063915615,0.0633366061838705,0.015980419726708,0.0044643996839926784,0.3166358552057509,0.3174738173894708
1,U,A,1,0.053783182936399644,0.11874646993278182,0.018815444909194613,0.015176004169552356,0.019540310896366524,0.012353484272036369,0.028040830623395335,0.054503659934860366,0.0,0.03457064688156213,0.05761120988495142,0.08400745746068013,0.0359627026949664,0.016074425452716524,0.3107186796800446,0.320245316978868
