dataset,seed,threshold,generated_vs_real_total,history_symmetric,current_symmetric,history_current_interaction,history_at_real_current,history_at_generated_current,amount_history_at_generated_current,other_history_at_generated_current,amount_other_interaction
berka,20261021,fit_q99,0.024638643527256365,0.021149648247345356,0.003488995279911007,-0.0017981085515240052,0.02204870252310736,0.02025059397158335,0.01775753898568159,0.002493054985901762,-0.07732429874080271
berka,20261021,fit_q999,0.015300218346000226,0.01337844419894889,0.0019217741470513396,-0.002154068633778716,0.014455478515838248,0.01230140988205953,0.012839331374701333,-0.0005379214926418029,-0.05344703029265569
berka,20261021,fit_max,0.009398906163778706,0.008218512953216893,0.0011803932105618146,-0.0016555757842708057,0.009046300845352295,0.007390725061081489,0.009450568001681366,-0.002059842940599879,-0.038721039195110066
berka,20261021,ten_fit_max,0.00096266119681208,0.0009661513921447256,-3.490195332645403e-06,-0.0006733101667298932,0.001302806475509672,0.0006294963087797789,0.0027509249861604875,-0.002121428677380708,-0.012990478811700519
berka,20261022,fit_q99,0.023352507068707437,0.020049118141834646,0.003303388926872788,-0.001901352967145005,0.02099979462540715,0.019098441658262143,0.01587680661839009,0.0032216350398720558,-0.0843134558275236
berka,20261022,fit_q999,0.014789959457722303,0.012876456891240225,0.0019135025664820805,-0.0022842285088523796,0.014018571145666412,0.011734342636814036,0.011765829261784244,-3.148662497020958e-05,-0.05780219592748382
berka,20261022,fit_max,0.009221122929059248,0.008013058210637745,0.0012080647184215044,-0.001818587207822338,0.008922351814548913,0.007103764606726575,0.008928277011546193,-0.0018245124048196198,-0.041555966722647344
berka,20261022,ten_fit_max,0.0009884969263938698,0.000970321675236618,1.817525115725184e-05,-0.0007528155144794349,0.0013467294324763354,0.0005939139179969006,0.0028733819189669173,-0.002279468000970017,-0.013715181596057448
sparkov,20261021,fit_q99,-0.002782336788774488,-0.002244183804480111,-0.0005381529842943763,0.0008307858751686614,-0.0026595767420644414,-0.00182879086689578,-0.0012906876557780256,-0.0005381032111177545,1.9794080863995883e-05
sparkov,20261021,fit_q999,-0.00020452769633049297,-0.0001757900473137229,-2.873764901677006e-05,4.4872566678570733e-05,-0.00019822633065300825,-0.0001533537639744375,-7.367444363997996e-05,-7.967932033445755e-05,6.129769070578683e-05
sparkov,20261021,fit_max,-1.6307475658282747e-07,-1.5975691015237073e-07,-3.317846430456772e-09,-9.172478160901981e-10,-1.5929828624432563e-07,-1.602155340604158e-07,-7.411788081727592e-08,-8.609765324313991e-08,9.172486908436804e-08
sparkov,20261021,ten_fit_max,-1.0754584574833256e-09,-1.003487920307448e-09,-7.197053717587725e-11,1.519315081759928e-10,-1.0794536743954445e-09,-9.275221662194516e-10,-6.688449101708464e-10,-2.5867725604860544e-10,3.1978552603143333e-10
sparkov,20261022,fit_q99,-0.002799837524747314,-0.0021714839417198727,-0.0006283535830274414,0.0008756473257134503,-0.0026093076045765984,-0.0017336602788631478,-0.0012532161555026426,-0.00048044412336050487,0.00012542657614445144
sparkov,20261022,fit_q999,-0.00019420158584653978,-0.0001772920930874579,-1.6909492759081958e-05,1.3461281172451557e-05,-0.0001840227336736837,-0.00017056145250123216,-9.548749671280902e-05,-7.507395578842314e-05,8.81283231940793e-05
sparkov,20261022,fit_max,-1.6460511386911417e-07,-1.6381501556283067e-07,-7.900983062834288e-10,-3.6137105115011156e-09,-1.6200816030708012e-07,-1.6562187081858125e-07,-8.040534298566509e-08,-8.521652783291614e-08,1.0969192578743242e-07
sparkov,20261022,ten_fit_max,-1.2127639627092135e-09,-1.1197051085864738e-09,-9.305885412273929e-11,-3.2490293427425545e-11,-1.1034599618727614e-09,-1.135950255300187e-09,-8.073499657999777e-10,-3.286002895002093e-10,5.458584651842159e-10
