dataset,seed,case,threshold,amount_threshold,events,expected_exceedance,observed_query_amount_exceedance,difference,brier
berka,0,validation,fit_q99,45493.95999999996,157661,0.01840734732537592,0.010547947812077813,0.007859399513298108,0.00946639822607248
berka,0,validation,fit_q999,62500.0,157661,0.009540319403659249,0.0010909483004674586,0.008449371103191789,0.002079398012392874
berka,0,validation,fit_max,87400.0,157661,0.005318989691053338,0.0,0.005318989691053338,0.0005084798366141856
berka,0,validation,ten_fit_max,874000.0,157661,0.0004301193779919636,0.0,0.0004301193779919636,2.7753976822737918e-05
berka,20261021,RR,fit_q99,45493.95999999996,32314,0.014662249597926265,0.008200779847744012,0.006461469750182252,0.007762108134315548
berka,20261021,RR,fit_q999,62500.0,32314,0.008133649835659435,0.0005260877638175404,0.007607562071841895,0.0015900910349777061
berka,20261021,RR,fit_max,87400.0,32314,0.004690330996140223,0.0,0.004690330996140223,0.0005226697684479531
berka,20261021,RR,ten_fit_max,874000.0,32314,0.00037293638684683184,0.0,0.00037293638684683184,2.6441315276164774e-05
berka,20261021,GR,fit_q99,45493.95999999996,32314,0.036710952121033626,0.008200779847744012,0.028510172273289613,
berka,20261021,GR,fit_q999,62500.0,32314,0.02258912835149768,0.0005260877638175404,0.02206304058768014,
berka,20261021,GR,fit_max,87400.0,32314,0.013736631841492517,0.0,0.013736631841492517,
berka,20261021,GR,ten_fit_max,874000.0,32314,0.001675742862356504,0.0,0.001675742862356504,
berka,20261021,RG,fit_q99,45493.95999999996,32314,0.019050299153599272,0.040354026118710154,-0.021303726965110882,
berka,20261021,RG,fit_q999,62500.0,32314,0.011132458299600132,0.024540446865135856,-0.013407988565535723,
berka,20261021,RG,fit_max,87400.0,32314,0.006698512098837441,0.014916135421179675,-0.008217623322342233,
berka,20261021,RG,ten_fit_max,874000.0,32314,0.0007061012748791331,0.0014544779352602588,-0.0007483766603811257,
berka,20261021,GG,fit_q99,45493.95999999996,32314,0.039300893125182625,0.040354026118710154,-0.0010531329935275294,0.03046412516179145
berka,20261021,GG,fit_q999,62500.0,32314,0.023433868181659663,0.024540446865135856,-0.0011065786834761927,0.02041471938063021
berka,20261021,GG,fit_max,87400.0,32314,0.01408923715991893,0.014916135421179675,-0.0008268982612607452,0.012920331640365634
berka,20261021,GG,ten_fit_max,874000.0,32314,0.0013355975836589122,0.0014544779352602588,-0.00011888035160134659,0.0013044077907832846
berka,20261021,AG,fit_q99,45493.95999999996,32314,0.07546998750968223,0.040354026118710154,0.035115961390972075,
berka,20261021,AG,fit_q999,62500.0,32314,0.05069530482062931,0.024540446865135856,0.026154857955493455,
berka,20261021,AG,fit_max,87400.0,32314,0.035509599698073845,0.014916135421179675,0.02059346427689417,
berka,20261021,AG,ten_fit_max,874000.0,32314,0.00995226566688988,0.0014544779352602588,0.008497787731629621,
berka,20261021,OG,fit_q99,45493.95999999996,32314,0.06020550350990238,0.040354026118710154,0.019851477391192224,
berka,20261021,OG,fit_q999,62500.0,32314,0.03731805195328618,0.024540446865135856,0.012777605088150321,
berka,20261021,OG,fit_max,87400.0,32314,0.023999188755792593,0.014916135421179675,0.009083053334612918,
berka,20261021,OG,ten_fit_max,874000.0,32314,0.005079912003348684,0.0014544779352602588,0.003625434068088425,
berka,20261022,RR,fit_q99,45493.95999999996,32314,0.014662249597926265,0.008200779847744012,0.006461469750182252,0.007762108134315548
berka,20261022,RR,fit_q999,62500.0,32314,0.008133649835659435,0.0005260877638175404,0.007607562071841895,0.0015900910349777061
berka,20261022,RR,fit_max,87400.0,32314,0.004690330996140223,0.0,0.004690330996140223,0.0005226697684479531
berka,20261022,RR,ten_fit_max,874000.0,32314,0.00037293638684683184,0.0,0.00037293638684683184,2.6441315276164774e-05
berka,20261022,GR,fit_q99,45493.95999999996,32314,0.03566204422333341,0.008200779847744012,0.0274612643755894,
berka,20261022,GR,fit_q999,62500.0,32314,0.022152220981325844,0.0005260877638175404,0.021626133217508302,
berka,20261022,GR,fit_max,87400.0,32314,0.013612682810689135,0.0,0.013612682810689135,
berka,20261022,GR,ten_fit_max,874000.0,32314,0.0017196658193231672,0.0,0.0017196658193231672,
berka,20261022,RG,fit_q99,45493.95999999996,32314,0.018916315008371556,0.03704276784056446,-0.018126452832192906,
