dataset,seed,case,threshold,component,mean_weight,mean_log_sigma,q99_log_sigma,tail_probability_contribution
berka,0,validation,fit_q99,0,0.29766205843410964,1.0284476680883046,5.945238375463884,2.8933718814466465e-05
berka,0,validation,fit_q99,1,0.19993887944745017,0.5342045206835385,3.0185837112358285,0.00905089730259848
berka,0,validation,fit_q99,2,0.5023990624667698,0.5176442115206072,1.2971086386019581,0.009327516303962976
berka,0,validation,fit_q999,0,0.29766205843410964,1.0284476680883046,5.945238375463884,2.4499112051554488e-05
berka,0,validation,fit_q999,1,0.19993887944745017,0.5342045206835385,3.0185837112358285,0.005789574324115963
berka,0,validation,fit_q999,2,0.5023990624667698,0.5176442115206072,1.2971086386019581,0.0037262459674917313
berka,0,validation,fit_max,0,0.29766205843410964,1.0284476680883046,5.945238375463884,2.0553305133808636e-05
berka,0,validation,fit_max,1,0.19993887944745017,0.5342045206835385,3.0185837112358285,0.0036918508422694976
berka,0,validation,fit_max,2,0.5023990624667698,0.5176442115206072,1.2971086386019581,0.0016065855436500325
berka,0,validation,ten_fit_max,0,0.29766205843410964,1.0284476680883046,5.945238375463884,6.1203035568896974e-06
berka,0,validation,ten_fit_max,1,0.19993887944745017,0.5342045206835385,3.0185837112358285,0.0004167204458905366
berka,0,validation,ten_fit_max,2,0.5023990624667698,0.5176442115206072,1.2971086386019581,7.2786285445373495e-06
berka,20261021,RR,fit_q99,0,0.283773996508863,1.1271245418396583,5.9549058064908165,2.550076350913437e-05
berka,20261021,RR,fit_q99,1,0.2205202339374204,0.5221622182643078,2.8503947380118246,0.0077807601830490345
berka,20261021,RR,fit_q99,2,0.4957057699803412,0.4950437522397705,1.2684966659257473,0.006855988651368096
berka,20261021,RR,fit_q999,0,0.283773996508863,1.1271245418396583,5.9549058064908165,2.115718699012932e-05
berka,20261021,RR,fit_q999,1,0.2205202339374204,0.5221622182643078,2.8503947380118246,0.005250146225122179
berka,20261021,RR,fit_q999,2,0.4957057699803412,0.4950437522397705,1.2684966659257473,0.0028623464235471253
berka,20261021,RR,fit_max,0,0.283773996508863,1.1271245418396583,5.9549058064908165,1.7378649046047595e-05
berka,20261021,RR,fit_max,1,0.2205202339374204,0.5221622182643078,2.8503947380118246,0.0034501937851167262
berka,20261021,RR,fit_max,2,0.4957057699803412,0.4950437522397705,1.2684966659257473,0.0012227585619774494
berka,20261021,RR,ten_fit_max,0,0.283773996508863,1.1271245418396583,5.9549058064908165,4.471888554145277e-06
berka,20261021,RR,ten_fit_max,1,0.2205202339374204,0.5221622182643078,2.8503947380118246,0.0003624310145119053
berka,20261021,RR,ten_fit_max,2,0.4957057699803412,0.4950437522397705,1.2684966659257473,6.033483780781239e-06
berka,20261021,GR,fit_q99,0,0.25816048002225034,1.308686315502897,6.841874530252979,0.0033415385951782897
berka,20261021,GR,fit_q99,1,0.33058105166939333,0.5812580427967526,3.261927622436667,0.0159545159235387
berka,20261021,GR,fit_q99,2,0.4112584685916829,0.5403775349142732,1.4201066029872798,0.017414897602316633
berka,20261021,GR,fit_q999,0,0.25816048002225034,1.308686315502897,6.841874530252979,0.0028547706029256417
berka,20261021,GR,fit_q999,1,0.33058105166939333,0.5812580427967526,3.261927622436667,0.011137891061344739
berka,20261021,GR,fit_q999,2,0.4112584685916829,0.5403775349142732,1.4201066029872798,0.008596466687227302
berka,20261021,GR,fit_max,0,0.25816048002225034,1.308686315502897,6.841874530252979,0.0024164086372632856
berka,20261021,GR,fit_max,1,0.33058105166939333,0.5812580427967526,3.261927622436667,0.0074295984948021185
berka,20261021,GR,fit_max,2,0.4112584685916829,0.5403775349142732,1.4201066029872798,0.0038906247094271152
berka,20261021,GR,ten_fit_max,0,0.25816048002225034,1.308686315502897,6.841874530252979,0.0007657415312779892
berka,20261021,GR,ten_fit_max,1,0.33058105166939333,0.5812580427967526,3.261927622436667,0.0008838590947091606
berka,20261021,GR,ten_fit_max,2,0.4112584685916829,0.5403775349142732,1.4201066029872798,2.614223636935409e-05
berka,20261021,RG,fit_q99,0,0.19692039002636494,0.9570988716450339,6.270670547269396,0.0008793586281197539
berka,20261021,RG,fit_q99,1,0.28600196321665683,0.5581291611581343,2.9581387987460506,0.009736163132831254
berka,20261021,RG,fit_q99,2,0.5170776475805917,0.5639460978906784,1.3606445582070703,0.008434777392648266
berka,20261021,RG,fit_q999,0,0.19692039002636494,0.9570988716450339,6.270670547269396,0.0007196644236045291
berka,20261021,RG,fit_q999,1,0.28600196321665683,0.5581291611581343,2.9581387987460506,0.0067884297279211065
berka,20261021,RG,fit_q999,2,0.5170776475805917,0.5639460978906784,1.3606445582070703,0.0036243641480744955
berka,20261021,RG,fit_max,0,0.19692039002636494,0.9570988716450339,6.270670547269396,0.0005829263748802642
berka,20261021,RG,fit_max,1,0.28600196321665683,0.5581291611581343,2.9581387987460506,0.004634587808789414
berka,20261021,RG,fit_max,2,0.5170776475805917,0.5639460978906784,1.3606445582070703,0.001480997915167762
berka,20261021,RG,ten_fit_max,0,0.19692039002636494,0.9570988716450339,6.270670547269396,0.00014280993256307885
berka,20261021,RG,ten_fit_max,1,0.28600196321665683,0.5581291611581343,2.9581387987460506,0.0005542130560504296
berka,20261021,RG,ten_fit_max,2,0.5170776475805917,0.5639460978906784,1.3606445582070703,9.078286265624554e-06
berka,20261021,GG,fit_q99,0,0.2658612275645545,1.2643920521759557,7.187013708813494,0.00016031563987924785
berka,20261021,GG,fit_q99,1,0.27346227617589586,0.6280881681967295,3.6343533358606726,0.018628515976106198
berka,20261021,GG,fit_q99,2,0.46067649670211924,0.5756449033734204,1.4152688422312685,0.02051206150919718
berka,20261021,GG,fit_q999,0,0.2658612275645545,1.2643920521759557,7.187013708813494,0.0001405807363302497
berka,20261021,GG,fit_q999,1,0.27346227617589586,0.6280881681967295,3.6343533358606726,0.012958245167256813
berka,20261021,GG,fit_q999,2,0.46067649670211924,0.5756449033734204,1.4152688422312685,0.010335042278072599
berka,20261021,GG,fit_max,0,0.2658612275645545,1.2643920521759557,7.187013708813494,0.0001223023793426368
berka,20261021,GG,fit_max,1,0.27346227617589586,0.6280881681967295,3.6343533358606726,0.008848517875887443
berka,20261021,GG,fit_max,2,0.46067649670211924,0.5756449033734204,1.4152688422312685,0.005118416904688849
berka,20261021,GG,ten_fit_max,0,0.2658612275645545,1.2643920521759557,7.187013708813494,4.634053651496913e-05
berka,20261021,GG,ten_fit_max,1,0.27346227617589586,0.6280881681967295,3.6343533358606726,0.0012469151571625414
berka,20261021,GG,ten_fit_max,2,0.46067649670211924,0.5756449033734204,1.4152688422312685,4.2341889981401496e-05
berka,20261021,AG,fit_q99,0,0.21654151076893277,1.986159740384097,7.387653271383293,0.007077896002319564
berka,20261021,AG,fit_q99,1,0.33300257000438294,1.6973634250213965,6.9389224001775585,0.026566124387028534
berka,20261021,AG,fit_q99,2,0.4504559201727378,0.6341651520611022,1.652753407474489,0.04182596712033412
berka,20261021,AG,fit_q999,0,0.21654151076893277,1.986159740384097,7.387653271383293,0.006407934698974558
berka,20261021,AG,fit_q999,1,0.33300257000438294,1.6973634250213965,6.9389224001775585,0.022746950414632733
berka,20261021,AG,fit_q999,2,0.4504559201727378,0.6341651520611022,1.652753407474489,0.02154041970702202
berka,20261021,AG,fit_max,0,0.21654151076893277,1.986159740384097,7.387653271383293,0.00576667657416094
berka,20261021,AG,fit_max,1,0.33300257000438294,1.6973634250213965,6.9389224001775585,0.019387889212367157
berka,20261021,AG,fit_max,2,0.4504559201727378,0.6341651520611022,1.652753407474489,0.010355033911545743
berka,20261021,AG,ten_fit_max,0,0.21654151076893277,1.986159740384097,7.387653271383293,0.002746908863898163
berka,20261021,AG,ten_fit_max,1,0.33300257000438294,1.6973634250213965,6.9389224001775585,0.007096134329436412
berka,20261021,AG,ten_fit_max,2,0.4504559201727378,0.6341651520611022,1.652753407474489,0.00010922247355530495
berka,20261021,OG,fit_q99,0,0.22142943451101793,1.9897862027603244,7.387653271383293,0.0011245927662785575
berka,20261021,OG,fit_q99,1,0.2841939567063169,1.4190083410572394,6.18919036177126,0.020988118138371904
berka,20261021,OG,fit_q99,2,0.49437660880321427,0.6569260553338533,1.6562867433685682,0.038092792605251925
berka,20261021,OG,fit_q999,0,0.22142943451101793,1.9897862027603244,7.387653271383293,0.0009919504547437191
berka,20261021,OG,fit_q999,1,0.2841939567063169,1.4190083410572394,6.18919036177126,0.01752928853018367
berka,20261021,OG,fit_q999,2,0.49437660880321427,0.6569260553338533,1.6562867433685682,0.018796812968358785
berka,20261021,OG,fit_max,0,0.22142943451101793,1.9897862027603244,7.387653271383293,0.000873557851075522
berka,20261021,OG,fit_max,1,0.2841939567063169,1.4190083410572394,6.18919036177126,0.014558991528097073
berka,20261021,OG,fit_max,2,0.49437660880321427,0.6569260553338533,1.6562867433685682,0.008566639376619998
berka,20261021,OG,ten_fit_max,0,0.22142943451101793,1.9897862027603244,7.387653271383293,0.00039509744812787055
berka,20261021,OG,ten_fit_max,1,0.2841939567063169,1.4190083410572394,6.18919036177126,0.004594874591668325
berka,20261021,OG,ten_fit_max,2,0.49437660880321427,0.6569260553338533,1.6562867433685682,8.993996355248702e-05
berka,20261022,RR,fit_q99,0,0.283773996508863,1.1271245418396583,5.9549058064908165,2.550076350913437e-05
berka,20261022,RR,fit_q99,1,0.2205202339374204,0.5221622182643078,2.8503947380118246,0.0077807601830490345
berka,20261022,RR,fit_q99,2,0.4957057699803412,0.4950437522397705,1.2684966659257473,0.006855988651368096
berka,20261022,RR,fit_q999,0,0.283773996508863,1.1271245418396583,5.9549058064908165,2.115718699012932e-05
berka,20261022,RR,fit_q999,1,0.2205202339374204,0.5221622182643078,2.8503947380118246,0.005250146225122179
berka,20261022,RR,fit_q999,2,0.4957057699803412,0.4950437522397705,1.2684966659257473,0.0028623464235471253
berka,20261022,RR,fit_max,0,0.283773996508863,1.1271245418396583,5.9549058064908165,1.7378649046047595e-05
berka,20261022,RR,fit_max,1,0.2205202339374204,0.5221622182643078,2.8503947380118246,0.0034501937851167262
berka,20261022,RR,fit_max,2,0.4957057699803412,0.4950437522397705,1.2684966659257473,0.0012227585619774494
berka,20261022,RR,ten_fit_max,0,0.283773996508863,1.1271245418396583,5.9549058064908165,4.471888554145277e-06
berka,20261022,RR,ten_fit_max,1,0.2205202339374204,0.5221622182643078,2.8503947380118246,0.0003624310145119053
berka,20261022,RR,ten_fit_max,2,0.4957057699803412,0.4950437522397705,1.2684966659257473,6.033483780781239e-06
berka,20261022,GR,fit_q99,0,0.2651535264096286,1.2761610626822364,7.069066636332462,0.00337771867571034
berka,20261022,GR,fit_q99,1,0.3239682044129402,0.5815022008942582,3.502612209385019,0.01548518216628035
berka,20261022,GR,fit_q99,2,0.4108782697320446,0.539972910417399,1.425194724039629,0.016799143381342724
berka,20261022,GR,fit_q999,0,0.2651535264096286,1.2761610626822364,7.069066636332462,0.0028958080197963665
