kappa,seed,physical_gpu,config_sha256,seconds,start_epoch,last_epoch,best_epoch,weights_sha256,last_weights_sha256,originals_unchanged,smoke,test_accessed,peak_reserved_bytes
0,20260920,1,8c48f24d248dafadfd8808886cd6102e48ac719c358831d619cc57901fdb4dda,464.55420982203213,97.0,197.0,98.0,8305f1acc25b463fa712dc74d79255ee480a47992caaf7fc6d21752406cf48a8,dd3951cc292b85b01ea8bbeba0eaa870be1e57fde07b15ceb3b54c3a27bc87f8,True,False,False,444596224
0,20260921,0,8c48f24d248dafadfd8808886cd6102e48ac719c358831d619cc57901fdb4dda,331.4888296050485,44.0,144.0,144.0,2bed5ebfef35f6cabb4a40a84ae21e06980b49cb8e37167a04b21b87c0775ae6,a337b1784c0e5c564cdb38ec86f48d526d3286db72f6032ab8411838b79d8d2b,True,False,False,444596224
1,20260920,0,8c48f24d248dafadfd8808886cd6102e48ac719c358831d619cc57901fdb4dda,326.89100452599814,43.0,143.0,143.0,1170bceb82933081a0755b800d970d50a7c957cd273ab4dc8bba4d7e957a6194,fcdbc5de4a446e40f5ff1167f33b3269cefece79e3793d88a64aea3c73142ea3,True,False,False,444596224
1,20260921,0,8c48f24d248dafadfd8808886cd6102e48ac719c358831d619cc57901fdb4dda,323.88272257498465,35.0,135.0,135.0,5bcdec5aca7af79dcffbb2d93851b7642a442181ea24b9c1263818e187ca20b6,71cb87dd83a008965aae4779cd02ff806f665581dd3c0d3ecbbd87eea967efb6,True,False,False,444596224
