family,kappa,index,variant,group,observed_repeat,predicted_repeat,repeat_mean_bias,repeat_brier,train_mean_brier,mark_nll,uniform_mark_nll,curve_l1
argn_original,0,20260920,raw,pooled,0.3119710563295204,0.06530921161174774,0.24666184471777264,0.26028246942795036,0.21466778354492125,3.824200391769409,4.1588830833596715,0.24666184141232395
argn_original,0,20260920,raw,0,0.31215997750755603,0.06547258794307709,0.24668738956447894,0.26025853739078875,0.21474220839988342,3.823054313659668,4.1588830833596715,0.24668739140956075
argn_original,0,20260920,raw,1,0.31017932137857473,0.06375979632139206,0.24641952505718268,0.26050944169159707,0.21397090418691228,3.835073471069336,4.1588830833596715,0.2464195243596686
argn_original,0,20260920,level,pooled,0.3119710563295204,0.3139668392207269,0.001995782891206499,0.1802140064681942,0.21466778354492125,3.52014651278745,4.1588830833596715,0.0019957828912049898
argn_original,0,20260920,level,0,0.31215997750755603,0.31451706370491084,0.0023570861973548074,0.18009922329183672,0.21474220839988342,3.519038542047341,4.1588830833596715,0.002393030061434454
argn_original,0,20260920,level,1,0.31017932137857473,0.30874849128626486,0.001430830092309876,0.18130261406104614,0.21397090418691228,3.5306545453983,4.1588830833596715,0.006209535172617175
argn_original,0,20260920,gap,pooled,0.3119710563295204,0.3139662524669064,0.001995196137386024,0.18021879357818751,0.21466778354492125,3.520158320104049,4.1588830833596715,0.002671956858361256
argn_original,0,20260920,gap,0,0.31215997750755603,0.31451969197635815,0.002359714468802121,0.1801070258543985,0.21474220839988342,3.5190573954263598,4.1588830833596715,0.0032578994974947944
argn_original,0,20260920,gap,1,0.31017932137857473,0.3087174131222167,0.0014619082563580577,0.18127880251515618,0.21397090418691228,3.5305995276165327,4.1588830833596715,0.005179277326748488
argn_original,0,20260920,direct,pooled,0.3119710563295204,0.31675168014424576,0.004780623814725382,0.21467005932518402,0.21466778354492125,3.5986132226730785,4.1588830833596715,0.004780623814694044
argn_original,0,20260920,direct,0,0.31215997750755603,0.31727087212339145,0.005110894615835415,0.21474684525472842,0.21474220839988342,3.597884385118848,4.1588830833596715,0.005110894615790541
argn_original,0,20260920,direct,1,0.31017932137857473,0.31182764555501435,0.0016483241764396195,0.21394181892812505,0.21397090418691228,3.6055255431077486,4.1588830833596715,0.006535440033426791
argn_original,0,20260921,raw,pooled,0.3119710563295204,0.03556063398718834,0.27641042234233204,0.2855962457451137,0.21466778354492125,3.991664409637451,4.1588830833596715,0.2764104269602343
argn_original,0,20260921,raw,0,0.31215997750755603,0.03558452054858208,0.27657545695897395,0.28574288649812873,0.21474220839988342,3.9910776615142822,4.1588830833596715,0.2765754576080653
argn_original,0,20260921,raw,1,0.31017932137857473,0.03533405438065529,0.27484526699791945,0.284205499799413,0.21397090418691228,3.997232437133789,4.1588830833596715,0.27484527061952946
argn_original,0,20260921,level,pooled,0.3119710563295204,0.3139926287280793,0.002021572398558935,0.2014972218743214,0.21466778354492125,3.529009191952627,4.1588830833596715,0.002021572398551098
argn_original,0,20260921,level,0,0.31215997750755603,0.31456941038967556,0.002409432882119533,0.20152596269907005,0.21474220839988342,3.5280764418088246,4.1588830833596715,0.002409432882116422
argn_original,0,20260921,level,1,0.31017932137857473,0.30852241160953486,0.0016569097690398715,0.20122464290378675,0.21397090418691228,3.5378554264009177,4.1588830833596715,0.006341182758399884
argn_original,0,20260921,gap,pooled,0.3119710563295204,0.3139902062974888,0.0020191499679684255,0.20149834467845004,0.21466778354492125,3.5290110843653943,4.1588830833596715,0.002229350603476735
argn_original,0,20260921,gap,0,0.31215997750755603,0.31457079660175,0.0024108190941939944,0.20152959476598903,0.21474220839988342,3.5280846937373145,4.1588830833596715,0.00278305411387355
argn_original,0,20260921,gap,1,0.31017932137857473,0.30848386788090015,0.0016954534976745816,0.20120196777329977,0.21397090418691228,3.537797004947813,4.1588830833596715,0.005281872886688716
argn_original,0,20260921,direct,pooled,0.3119710563295204,0.31675150499628707,0.00478044866676669,0.21466981072598684,0.21466778354492125,3.555526973251819,4.1588830833596715,0.0047804486667199966
argn_original,0,20260921,direct,0,0.31215997750755603,0.31727072060944145,0.005110743101885418,0.21474670328355627,0.21474220839988342,3.554708741578788,4.1588830833596715,0.005110743101834091
argn_original,0,20260921,direct,1,0.31017932137857473,0.31182724626130504,0.0016479248827303006,0.21394055906507017,0.21397090418691228,3.5632871105841377,4.1588830833596715,0.006558267712020637
argn_continued,0,20260920,raw,pooled,0.3119710563295204,0.06569206714630127,0.2462789891832191,0.26006747760985544,0.21466778354492125,3.824289321899414,4.1588830833596715,0.24627899623061011
argn_continued,0,20260920,raw,0,0.31215997750755603,0.06585583835840225,0.24630413914915378,0.2600398126814522,0.21474220839988342,3.82312273979187,4.1588830833596715,0.2463041428995748
argn_continued,0,20260920,raw,1,0.31017932137857473,0.06413881480693817,0.24604050657163656,0.26032985274244175,0.21397090418691228,3.835353374481201,4.1588830833596715,0.24604050435716124
argn_continued,0,20260920,level,pooled,0.3119710563295204,0.31397849082179674,0.002007434492276361,0.180286463293285,0.21466778354492125,3.521688842425944,4.1588830833596715,0.0020074344922739254
argn_continued,0,20260920,level,0,0.31215997750755603,0.3145217053289399,0.0023617278213838855,0.18016093914766126,0.21474220839988342,3.5205559371477864,4.1588830833596715,0.002453370471022888
argn_continued,0,20260920,level,1,0.31017932137857473,0.3088266257507178,0.001352695627856948,0.18147693860812306,0.21397090418691228,3.5324333550533327,4.1588830833596715,0.006237932935102559
argn_continued,0,20260920,gap,pooled,0.3119710563295204,0.31397761758767573,0.0020065612581553482,0.18029141531063003,0.21466778354492125,3.521701200831964,4.1588830833596715,0.0026846774164898646
argn_continued,0,20260920,gap,0,0.31215997750755603,0.31452396933379523,0.002363991826239198,0.18016878449393917,0.21474220839988342,3.5205751677326123,4.1588830833596715,0.0032657103461081363
argn_continued,0,20260920,gap,1,0.31017932137857473,0.30879599883423176,0.0013833225443429797,0.18145445019434472,0.21397090418691228,3.5323805374791815,4.1588830833596715,0.005178893761908967
argn_continued,0,20260920,direct,pooled,0.3119710563295204,0.31675168014424576,0.004780623814725382,0.21467005932518402,0.21466778354492125,3.5999869715598924,4.1588830833596715,0.004780623814694044
argn_continued,0,20260920,direct,0,0.31215997750755603,0.31727087212339145,0.005110894615835415,0.21474684525472842,0.21474220839988342,3.5992585737638927,4.1588830833596715,0.005110894615790541
argn_continued,0,20260920,direct,1,0.31017932137857473,0.31182764555501435,0.0016483241764396195,0.21394181892812505,0.21397090418691228,3.606895121312374,4.1588830833596715,0.006535440033426791
argn_continued,0,20260921,raw,pooled,0.3119710563295204,0.09550194442272186,0.21646911190679852,0.24924038089630246,0.21466778354492125,3.839526653289795,4.1588830833596715,0.21646911418552717
argn_continued,0,20260921,raw,0,0.31215997750755603,0.09594830125570297,0.21621167625185306,0.24900768626073974,0.21474220839988342,3.8375895023345947,4.1588830833596715,0.2162116899477045
