family,kappa,variant,group,entities,events,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,repeat_level_reference_weighted,reference_repeat_level,null_centered_shape_l1
U,0,direct,0,1834.0,43810.0,0.016926325178064788,0.047552096059747105,0.007485831557787987,6.57552859763366e-05,0.016607178653855754,0.0033068684575072865,0.022712196852716277,0.0520508414250497,0.0,0.008787922639972764,0.0417064888096516,0.07097806511903888,0.015980419726708005,0.31833722721591245,0.3121599775075561,0.005380694427402647
U,0,direct,1,214.0,5110.0,0.05041547402577171,0.12510553233320162,0.014265159611451634,0.00026334540878629025,0.015289144952189521,0.009187150978646183,0.027561381982668127,0.052855060720077424,0.0,0.029587105900919508,0.04377580207872609,0.07212362109507324,0.03596270269496643,0.3184214900628705,0.31017932137857473,0.010439639290386576
U,0,direct,pooled,2048.0,48920.0,0.01622530083854787,0.04506806410133966,0.007540398795379102,5.999625202586913e-05,0.016257769419164087,0.002931016360919256,0.022235690327064583,0.051835025844645714,0.0,0.009301764937213087,0.04170497864225531,0.07103745001608079,0.015150947804831305,0.3183406910878687,0.3119710563295204,0.004809127511198482
U,0,gap,0,1834.0,43810.0,0.01825774732070107,0.049750365883697044,0.009989603838935228,6.061394743756131e-05,0.017315741977135,0.003391852624367759,0.0225281755244217,0.05198253731954535,0.0,0.011626716154635501,0.04181939258379989,0.07091351325036031,0.015980419726708005,0.3211997419038089,0.3121599775075561,0.005135147858239898
U,0,gap,1,214.0,5110.0,0.05504923305752,0.12724316997632804,0.01718838110217948,0.0005990219886848075,0.011598720139057606,0.009125177889216919,0.028400160486759123,0.053415268735873295,0.0,0.03906151878135053,0.04356851452783866,0.07231357301650242,0.03596270269496643,0.3116313406309253,0.31017932137857473,0.012831069162981913
U,0,gap,pooled,2048.0,48920.0,0.017387288323899453,0.04762955690369675,0.009463406749418375,4.9101744665065e-05,0.01672874114645473,0.0030044383410515936,0.02227679344450952,0.05179550273907014,0.0,0.011866524317961391,0.04172332004257052,0.07099275531516602,0.015150947804831305,0.3202221914410521,0.3119710563295204,0.004737127477616148
U,0,level,0,1834.0,43810.0,0.01815181224132621,0.04968552298828157,0.00993009719138064,5.8161961975283415e-05,0.017270779169839275,0.0033893909949123946,0.022512293433067904,0.051985406892355764,0.0,0.011448365204692841,0.041823196890274826,0.070914457408699,0.015980419726708005,0.32106988176479634,0.3121599775075561,0.005150071706231463
U,0,level,1,214.0,5110.0,0.05447809492018376,0.12703897700060426,0.017040394805443105,0.0005513857107270145,0.01149697562413371,0.00914310564744302,0.028400160486759116,0.053435033822721655,0.0,0.038767976706986534,0.04354918758064872,0.07230070190485892,0.03596270269496643,0.3114373502000578,0.31017932137857473,0.012838841000409931
U,0,level,pooled,2048.0,48920.0,0.01741721599087771,0.04757187097000434,0.009413223778315272,4.7143068606614204e-05,0.01668176554073046,0.0029970863293045853,0.022291016577012223,0.05180004490248377,0.0,0.011951697389643046,0.041733540811172316,0.07099256251123498,0.015150947804831305,0.32008703273609723,0.3119710563295204,0.004861558197727019
U,0,raw,0,1834.0,43810.0,0.018169339080875268,0.049670821801233965,0.010728110639208933,5.871414734589567e-05,0.017299495581463042,0.0033984404791941344,0.022512293433067904,0.05199053359554565,0.0,0.011423967244770336,0.04182700119674976,0.07090089647105889,0.015980419726708005,0.32171680229181265,0.3121599775075561,0.005137013425221005
