kappa,index,group,brier_improvement,mark_nll_improvement,passes_budget_contribution_screen
0,20260920,pooled,0.00021499181809492285,-8.893013000488281e-05,False
0,20260920,0,0.00021872470933648192,-6.842613220214844e-05,False
0,20260920,1,0.0001795889491553182,-0.0002799034118652344,False
0,20260921,pooled,0.036355864848811315,0.15213775634765625,True
0,20260921,0,0.036735200237388965,0.1534881591796875,True
0,20260921,1,0.032758234975271305,0.13933134078979492,True
1,20260920,pooled,0.0030361674537811023,0.04841327667236328,False
1,20260920,0,0.002993138648958893,0.047756195068359375,False
1,20260920,1,0.003444254118806278,0.05464506149291992,False
1,20260921,pooled,0.039381292304605575,0.23578190803527788,True
1,20260921,0,0.039487820995661005,0.2363605499267578,True
1,20260921,1,0.03837097053429411,0.23029136657714844,True
