family,kappa,index,group,variant,passes_relation,passes_null_shape,passes_distribution_cost,passes_generation_screen,delta_gap_ks,delta_mark_sparse_tv,delta_amount_ks,delta_length_scaled_w1
U,0,0,0,direct,True,True,True,True,0.00021786295374518969,-0.0031330763245423915,-0.0004683105037455934,0.0
U,0,0,0,gap,True,True,True,True,3.176418270759915e-05,5.326029064902163e-05,-3.8043064749304634e-05,0.0
U,0,0,0,level,True,True,True,True,2.3823137030681146e-05,-5.326029064900775e-05,-3.043445179945481e-05,0.0
U,0,0,0,raw,True,True,True,True,0.0,0.0,0.0,0.0
U,0,0,1,direct,True,True,True,True,-0.0011272805124538168,-0.010669591628023164,0.0005171104322093875,0.0
U,0,0,1,gap,True,True,True,True,0.0,0.0002461914704573187,-2.0816681711721685e-17,0.0
U,0,0,1,level,True,True,True,True,-6.808278867103182e-05,-0.00047135582243243435,-2.0816681711721685e-17,0.0
U,0,0,1,raw,True,True,True,True,0.0,0.0,0.0,0.0
U,0,0,pooled,direct,True,True,True,True,-4.2669397508098006e-05,-0.0020885180560073872,-0.00024200293771965697,0.0
U,0,0,pooled,gap,True,True,True,True,3.5557831256749495e-05,-8.563095537246143e-05,-4.0883074407194187e-05,0.0
U,0,0,pooled,level,True,True,True,True,2.133469875407329e-05,8.471518799085462e-05,-2.7255382938129458e-05,0.0
U,0,0,pooled,raw,True,True,True,True,0.0,0.0,0.0,0.0
U,0,1,0,direct,True,True,True,True,0.00018194388555155608,-0.0021390128850527525,0.00022728572954927584,0.0
U,0,1,0,gap,True,True,True,True,0.0,0.0003522375290813083,2.282583884957029e-05,0.0
U,0,1,0,level,True,True,True,True,-2.3823137030681146e-05,0.00010205621049401772,2.2825838849591107e-05,0.0
U,0,1,0,raw,True,True,True,True,0.0,0.0,0.0,0.0
U,0,1,1,direct,True,True,True,True,-0.0005502764957281692,-0.007706884801977124,-6.38814360546594e-05,0.0
U,0,1,1,gap,True,True,True,True,0.0,0.00032615786040444267,3.865389437986838e-05,0.0
U,0,1,1,level,True,True,True,True,6.808278867102488e-05,0.000456621004566192,0.0,0.0
U,0,1,1,raw,True,True,True,True,0.0,0.0,0.0,0.0
U,0,1,pooled,direct,True,True,True,True,-5.375996988447526e-05,-0.0028404501400112834,0.00017806475415110823,0.0
U,0,1,pooled,gap,True,True,True,True,-4.978096375944305e-05,0.00028618152085040094,1.3627691469064729e-05,0.0
U,0,1,pooled,level,True,True,True,True,-7.111566251365858e-06,0.0002861815208503992,2.0441537203597093e-05,0.0
U,0,1,pooled,raw,True,True,True,True,0.0,0.0,0.0,0.0
U,1,0,0,direct,True,True,True,True,-1.2576289911025995e-05,-0.0022326377788681375,9.317810311539054e-05,0.0
