family,kappa,index,group,contrast,conditional_brier,conditional_mark_nll,conditional_curve_l1,generated_curve_l1
U,0,0,0,level_minus_raw,-1.8365295898298273e-05,-4.4703984825922305e-05,-0.0016182748508788997,-0.0032261457107758996
U,0,0,0,gap_minus_raw,-1.703282689680119e-05,-4.178894706674541e-05,-0.0015481344772683998,-0.0032251461905321004
U,0,0,0,direct_minus_raw,0.0560839155132343,0.12823822665719176,0.0006361292684820006,-0.0059208593904454656
U,0,0,0,direct_minus_gap,0.0561009483401311,0.1282800156042585,0.0021842637457504003,-0.002695713199913365
U,0,0,1,level_minus_raw,-2.6960257182989666e-05,-2.373692087154211e-05,0.00014044512881669982,-0.0018834993643349965
U,0,0,1,gap_minus_raw,-2.912193463358581e-05,-2.979380919088115e-05,-0.00021746483998630025,-0.0019264215758281328
U,0,0,1,direct_minus_raw,0.05427737433334262,0.12320923878760315,0.0030670993980102,-0.003999996815447531
U,0,0,1,direct_minus_gap,0.054306496267976206,0.12323903259679403,0.0032845642379965003,-0.0020735752396193984
U,0,0,pooled,level_minus_raw,-1.918511019488589e-05,-4.2899049950584356e-05,-0.0018223476119634996,-0.0030633098121870643
U,0,0,pooled,gap_minus_raw,-1.8185923813501814e-05,-4.083978256774756e-05,-0.0017888647099136997,-0.003062397590559632
U,0,0,pooled,direct_minus_raw,0.0559116019637588,0.12775835109179745,0.00046921662591539997,-0.0050175088699951
U,0,0,pooled,direct_minus_gap,0.0559297878875723,0.1277991908743652,0.0022580813358290997,-0.0019551112794354676
U,0,1,0,level_minus_raw,5.561327442005215e-06,1.3724400496517575e-05,0.0007952623902607999,0.001630118815119333
U,0,1,0,gap_minus_raw,8.201696308107742e-06,2.5579226997862747e-05,0.0012377723894290002,0.0017481325899847324
U,0,1,0,direct_minus_raw,0.05563237471125351,0.12693950893072392,0.0035723777052941003,-0.0005636987723963999
U,0,1,0,direct_minus_gap,0.055624173014945405,0.12691392970372606,0.0023346053158651,-0.0023118313623811323
U,0,1,1,level_minus_raw,-2.36100934339345e-06,-7.069757859134995e-07,5.9264992103999926e-05,-5.1341624066798125e-05
U,0,1,1,gap_minus_raw,-8.11171212999895e-06,-1.5095107595453072e-05,-0.0005579294430857,0.0002875531808991007
U,0,1,1,direct_minus_raw,0.05379746672401811,0.12237412581980367,0.0030048072079731,-0.0034853145609371992
U,0,1,1,direct_minus_gap,0.05380557843614811,0.12238922092739912,0.0035627366510588,-0.0037728677418363
U,0,1,pooled,level_minus_raw,4.80567017441258e-06,1.226650112240435e-05,0.0007738127189838003,0.0011479396410608335
U,0,1,pooled,gap_minus_raw,6.64567237490532e-06,2.161819215951155e-05,0.0010671608229028,0.0012473933616395667
U,0,1,pooled,direct_minus_raw,0.05545735544694841,0.12650396701731692,0.0035003972688155,-0.0006435112670034673
U,0,1,pooled,direct_minus_gap,0.0554507097745735,0.1264823488251574,0.0024332364459126996,-0.001890904628643034
U,1,0,0,level_minus_raw,-4.106563234407279e-06,-1.4603751184338876e-05,-0.0008754372203134003,6.293351444750048e-05
U,1,0,0,gap_minus_raw,-3.580806675812509e-06,-1.2125344230895507e-05,-0.0008858740963688001,2.1974344213100856e-05
U,1,0,0,direct_minus_raw,0.057311127941785694,0.13043593917594531,0.0004930191418682996,-0.0026029533027188984
U,1,0,0,direct_minus_gap,0.05731470874846151,0.1304480645201762,0.0013788932382370997,-0.0026249276469319993
U,1,0,1,level_minus_raw,-5.999773615289472e-06,-1.6538581125491447e-05,-0.00040127665204569944,0.001375366281632831
U,1,0,1,gap_minus_raw,-4.0228562644073484e-05,-7.772059405297682e-05,-0.0013961056444672998,-0.0027175403627338023
U,1,0,1,direct_minus_raw,0.04482766087341811,0.10056240240297099,-0.00014486764509209944,-0.022674071327433234
U,1,0,1,direct_minus_gap,0.04486788943606218,0.10064012299702396,0.0012512379993752003,-0.01995653096469943
U,1,0,pooled,level_minus_raw,-4.287143563291851e-06,-1.48271693478641e-05,-0.0002605564405623998,8.264006822949858e-05
