family,kappa,index,variant,group,repeat_curve_mean,repeat_curve_tape_min,repeat_curve_tape_max,null_shape_mean,null_shape_tape_min,null_shape_tape_max,mark_tv_mean,passes_relation,passes_null_shape,passes_distribution_cost,passes_generation_screen,delta_gap_ks,delta_mark_sparse_tv,delta_amount_ks,delta_length_scaled_w1
U,0,0,direct,0,0.0070403820048707015,0.0048624070930749,0.0082476941931696,0.0052065647971563005,0.0039904485652674,0.0070002550426311,0.008826664897830567,True,True,True,True,0.0002178629537451,-0.0031330763245423,-0.0004683105037455,0.0
U,0,0,direct,1,0.014764155013396334,0.0107518183345686,0.0173045718006947,0.010409746664998967,0.004178003958479,0.0168171752541626,0.029666313881123466,True,True,True,True,-0.0011272805124538,-0.0106695916280231,0.0005171104322093,0.0
U,0,0,direct,pooled,0.007109305750936333,0.004942583827582,0.0085105312567226,0.004490302761252534,0.0032332825610378,0.006362984323453,0.008699530138136567,True,True,True,True,-4.2669397508098006e-05,-0.0020885180560073,-0.0002420029377196,0.0
U,0,0,gap,0,0.009736095204784067,0.0028364659838691,0.0172707404293044,0.004391253791449533,0.0019817715638759,0.0059386243996971,0.012013001513022,True,True,True,True,3.176418270759915e-05,5.326029064902163e-05,-3.804306474930464e-05,0.0
U,0,0,gap,1,0.016837730253015732,0.0106209639674349,0.023282207155016,0.013585536334111767,0.0109631590737392,0.0184829512917529,0.04058209697960393,True,True,True,True,0.0,0.0002461914704573,-2.0816681711721685e-17,0.0
U,0,0,gap,pooled,0.0090644170303718,0.0024729371312156,0.0151447894320857,0.004002524095607367,0.0025340061764226,0.0052298424909903,0.0107024172387715,True,True,True,True,3.5557831256749495e-05,-8.563095537246143e-05,-4.0883074407194187e-05,0.0
U,0,0,level,0,0.009735095684540267,0.0031391355691915,0.0169952599578023,0.0043613806040511,0.0022759048931719,0.0058943117940035,0.011906480931723933,True,True,True,True,2.3823137030681143e-05,-5.326029064900775e-05,-3.043445179945481e-05,0.0
U,0,0,level,1,0.01688065246450887,0.0115992072958537,0.0229147037739369,0.013834541502758667,0.0113211702484742,0.0178569628614725,0.03986454968671423,True,True,True,True,-6.808278867103182e-05,-0.0004713558224324,-2.0816681711721685e-17,0.0
U,0,0,level,pooled,0.009063504808744368,0.0027535509767466,0.0148395690425294,0.004073500667729767,0.0027931723902436,0.0051665939053439,0.010872763382134833,True,True,True,True,2.133469875407329e-05,8.471518799085462e-05,-2.7255382938129458e-05,0.0
U,0,0,raw,0,0.012961241395316167,0.0053910152536256,0.0215817080991038,0.004210998158856767,0.0019790718151624,0.0057762682443727,0.011959741222372934,True,True,True,True,0.0,0.0,0.0,0.0
U,0,0,raw,1,0.018764151828843865,0.0108863511198295,0.0250438142393808,0.0137835743651266,0.0114927272033029,0.0172823340110749,0.04033590550914667,True,True,True,True,0.0,0.0,0.0,0.0
U,0,0,raw,pooled,0.012126814620931433,0.0038387626022983,0.019238473986396,0.003939148092508767,0.002138294491517,0.0050895034393718,0.010788048194143933,True,True,True,True,0.0,0.0,0.0,0.0
U,0,1,direct,0,0.0079312811107052,0.0059650207382888,0.0089831413895196,0.0055548240576489,0.0044582709687649,0.0077454981846071,0.008749180382114833,True,True,True,True,0.0001819438855515,-0.0021390128850527,0.0002272857295492,0.0
U,0,1,direct,1,0.013766164209506833,0.009516025552831,0.017167671652333,0.010469531915774067,0.0049975994393919,0.0171526601153664,0.029507897920715467,True,True,True,True,-0.0005502764957281,-0.0077068848019771,-6.38814360546594e-05,0.0
U,0,1,direct,pooled,0.0079714918398218,0.0059653494713044,0.0090468478048269,0.0051279522611443334,0.0039539541937783,0.0070796541402588,0.0099039997362895,True,True,True,True,-5.375996988447526e-05,-0.0028404501400112,0.0001780647541511,0.0
U,0,1,gap,0,0.010243112473086333,0.0071895954564481,0.0138349048168663,0.005879041925030168,0.0051610242379653,0.006672788612473,0.011240430796248932,True,True,True,True,0.0,0.0003522375290813,2.282583884957029e-05,0.0
U,0,1,gap,1,0.017539031951343133,0.0102446401729545,0.029267054787662,0.012076601991851966,0.0100464710934465,0.014611608462427,0.037540940583097,True,True,True,True,0.0,0.0003261578604044,3.865389437986838e-05,0.0
U,0,1,gap,pooled,0.009862396468464834,0.0070316179081074,0.0124518086705348,0.005471730859624833,0.0041262864465628,0.0062095237742215,0.013030631397151202,True,True,True,True,-4.978096375944305e-05,0.0002861815208504,1.3627691469064729e-05,0.0
U,0,1,level,0,0.010125098698220933,0.0068745495329494,0.0140235697082106,0.005938762808411766,0.0052668695636277,0.0064184414049161,0.010990249477661633,True,True,True,True,-2.3823137030681143e-05,0.000102056210494,2.2825838849591107e-05,0.0
U,0,1,level,1,0.017200137146377234,0.0114132564589126,0.0272660282349786,0.0118431404980611,0.0109795879438702,0.0129645006215748,0.037671403727258766,True,True,True,True,6.808278867102488e-05,0.0004566210045661,0.0,0.0
