arm,generation_seed,gap_tv,mark_tv,root_tv,root_amount_joint_tv,merchant_amount_joint_tv,gap_root_transition_joint_tv,unambiguous_gap_root_transition_tv,amount_ks,length_ks,generated_events,generated_entities,generated_max_length,unknown_mark_rate,unknown_root_rate,invalid_amount_rate,invalid_gap_rate,noninteger_gap_rate,generated_unambiguous_fraction,merchant_category_joint_tv
A,20261021,0.07917361586301319,0.07368723553513329,0.03789278179235447,0.2768416412531013,0.3293319470360213,0.19796960957856746,0.19594167002616392,0.0125568650110639,0.20780187074829937,122240,128,3123,0.0,0.0,0.0,0.0,0.0,0.9861684355345912,0.887598167539267
A,20261022,0.07997100374766522,0.07253371808645695,0.03648121153828109,0.27603241084169283,0.3296571197544262,0.19567669935777465,0.19377635683273942,0.013358668651587191,0.15274234693877553,136550,128,3123,0.0,0.0,0.0,0.0,0.0,0.9859919954259577,0.8875869644818747
G,20261021,0.09455371905454908,0.06185104202858084,0.028140547026786734,0.2560577628573143,0.32285007167393764,0.20028490852596428,0.19966129063982976,0.01657598089977408,0.1160714285714286,145755,128,3123,0.0,0.0,0.0,0.0,0.0,0.9938266942256587,0.8495283180679909
G,20261022,0.09616734794244274,0.06279188106151216,0.02907583628213181,0.25503016912693544,0.3256407775351041,0.2022928344850335,0.2015260706659837,0.017260464929045316,0.08444940476190477,150137,128,3123,0.0,0.0,0.0,0.0,0.0,0.9937603743775374,0.8509694479042476
R,20261021,0.07999334892713231,0.07206767845401577,0.029247673330160873,0.27323729993504886,0.3275854834139745,0.19601661545139692,0.19325842069104335,0.015662957700469105,0.20780187074829937,122735,128,3123,0.0,0.0,0.0,0.0,0.0,0.9841036808665085,0.8867315761600195
R,20261022,0.07951653159507989,0.07122149609295991,0.027795748337988174,0.2726927602594119,0.32922930069584055,0.19338310826993788,0.19103195025039865,0.017148199686495946,0.15274234693877553,136550,128,3123,0.0,0.0,0.0,0.0,0.0,0.9841447860315785,0.8865836689857194
