dataset,variant,comparison,candidate,reference,passed,action_improvement,amount_improvement,failed_checks,gap_tv_cost,mark_tv_cost,root_tv_cost,amount_ks_cost,mark_nll_cost,repeat_brier_cost,amount_log_mae_cost
berka,raw,amount_only,U_amount,U,False,0.09124491990475936,0.09493888566077319,amount_ks,-0.08164558389446636,-0.05340112845983053,-0.05340112845983053,0.025716688238865637,-0.007792835053040126,-0.0012765131067719662,-0.4666865616436037
berka,raw,action_with_legacy_amount,U_action,U,False,0.015772367844346213,-0.016198454189566835,"mark_tv,root_tv,amount_ks,action_relation,amount_relation",-0.01612620681565788,0.01109104211639031,0.01109104211639031,0.021559872049449202,-0.03740867104074458,0.00011798466024801751,0.022389321422737973
berka,raw,action_with_new_amount,U_both,U_amount,False,-0.017941884875500136,-0.05093369166613865,"mark_tv,root_tv,action_relation,amount_relation",-0.0009978161609121017,0.033394320265239946,0.033394320265239946,0.0003118657109255074,-0.05569082652305685,-0.001996758552377187,-0.015193610917224376
berka,raw,amount_with_full_action,U_both,U_action,True,0.05753066718491301,0.060203648184201375,,-0.06651719323972058,-0.03109785031098089,-0.03109785031098089,0.004468681900341942,-0.026074990535352394,-0.0033912563193971706,-0.5042694939835661
berka,raw,combined_vs_original,U_both,U,False,0.07330303502925922,0.04400519399463454,amount_ks,-0.08264340005537846,-0.02000680819459058,-0.02000680819459058,0.026028553949791144,-0.06348366157609697,-0.003273271659149153,-0.4818801725608281
berka,raw,repeat_structure_vs_direct,U_both,D_both,False,-0.038600719512999926,-0.10967276496558812,"mark_tv,root_tv,amount_ks,mark_nll,repeat_brier,action_relation,amount_relation",0.005935485174224486,0.04214891378349941,0.04214891378349941,0.06440369907539423,0.06555057806690467,0.005001507972955031,-0.0414113577408301
berka,raw,external_candidate,U_both,original + D_both + Transition,False,-0.07659824662784169,-0.2160070890605732,"combined,direct_comparison,transition_level",,,,,,,
berka,raw,amount_only,G_amount,G,True,0.03843418585338737,0.07707896798513653,,-0.01910887008540249,0.0052608776381753986,0.0052608776381753986,0.004164784536566324,-0.024955582755872008,-0.0031863518929008544,-0.4803494798360609
berka,raw,action_with_legacy_amount,G_action,G,False,-0.010493362316082777,-0.037559437208838975,"mark_tv,root_tv,amount_ks,action_relation,amount_relation",-0.021671669436712587,0.04523909606427691,0.04523909606427691,0.03096748345256889,-0.05573480990195823,-0.0016462973090485208,-0.00400925981225686
berka,raw,action_with_new_amount,G_both,G_amount,False,0.04532199567456888,-0.014679923764705283,amount_relation,-0.019822282980177727,-0.009206535866806961,-0.009206535866806961,0.0010588748002826054,-0.04770269912976294,-0.00014157347121887542,-0.004762336082079932
berka,raw,amount_with_full_action,G_both,G_action,True,0.09424954384403902,0.09995848142927022,,-0.01725948362886763,-0.04918475429290847,-0.04918475429290847,-0.02574382411571996,-0.01692347198367672,-0.001681628055071209,-0.481102556105884
berka,raw,combined_vs_original,G_both,G,True,0.08375618152795625,0.06239904422043124,,-0.03893115306558022,-0.003945658228631563,-0.003945658228631563,0.005223659336848929,-0.07265828188563495,-0.00332792536411973,-0.48511181591814084
berka,raw,repeat_structure_vs_direct,G_both,D_both,False,0.012661075689166662,-0.07379948181302234,"amount_ks,mark_nll,repeat_brier,action_relation,amount_relation",0.0034164514829812948,0.006003589775329575,0.006003589775329575,0.0211971366780504,0.06386822778476753,0.004373195258136155,-0.02443406857347169
berka,raw,external_candidate,G_both,original + D_both + Transition,False,-0.025336451425675102,-0.18013380590800743,"direct_comparison,transition_level",,,,,,,
berka,gap,amount_only,U_amount,U,False,0.0906130001013272,0.10871948627148101,amount_ks,-0.0753384938553189,-0.070031028428962,-0.070031028428962,0.01252237619973301,-0.008296276374189893,-0.0013768291796269622,-0.4666865616436037
berka,gap,action_with_legacy_amount,U_action,U,False,0.01475431925400722,-0.013503810858883913,"amount_ks,action_relation,amount_relation",-0.020289507629676407,0.007145383887758705,0.007145383887758705,0.020851207244851067,-0.03754894121024033,0.00010413752616924427,0.022389321422737973
berka,gap,action_with_new_amount,U_both,U_amount,False,-0.01552005951171534,-0.06367751425123555,"mark_tv,root_tv,amount_ks,action_relation,amount_relation",-0.008998188993820821,0.044067049967613965,0.044067049967613965,0.013388304763771064,-0.0551203036339894,-0.0018576247619239705,-0.015193610917224376
berka,gap,amount_with_full_action,U_both,U_action,True,0.060338621335604636,0.05854578287912937,,-0.06404717521946332,-0.03310936234910675,-0.03310936234910675,0.005059473718653007,-0.025867638797938963,-0.003338591467720177,-0.5042694939835661
berka,gap,combined_vs_original,U_both,U,False,0.07509294058961186,0.04504197202024546,amount_ks,-0.08433668284913973,-0.025963978461348042,-0.025963978461348042,0.025910680963504074,-0.06341658000817929,-0.0032344539415509327,-0.4818801725608281
berka,gap,repeat_structure_vs_direct,U_both,D_both,False,-0.036084348471543765,-0.11062666784296288,"mark_tv,root_tv,amount_ks,mark_nll,repeat_brier,action_relation,amount_relation",0.00144595556507765,0.0469610695054775,0.0469610695054775,0.06636879160494802,0.06556486635363404,0.004984802930832227,-0.0414113577408301
berka,gap,external_candidate,U_both,original + D_both + Transition,False,-0.07526205350164665,-0.2187398874581944,"combined,direct_comparison,transition_level",,,,,,,
berka,gap,amount_only,G_amount,G,True,0.04098017808367707,0.07262367167534256,,-0.020538062902155096,0.002723277836231955,0.002723277836231955,0.0031572894408517793,-0.024893665622819028,-0.003164077660764472,-0.4803494798360609
berka,gap,action_with_legacy_amount,G_action,G,False,-0.004227636538876534,-0.0405217913690612,"mark_tv,root_tv,amount_ks,action_relation,amount_relation",-0.022277522913379436,0.04486773999569982,0.04486773999569982,0.031435484780377054,-0.05585850354342953,-0.001691789528844058,-0.00400925981225686
berka,gap,action_with_new_amount,G_both,G_amount,True,0.048195151097322184,-0.008883828504717639,,-0.01954265829863916,-0.011326360091601165,-0.011326360091601165,0.0009557544247850158,-0.04773006533208762,-0.00016079904040077614,-0.004762336082079932
berka,gap,amount_with_full_action,G_both,G_action,True,0.09340296571987579,0.10426163453968612,,-0.01780319828741482,-0.05347082225106903,-0.05347082225106903,-0.02732244091474026,-0.016765227411477124,-0.0016330871723211904,-0.481102556105884
berka,gap,combined_vs_original,G_both,G,True,0.08917532918099925,0.06373984317062492,,-0.040080721200794256,-0.00860308225536921,-0.00860308225536921,0.004113043865636795,-0.07262373095490665,-0.0033248767011652483,-0.48511181591814084
berka,gap,repeat_structure_vs_direct,G_both,D_both,False,0.014883817136609398,-0.07019314030620716,"mark_tv,root_tv,amount_ks,mark_nll,repeat_brier,amount_relation",0.0035096597101608173,0.010227765055393953,0.010227765055393953,0.021924375645680533,0.0639332373955622,0.004380271722825339,-0.02443406857347169
berka,gap,external_candidate,G_both,original + D_both + Transition,False,-0.024293887893493488,-0.17830635992143867,"direct_comparison,transition_level",,,,,,,
sparkov,raw,amount_only,U_amount,U,True,0.0077326935702831945,0.10092651723905678,,-0.020492206747357116,-0.0038573773055379026,-0.0053354834444394005,-0.04028666973609288,0.0009155125990538693,1.0933496617272775e-07,-0.11755369596447252
sparkov,raw,action_with_legacy_amount,U_action,U,False,0.013713543595224253,-0.0069702422334675385,action_relation,-0.025285325205582927,0.0044981880377136865,0.001746947579324934,-0.008804143424725352,0.00714353655495259,3.124017120227293e-07,0.001533494458899165
sparkov,raw,action_with_new_amount,U_both,U_amount,False,-0.005409991169291917,0.003844826961708986,"gap_tv,action_relation",0.019390581608732835,0.0007135340494814277,0.00041653952196855915,-0.005624895664762181,0.00739414290075846,2.861594153415539e-07,0.0004584310576158934
