dataset,model,reused,fit_seed,parameters,selected_epoch,last_epoch,fit_seconds,updates,stop_reason,source_commit
berka,U,True,20260925,125461,27,30,464.40702457900625,34440,epoch_budget,676fe6a93ed8b6259df7b9164c033efb64788d73
berka,G,True,20260925,125461,18,23,359.5985658870195,26404,check_patience,ebad17d0d4cf312332acc1d4f4f2e927e444702b
berka,U_amount,False,20260925,127005,29,30,525.8883936739876,34440,epoch_budget,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
berka,G_amount,False,20260925,127005,30,30,526.3147489819676,34440,epoch_budget,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
berka,U_action,False,20260925,125749,16,21,346.74173164198874,24108,check_patience,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
berka,G_action,False,20260925,125749,21,26,421.68903892999515,29848,check_patience,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
berka,U_both,False,20260925,127293,28,30,544.7873765020049,34440,epoch_budget,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
berka,G_both,False,20260925,127293,29,30,553.6412421709974,34440,epoch_budget,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
berka,D_both,False,20260925,127378,24,29,426.88152315595653,33292,check_patience,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
sparkov,U,True,20260925,265438,5,10,192.00410984095652,13980,check_patience,676fe6a93ed8b6259df7b9164c033efb64788d73
sparkov,G,True,20260925,265438,5,10,189.4072898249724,13980,check_patience,ebad17d0d4cf312332acc1d4f4f2e927e444702b
sparkov,U_amount,False,20260925,266982,7,12,249.39980019902578,16776,check_patience,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
sparkov,G_amount,False,20260925,266982,7,12,244.78909087000648,16776,check_patience,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
sparkov,U_action,False,20260925,287710,5,10,197.2246061610058,13980,check_patience,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
sparkov,G_action,False,20260925,287710,4,9,177.49331245804206,12582,check_patience,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
sparkov,U_both,False,20260925,289254,7,12,262.27435884298757,16776,check_patience,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
sparkov,G_both,False,20260925,289254,6,11,235.12705008202465,15378,check_patience,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
sparkov,D_both,False,20260925,288877,11,16,281.6771489729872,22368,check_patience,e1d44f2a6028972e30f1e3f9f7ce0c6dd0b5dd3d
