dataset,model,variant,gap_tv,mark_tv,root_tv,root_amount_joint_tv,merchant_amount_joint_tv,gap_root_transition_joint_tv,unambiguous_gap_root_transition_tv,amount_ks,length_ks,generated_events,generated_entities,generated_max_length,unknown_mark_rate,unknown_root_rate,invalid_amount_rate,invalid_gap_rate,noninteger_gap_rate,generated_unambiguous_fraction,daily_gap_mark_joint_tv,daily_gap_count_joint_tv
berka,ARGN,raw,0.06559726708008644,0.02340611077771386,0.02340611077771386,0.2184702780483291,0.2184702780483291,0.12449981404302578,0.1540374409569117,0.13868440697263545,0.0673148148148148,30818.0,128.0,561.5,0.0,0.0,0.0,0.0,0.0,0.33099086583083326,0.08836144306410344,0.07325275847344997
berka,CPAR_tail,raw,0.17457765440395714,0.03625807859351954,0.03625807859351954,0.4708331004733905,0.4708331004733905,0.4581675444853016,0.45760350001055655,0.2499500254929205,0.08006944444444442,32314.0,128.0,675.0,0.0,0.0,0.0,0.0,0.0,0.5270614552911204,0.26523426589073285,0.2345843178857133
berka,D_both,gap,0.06633648357711522,0.05186775434838185,0.05186775434838185,0.16676539659332718,0.16676539659332718,0.1578667231939151,0.16728739482376137,0.07424269570445008,0.08006944444444442,32314.0,128.0,675.0,0.0,0.0,0.0,0.0,0.0,0.37876716584850556,0.13228882114096455,0.11180923370542745
berka,D_both,raw,0.06484515194224291,0.05729883685132176,0.05729883685132176,0.16498650107308074,0.16498650107308074,0.15664773862149461,0.1724571141163169,0.07509372002827258,0.08006944444444442,32314.0,128.0,675.0,0.0,0.0,0.0,0.0,0.0,0.38321009134406264,0.13110864322570343,0.11048114265409216
berka,G,gap,0.10992686448807029,0.07069860165914502,0.07069860165914502,0.30069838007015925,0.30069838007015925,0.29623531610617954,0.2439852415250401,0.09205402748449382,0.08006944444444442,32314.0,128.0,675.0,0.0,0.0,0.023782261558457633,0.0,0.0,0.3923444976076555,0.2065803331853544,0.17892855897978582
berka,G,raw,0.10719275649080443,0.0672480848552829,0.0672480848552829,0.30118502710653433,0.30118502710653433,0.2942597948074467,0.24015024757990272,0.09106719736947405,0.08006944444444442,32314.0,128.0,675.0,0.0,0.0,0.022838398217490872,0.0,0.0,0.39922637171441,0.202203749064493,0.17765550108210942
berka,G_action,gap,0.08764934157469086,0.11556634165484483,0.11556634165484483,0.34122017143922045,0.34122017143922045,0.335594794420794,0.2907259437832928,0.12348951226487087,0.08006944444444442,32314.0,128.0,675.0,0.0,0.0,0.021399393451754657,0.0,0.0,0.40475672652706146,0.21080796972423094,0.16766667400721624
berka,G_action,raw,0.08552108705409184,0.11248718091955981,0.11248718091955981,0.3387444643153733,0.3387444643153733,0.33793976156273176,0.2951629088946477,0.12203468082204294,0.08006944444444442,32314.0,128.0,675.0,0.0,0.0,0.021445812960326792,0.0,0.0,0.4086714720686012,0.2126971113805758,0.16616901592579292
berka,G_amount,gap,0.0893888015859152,0.07342187949537697,0.07342187949537697,0.2280747083948167,0.2280747083948167,0.22640540219446015,0.19650928400116424,0.0952113169253456,0.08006944444444442,32314.0,128.0,675.0,0.0,0.0,0.0,0.0,0.0,0.38367613247996024,0.16560015510167733,0.1178554173081086
berka,G_amount,raw,0.08808388640540193,0.0725089624934583,0.0725089624934583,0.2241060591213978,0.2241060591213978,0.22381554788055913,0.19784332677958325,0.09523198190604037,0.08006944444444442,32314.0,128.0,675.0,0.0,0.0,0.0,0.0,0.0,0.37941962343876223,0.16376956321110564,0.11908044152529215
