dataset,model,generation_seconds_mean,generation_seconds_min,generation_seconds_max,gap_tv_mean,gap_tv_min,gap_tv_max,mark_tv_mean,mark_tv_min,mark_tv_max,root_tv_mean,root_tv_min,root_tv_max,root_amount_joint_tv_mean,root_amount_joint_tv_min,root_amount_joint_tv_max,merchant_amount_joint_tv_mean,merchant_amount_joint_tv_min,merchant_amount_joint_tv_max,gap_root_transition_joint_tv_mean,gap_root_transition_joint_tv_min,gap_root_transition_joint_tv_max,unambiguous_gap_root_transition_tv_mean,unambiguous_gap_root_transition_tv_min,unambiguous_gap_root_transition_tv_max,amount_ks_mean,amount_ks_min,amount_ks_max,length_ks_mean,length_ks_min,length_ks_max,generated_events_mean,generated_events_min,generated_events_max,generated_entities_mean,generated_entities_min,generated_entities_max,generated_max_length_mean,generated_max_length_min,generated_max_length_max,unknown_mark_rate_mean,unknown_mark_rate_min,unknown_mark_rate_max,unknown_root_rate_mean,unknown_root_rate_min,unknown_root_rate_max,invalid_amount_rate_mean,invalid_amount_rate_min,invalid_amount_rate_max,invalid_gap_rate_mean,invalid_gap_rate_min,invalid_gap_rate_max,noninteger_gap_rate_mean,noninteger_gap_rate_min,noninteger_gap_rate_max,generated_unambiguous_fraction_mean,generated_unambiguous_fraction_min,generated_unambiguous_fraction_max,daily_gap_mark_joint_tv_mean,daily_gap_mark_joint_tv_min,daily_gap_mark_joint_tv_max,daily_gap_count_joint_tv_mean,daily_gap_count_joint_tv_min,daily_gap_count_joint_tv_max
berka,ARGN,11.746650661021704,11.316995460016187,12.17630586202722,0.06559726708008644,0.05673186115721142,0.07446267300296146,0.02340611077771386,0.013500571915643205,0.033311649639784516,0.02340611077771386,0.013500571915643205,0.033311649639784516,0.2184702780483291,0.21236740548555022,0.224573150611108,0.2184702780483291,0.21236740548555022,0.224573150611108,0.12449981404302578,0.11453483562374858,0.13446479246230297,0.1540374409569117,0.15296722315434913,0.15510765875947422,0.13868440697263545,0.1379062482910583,0.13946256565421258,0.0673148148148148,0.06649305555555551,0.06813657407407409,30818.0,29958,31678,128.0,128,128,561.5,554,569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33099086583083326,0.315420717398592,0.3465610142630745,0.08836144306410344,0.08581715010129298,0.0909057360269139,0.07325275847344997,0.06290902813741783,0.0835964888094821
berka,CPAR-tail,96.75437893351773,96.47291219502222,97.03584567201324,0.17457765440395714,0.17049202711258826,0.17866328169532603,0.03625807859351954,0.03554631279541346,0.03696984439162562,0.03625807859351954,0.03554631279541346,0.03696984439162562,0.4708331004733905,0.47021417369242874,0.47145202725435226,0.4708331004733905,0.47021417369242874,0.47145202725435226,0.4581675444853016,0.4544655182952128,0.4618695706753905,0.45760350001055655,0.4565067619393556,0.4587002380817575,0.2499500254929205,0.24736600618240495,0.25253404480343605,0.08006944444444442,0.08006944444444442,0.08006944444444442,32314.0,32314,32314,128.0,128,128,675.0,675,675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5270614552911204,0.5215311004784688,0.5325918101037719,0.26523426589073285,0.261953283150879,0.26851524863058673,0.2345843178857133,0.23424127585393012,0.23492735991749647
berka,G,3.4595734199974686,3.4502294120029546,3.4689174279919825,0.10719275649080443,0.10629174362806905,0.10809376935353979,0.0672480848552829,0.06011495370469801,0.07438121600586779,0.0672480848552829,0.06011495370469801,0.07438121600586779,0.30118502710653433,0.3000331301560921,0.30233692405697654,0.30118502710653433,0.3000331301560921,0.30233692405697654,0.2942597948074467,0.2916774162225178,0.2968421733923756,0.24015024757990272,0.23869374957508235,0.24160674558472306,0.09106719736947405,0.09062530407711089,0.09150909066183721,0.08006944444444442,0.08006944444444442,0.08006944444444442,32314.0,32314,32314,128.0,128,128,675.0,675,675,0.0,0.0,0.0,0.0,0.0,0.0,0.022838398217490872,0.022343256792721422,0.02333353964226032,0.0,0.0,0.0,0.0,0.0,0.0,0.39922637171441,0.3977195053750078,0.4007332380538122,0.202203749064493,0.1966338290069977,0.2077736691219883,0.17765550108210942,0.17704482257755133,0.17826617958666754
berka,G+gap,3.656196773488773,3.6546349249547347,3.6577586220228113,0.10992686448807029,0.10908799044345463,0.11076573853268597,0.07069860165914502,0.057082212477985145,0.08431499084030487,0.07069860165914502,0.057082212477985145,0.08431499084030487,0.30069838007015925,0.30023579696716945,0.3011609631731491,0.30069838007015925,0.30023579696716945,0.3011609631731491,0.29623531610617954,0.2910196233212816,0.30145100889107745,0.2439852415250401,0.2307143776795065,0.25725610537057364,0.09205402748449382,0.09195599665617882,0.09215205831280882,0.08006944444444442,0.08006944444444442,0.08006944444444442,32314.0,32314,32314,128.0,128,128,675.0,675,675,0.0,0.0,0.0,0.0,0.0,0.0,0.023782261558457633,0.02336448598130841,0.024200037135606856,0.0,0.0,0.0,0.0,0.0,0.0,0.3923444976076555,0.3878083638849189,0.3968806313303921,0.2065803331853544,0.19967872569800285,0.21348194067270598,0.17892855897978582,0.17843988363473615,0.17941723432483547
berka,Marginal,2.254082622472197,2.2459129369817674,2.262252307962626,0.018542297385572778,0.016202656648575786,0.02088193812256977,0.019975885900338178,0.01830478359174128,0.021646988208935077,0.019975885900338178,0.01830478359174128,0.021646988208935077,0.02928498960305194,0.02840168891948258,0.030168290286621293,0.02928498960305194,0.02840168891948258,0.030168290286621293,0.39494424336407624,0.3940225251485933,0.39586596157955917,0.3651223922061271,0.3635391575710349,0.3667056268412193,0.011084508605619992,0.00989307455226851,0.012275942658971473,0.08006944444444442,0.08006944444444442,0.08006944444444442,32314.0,32314,32314,128.0,128,128,675.0,675,675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46200211271981606,0.4602932952215249,0.4637109302181073,0.14901015204912937,0.14665064849851175,0.15136965559974697,0.10346246655117619,0.10023118352533579,0.1066937495770166
berka,Transition,2.2703319774882402,2.269385316001717,2.2712786389747635,0.018542297385572778,0.016202656648575786,0.02088193812256977,0.05358051392201581,0.05178562625722655,0.05537540158680506,0.05358051392201581,0.05178562625722655,0.05537540158680506,0.058652176978095674,0.056884216638361323,0.060420137317830025,0.058652176978095674,0.056884216638361323,0.060420137317830025,0.21240863717332986,0.21099479005517252,0.21382248429148723,0.2552178618891935,0.254843393354187,0.25559233042419993,0.0199986036195908,0.018993028476276652,0.021004178762904946,0.08006944444444442,0.08006944444444442,0.08006944444444442,32314.0,32314,32314,128.0,128,128,675.0,675,675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46200211271981606,0.4602932952215249,0.4637109302181073,0.09311111611086166,0.09124538076246783,0.0949768514592555,0.10346246655117619,0.10023118352533579,0.1066937495770166
berka,U,3.509617125004297,3.488237466022838,3.5309967839857563,0.15342403717184586,0.15121810912859723,0.15562996521509448,0.11945455882941175,0.11089789608261469,0.1280112215762088,0.11945455882941175,0.11089789608261469,0.1280112215762088,0.3186644600333034,0.3178391542192357,0.31948976584737104,0.3186644600333034,0.3178391542192357,0.31948976584737104,0.32816567352050263,0.3244865689014398,0.33184477813956553,0.24137549301595404,0.23291081716149276,0.24984016887041532,0.11346886515387566,0.11310517829556166,0.11383255201218967,0.08006944444444442,0.08006944444444442,0.08006944444444442,32314.0,32314,32314,128.0,128,128,675.0,675,675,0.0,0.0,0.0,0.0,0.0,0.0,0.02265272018320233,0.021476759299374884,0.02382868106702977,0.0,0.0,0.0,0.0,0.0,0.0,0.3727552351954266,0.3708133971291866,0.37469707326166657,0.24301239776796257,0.24159779614325072,0.24442699939267443,0.20466831720090428,0.20458001627980602,0.20475661812200255
berka,U+gap,3.691118330520112,3.6800994540099055,3.7021372070303187,0.1521191219913326,0.15174628908261453,0.15249195490005066,0.1247928023152074,0.12287412929422577,0.126711475336189,0.1247928023152074,0.12287412929422577,0.126711475336189,0.3224340364565355,0.3203253170016695,0.3245427559114015,0.3224340364565355,0.3203253170016695,0.3245427559114015,0.3320243080488974,0.3305177692538111,0.3335308468439836,0.2501093025965794,0.24817646503567165,0.25204214015748716,0.11470080634589402,0.11420742176148235,0.1151941909303057,0.08006944444444442,0.08006944444444442,0.08006944444444442,32314.0,32314,32314,128.0,128,128,675.0,675,675,0.0,0.0,0.0,0.0,0.0,0.0,0.023565637185121002,0.0217552763508077,0.0253759980194343,0.0,0.0,0.0,0.0,0.0,0.0,0.36863853849499784,0.36372957186354316,0.3735475051264525,0.24346611020212017,0.2432527738539804,0.24367944655025994,0.2038004038595157,0.2031767606898692,0.2044240470291622
sparkov,ARGN,71.34570512850769,68.2711176109733,74.42029264604207,0.07658117237161229,0.07601806330376973,0.07714428143945484,0.059964047418071924,0.058693004275032545,0.0612350905611113,0.04068280401588452,0.03911054997440331,0.04225505805736573,0.22435465392349463,0.2240096320417972,0.22469967580519207,0.31857791925616497,0.3179037323453367,0.3192521061669932,0.19622653071009052,0.19486482422966514,0.1975882371905159,0.19543248056333076,0.1940135028778115,0.19685145824885003,0.02023469033928077,0.019533440576397942,0.020935940102163597,0.20389562074829937,0.16873937074829937,0.23905187074829937,120910.5,115787,126034,128.0,128,128,3123.0,3123,3123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927267789214784,0.992633517495396,0.9928200403475609,,,,,,
sparkov,CPAR-tail,1387.5133068245195,1380.3642165710335,1394.6623970780056,0.4082486842321341,0.4079333339507446,0.4085640345135236,0.05866632994537869,0.05780478084796328,0.059527879042794093,0.04592638305610816,0.045411306461188634,0.04644145965102769,0.49443864010404864,0.49425894315826807,0.4946183370498292,0.5050007693208829,0.5048436127008366,0.5051579259409292,0.4283063410400802,0.4282857812124149,0.4283269008677455,0.37170045008392555,0.3713211035853513,0.3720797965824998,0.30084562971458817,0.30024571697462304,0.30144554245455324,0.09566326530612246,0.09566326530612246,0.09566326530612246,165024.0,165024,165024,128.0,128,128,3112.0,3112,3112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47142138074907824,0.4710544828255385,0.4717882786726179,,,,,,
