dataset,model,generation_seed,root_amount_joint_tv,invalid_amount_rate,tv_lower_bound_after_changing_only_invalid_amount_records
berka,U,20261021,0.31948976584737104,0.021476759299374884,0.2980130065479962
berka,U,20261022,0.3178391542192357,0.02382868106702977,0.2940104731522059
berka,U+gap,20261021,0.3203253170016695,0.0217552763508077,0.2985700406508618
berka,U+gap,20261022,0.3245427559114015,0.0253759980194343,0.2991667578919672
berka,G,20261021,0.3000331301560921,0.022343256792721422,0.2776898733633707
berka,G,20261022,0.30233692405697654,0.02333353964226032,0.2790033844147162
berka,G+gap,20261021,0.30023579696716945,0.024200037135606856,0.2760357598315626
berka,G+gap,20261022,0.3011609631731491,0.02336448598130841,0.2777964771918407
sparkov,U,20261021,0.18768667956842736,0.01307688578630987,0.1746097937821175
sparkov,U,20261022,0.18970634170263007,0.013052646887725422,0.17665369481490464
sparkov,U+gap,20261021,0.18772303791630401,0.01307688578630987,0.17464615212999415
sparkov,U+gap,20261022,0.18973664032586066,0.013052646887725422,0.17668399343813523
sparkov,G,20261021,0.18359241677427637,0.012876914872988171,0.1707155019012882
sparkov,G,20261022,0.18508792156100085,0.012810257901880938,0.1722776636591199
sparkov,G+gap,20261021,0.18361665567286084,0.012876914872988171,0.17073974079987267
sparkov,G+gap,20261022,0.18510004101029304,0.012810257901880938,0.1722897831084121
