dataset,model,fit_seed,fit_seconds,total_seconds,peak_reserved_mib,source_commit,selected_epoch,last_epoch,optimizer_updates,parameters,stop_reason
berka,U,20260925,464.40702457900625,489.2158793240087,454.0,676fe6a93ed8b6259df7b9164c033efb64788d73,27,30,34440,125461,epoch_budget
berka,G,20260925,359.5985658870195,384.10941220400855,454.0,ebad17d0d4cf312332acc1d4f4f2e927e444702b,18,23,26404,125461,check_patience
berka,ARGN,20260925,66.25072871398879,116.28649915196002,278.0,676fe6a93ed8b6259df7b9164c033efb64788d73,32,37,1443,2345953,native_check_early_stop
berka,CPAR_tail,20260925,54.06893665500684,249.8921064620372,2094.0,ebad17d0d4cf312332acc1d4f4f2e927e444702b,64,64,64,13172,registered_final_epoch
sparkov,U,20260925,192.00410984095652,267.50099449098343,454.0,676fe6a93ed8b6259df7b9164c033efb64788d73,5,10,13980,265438,check_patience
sparkov,G,20260925,189.4072898249724,265.1072448429768,454.0,ebad17d0d4cf312332acc1d4f4f2e927e444702b,5,10,13980,265438,check_patience
sparkov,ARGN,20260925,19.595632215961814,193.91860304999864,392.0,676fe6a93ed8b6259df7b9164c033efb64788d73,24,29,232,3599240,native_check_early_stop
sparkov,CPAR_tail,20260925,127.19269136304501,2906.291167721036,21168.0,ebad17d0d4cf312332acc1d4f4f2e927e444702b,64,64,64,54894,registered_final_epoch
