dataset,model,generation_seed,generation_seconds,gap_tv,mark_tv,root_tv,root_amount_joint_tv,merchant_amount_joint_tv,gap_root_transition_joint_tv,unambiguous_gap_root_transition_tv,amount_ks,length_ks,generated_events,generated_entities,generated_max_length,unknown_mark_rate,unknown_root_rate,invalid_amount_rate,invalid_gap_rate,noninteger_gap_rate,generated_unambiguous_fraction,daily_gap_mark_joint_tv,daily_gap_count_joint_tv
sparkov,U,20261021,15.083906211017165,0.0518111488480607,0.056919648709058246,0.026730263967231015,0.18768667956842736,0.21733667398810308,0.15900458897025682,0.15899112207068195,0.08292877245479435,0.09566326530612246,165024,128,3112,0.0,0.0,0.01307688578630987,0.0,0.0,0.9999454201436057,,
sparkov,U,20261022,15.02004060195759,0.047984372126344065,0.057144249958539076,0.02936999597003271,0.18970634170263007,0.2169567430371956,0.15823737667301846,0.15823293699125848,0.08398316454321786,0.09566326530612246,165024,128,3112,0.0,0.0,0.013052646887725422,0.0,0.0,0.9999090335726761,,
sparkov,U+gap,20261021,15.955172499001492,0.05188998641840809,0.056889350085827683,0.026748443141169344,0.18772303791630401,0.21731863766266563,0.15907628616622607,0.15906280841190784,0.08295301135337879,0.09566326530612246,165024,128,3112,0.0,0.0,0.01307688578630987,0.0,0.0,0.9999454201436057,,
sparkov,U+gap,20261022,15.99860605102731,0.048026823125761876,0.05713213050924684,0.029363936245386607,0.18973664032586066,0.2169628027618417,0.15828589210092453,0.1582814568328412,0.08397710481857174,0.09566326530612246,165024,128,3112,0.0,0.0,0.013052646887725422,0.0,0.0,0.9999090335726761,,
sparkov,G,20261021,15.091761793009937,0.06159913642811118,0.054099635497851496,0.02310631655110798,0.18359241677427637,0.2139751243568782,0.16418796821752546,0.16417524240667833,0.08601986851038701,0.09566326530612246,165024,128,3112,6.059724646112081e-06,0.0,0.012876914872988171,0.0,0.0,0.9999454201436057,,
sparkov,G,20261022,15.095112663984764,0.053484931110820276,0.053711276927962376,0.024874338863230032,0.18508792156100085,0.21415775419073135,0.15942477342599556,0.15941296979460443,0.08649795027135437,0.09566326530612246,165024,128,3112,0.0,0.0,0.012810257901880938,0.0,0.0,0.9998726470017466,,
sparkov,G+gap,20261021,16.04681210196577,0.06158094314264639,0.054105695222497606,0.023124495725046317,0.18361665567286084,0.21399330353081655,0.1641515816465959,0.16413885384966656,0.08602592823503313,0.09566326530612246,165024,128,3112,6.059724646112081e-06,0.0,0.012876914872988171,0.0,0.0,0.9999454201436057,,
sparkov,G+gap,20261022,16.006691199028865,0.053484931110820276,0.05371006904788325,0.02486827913858393,0.18510004101029304,0.2141698736400236,0.1594247734259956,0.15941296979460445,0.08649795027135437,0.09566326530612246,165024,128,3112,0.0,0.0,0.012810257901880938,0.0,0.0,0.9998726470017466,,
sparkov,ARGN,20261021,68.2711176109733,0.07714428143945484,0.0612350905611113,0.03911054997440331,0.2240096320417972,0.3179037323453367,0.1975882371905159,0.19685145824885003,0.019533440576397942,0.23905187074829937,115787,128,3123,0.0,0.0,0.0,0.0,0.0,0.992633517495396,,
sparkov,ARGN,20261022,74.42029264604207,0.07601806330376973,0.058693004275032545,0.04225505805736573,0.22469967580519207,0.3192521061669932,0.19486482422966514,0.1940135028778115,0.020935940102163597,0.16873937074829937,126034,128,3123,0.0,0.0,0.0,0.0,0.0,0.9928200403475609,,
sparkov,CPAR-tail,20261021,1394.6623970780056,0.4079333339507446,0.059527879042794093,0.04644145965102769,0.49425894315826807,0.5048436127008366,0.4282857812124149,0.3713211035853513,0.30024571697462304,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.4717882786726179,,
sparkov,CPAR-tail,20261022,1380.3642165710335,0.4085640345135236,0.05780478084796328,0.045411306461188634,0.4946183370498292,0.5051579259409292,0.4283269008677455,0.3720797965824998,0.30144554245455324,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.4710544828255385,,
sparkov,Marginal,20261021,12.692348941985983,0.013647663613199919,0.0441562068500502,0.020238881586702284,0.04331423014202854,0.11568915156296103,0.16465971139744565,0.16466278907457332,0.01607249963657109,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.9999818067145352,,
sparkov,Marginal,20261022,12.58369339298224,0.014321698600829762,0.04503610234538784,0.021444766791278602,0.04297653832853401,0.11723588125697909,0.16570440623199426,0.16570134062955377,0.015994924321500625,0.09566326530612246,165024,128,3112,0.0,6.059724646112081e-06,0.0,0.0,0.0,0.9999454201436057,,
sparkov,Transition,20261021,12.667883420013823,0.013647663613199919,0.04777997962060373,0.02525277681580413,0.0494934555594784,0.1178336187233947,0.07711824366403787,0.07710051064037508,0.01613429798836119,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.9999818067145352,,
sparkov,Transition,20261022,12.696160221996251,0.014321698600829762,0.047893161490546746,0.027086138359060936,0.04800966700525764,0.11971223689140423,0.07775791589833522,0.07774859030669981,0.015544159919208878,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.9999454201436057,,
