kappa,trial,group,comparator,delta_repeat_brier,delta_mark_nll,passes_conditional_cost,passes_distribution_cost,passes_null,delta_gap_ks,delta_mark_sparse_tv,delta_amount_ks,delta_length_scaled_w1
0,0,0,G/raw,0.0007191895710335905,0.0029668807983398438,True,True,True,0.000263630101892752,-0.00018375074713482438,0.00010759215123915672,0.0
0,0,0,U/gap,0.00074125717737894,0.0030006749522981657,True,True,True,0.0003430405586616718,-0.0007430447598966855,0.00010762331076489412,0.0
0,0,1,G/raw,0.00045277955679245974,0.00208282470703125,True,True,True,-0.0010893246187363773,-0.003136857705080459,-0.00030143870328267625,0.0
0,0,1,U/gap,0.0005381285105489075,0.0025528732713762103,True,True,True,-0.0010212418300653558,-0.0034074683024314725,-8.915064859449373e-05,0.0
0,1,0,G/raw,0.0008861686422051152,0.002981901168823242,True,True,True,5.558731973824213e-05,0.0008122172158687192,5.8123124138553806e-05,0.0
0,1,0,U/gap,0.0008994606115175496,0.0030426721598733053,True,True,True,0.00025411346166061624,0.0006967196161974387,1.0086000244970139e-05,0.0
0,1,1,G/raw,0.0004284548100761676,0.0018706321716308594,True,True,True,0.0006127450980392135,-0.00010713579393119288,0.0005098180308332548,0.0
0,1,1,U/gap,0.00045436906405144084,0.0019616957560142367,True,True,True,0.0014297385620914982,-0.000720722612803211,0.00032295753797193655,0.0
0,2,0,G/raw,0.0008874639336032275,0.0030298233032226562,True,True,True,0.00020731314590582972,-0.0006949620754464775,-0.0005444374788725476,0.0
0,2,0,U/gap,0.0009117911274180157,0.003072221409390785,True,True,True,-0.0001579749552313263,-0.0006159135872838787,-0.000377873003919324,0.0
0,2,1,G/raw,0.00042765307928765983,0.0021467208862304688,True,True,True,0.00040849673202614234,-0.00363940000288359,-0.00045681269054522605,0.0
0,2,1,U/gap,0.00044960212065675575,0.0022594300953757696,True,True,True,0.0010212418300653558,-0.00361648936130312,-0.0006234211430135028,0.0
1,0,0,G/raw,0.0008915737228658016,0.002955913543701172,True,True,True,0.00018044174580840802,0.0004521221563759687,2.5046160057128064e-05,0.0
1,0,0,U/gap,0.0009358887873613109,0.0030475839699213303,True,True,True,0.0004605806492599118,-0.0007771072464788347,-1.0355929886761428e-05,0.0
1,0,1,G/raw,0.004934092866621498,0.014270305633544922,False,True,True,-0.0002723311546841134,0.0025902109637545717,-0.0005169104120573351,0.0
1,0,1,U/gap,0.005022790346143502,0.014719483337946038,False,True,True,-0.0003404139433551348,0.0024305448773963984,-0.00024082426304448262,0.0
1,1,0,G/raw,0.0009130485337186522,0.0028960704803466797,True,True,True,0.000317641827075759,-0.0008794287741848063,-0.00010253339198151856,0.0
1,1,0,U/gap,0.0008962851718470333,0.002809153603121395,True,True,True,5.558731973824213e-05,-0.0009479101856742847,-0.0002958785568430433,0.0
1,1,1,G/raw,0.004508390695135561,0.012958288192749023,False,True,True,0.0004385056246794909,0.002549890234774487,0.000794546717248476,0.0
1,1,1,U/gap,0.004517625016803861,0.013208257313912508,False,True,True,3.000889265333123e-05,0.000633722180843059,0.0003808217011197351,0.0
1,2,0,G/raw,0.0008917052504436307,0.0029976367950439453,True,True,True,0.0011762458595877337,-0.0008689451312418207,0.00014629545968980473,0.0
1,2,0,U/gap,0.0008751690380335575,0.002952843506136116,True,True,True,0.0010554547795722027,-0.0012635864699535697,5.955656482216354e-05,0.0
1,2,1,G/raw,0.00497269670958142,0.01445317268371582,False,True,True,0.0003433004611602848,-0.003987685092606406,-0.00020225371039465229,0.0
1,2,1,U/gap,0.004890644616089124,0.014162826651299198,False,True,True,-0.00011287373870061401,-0.0010745999326098807,-0.00014168927519447871,0.0
