kappa,trial,name,variant,tape,group,bin,reference,generated
0,0,U,raw,20263001,pooled,0,0.310053451973242,0.3086020305701216
0,0,U,raw,20263001,pooled,1,0.3114509155645982,0.3027656477438137
0,0,U,raw,20263001,pooled,2,0.3109352336507536,0.3107112892700662
0,0,U,raw,20263001,pooled,3,0.3132337927514038,0.30707202789582655
0,0,U,raw,20263001,pooled,4,0.31417782572824776,0.30174123870398945
0,0,U,raw,20263001,0,0,0.3104568241191838,0.306196234883431
0,0,U,raw,20263001,0,1,0.3129886595759668,0.3024444998752806
0,0,U,raw,20263001,0,2,0.3101617354245991,0.31481674845985175
0,0,U,raw,20263001,0,3,0.3123306948109059,0.3078235437484767
0,0,U,raw,20263001,0,4,0.31486420099656115,0.3042678440029433
0,0,U,raw,20263001,1,0,0.30737564322469985,0.32908704883227174
0,0,U,raw,20263001,1,1,0.2966818477553676,0.30558598028477546
0,0,U,raw,20263001,1,2,0.31898238747553814,0.27652173913043476
0,0,U,raw,20263001,1,3,0.3202592087312415,0.30072090628218334
0,0,U,raw,20263001,1,4,0.30789648307896483,0.2793478260869565
0,0,U,raw,20263002,pooled,0,0.310053451973242,0.30476606908613907
0,0,U,raw,20263002,pooled,1,0.3114509155645982,0.3090948793536412
0,0,U,raw,20263002,pooled,2,0.3109352336507536,0.31468465045592703
0,0,U,raw,20263002,pooled,3,0.3132337927514038,0.31348414282546017
0,0,U,raw,20263002,pooled,4,0.31417782572824776,0.3074620246147023
0,0,U,raw,20263002,0,0,0.3104568241191838,0.3003190967108493
0,0,U,raw,20263002,0,1,0.3129886595759668,0.3116455078125
0,0,U,raw,20263002,0,2,0.3101617354245991,0.31476766390833866
0,0,U,raw,20263002,0,3,0.3123306948109059,0.31085587254538716
0,0,U,raw,20263002,0,4,0.31486420099656115,0.30901023049426846
0,0,U,raw,20263002,1,0,0.30737564322469985,0.341
0,0,U,raw,20263002,1,1,0.2966818477553676,0.2874870734229576
0,0,U,raw,20263002,1,2,0.31898238747553814,0.3139745916515426
0,0,U,raw,20263002,1,3,0.3202592087312415,0.33659066232356133
0,0,U,raw,20263002,1,4,0.30789648307896483,0.293598233995585
0,0,U,raw,20263003,pooled,0,0.310053451973242,0.30883494069393636
0,0,U,raw,20263003,pooled,1,0.3114509155645982,0.3053794008309644
0,0,U,raw,20263003,pooled,2,0.3109352336507536,0.30655095184770437
0,0,U,raw,20263003,pooled,3,0.3132337927514038,0.30310026385224276
0,0,U,raw,20263003,pooled,4,0.31417782572824776,0.3105813561227932
0,0,U,raw,20263003,0,0,0.3104568241191838,0.3108326095049013
0,0,U,raw,20263003,0,1,0.3129886595759668,0.3068543451652387
0,0,U,raw,20263003,0,2,0.3101617354245991,0.3069883527454243
0,0,U,raw,20263003,0,3,0.3123306948109059,0.3044490746415002
0,0,U,raw,20263003,0,4,0.31486420099656115,0.31071249372804816
0,0,U,raw,20263003,1,0,0.30737564322469985,0.2920997920997921
0,0,U,raw,20263003,1,1,0.2966818477553676,0.2930327868852459
0,0,U,raw,20263003,1,2,0.31898238747553814,0.30272727272727273
0,0,U,raw,20263003,1,3,0.3202592087312415,0.2913553895410886
0,0,U,raw,20263003,1,4,0.30789648307896483,0.30944625407166126
0,0,U,gap,20263001,pooled,0,0.310053451973242,0.31889062151926933
0,0,U,gap,20263001,pooled,1,0.3114509155645982,0.3171850525844708
0,0,U,gap,20263001,pooled,2,0.3109352336507536,0.3258353556094829
0,0,U,gap,20263001,pooled,3,0.3132337927514038,0.3204624781849913
0,0,U,gap,20263001,pooled,4,0.31417782572824776,0.3138637866431563
0,0,U,gap,20263001,0,0,0.3104568241191838,0.31610412255573545
0,0,U,gap,20263001,0,1,0.3129886595759668,0.3176323987538941
0,0,U,gap,20263001,0,2,0.3101617354245991,0.329744983277592
0,0,U,gap,20263001,0,3,0.3123306948109059,0.32097560975609757
0,0,U,gap,20263001,0,4,0.31486420099656115,0.3143242580328673
0,0,U,gap,20263001,1,0,0.30737564322469985,0.3424657534246575
0,0,U,gap,20263001,1,1,0.2966818477553676,0.3132530120481928
0,0,U,gap,20263001,1,2,0.31898238747553814,0.2931937172774869
0,0,U,gap,20263001,1,3,0.3202592087312415,0.31611570247933884
0,0,U,gap,20263001,1,4,0.30789648307896483,0.30978260869565216
0,0,U,gap,20263002,pooled,0,0.310053451973242,0.3201049524434241
0,0,U,gap,20263002,pooled,1,0.3114509155645982,0.32371584699453554
0,0,U,gap,20263002,pooled,2,0.3109352336507536,0.3287111786494444
0,0,U,gap,20263002,pooled,3,0.3132337927514038,0.3297093410250721
0,0,U,gap,20263002,pooled,4,0.31417782572824776,0.3205270150575731
